,Player,Nation,Born
2241,Cheick Timite,ci CIV,1997.0
2243,George Timotheou,au AUS,1997.0
2246,Jean-Clair Todibo,fr FRA,1999.0
2251,Raúl de Tomás,es ESP,1994.0
2260,Lucas Torró,es ESP,1994.0
2268,Adama Traoré,es ESP,1996.0
2272,Cheick Traoré,ml MLI,1995.0
2273,Gaoussou Traoré,fr FRA,1999.0
2277,Óscar Trejo,ar ARG,1988.0
2278,Driss Trichard,fr FRA,1995.0
2281,William Troost-Ekong,ng NGA,1993.0
2285,Patrick Twumasi,gh GHA,1994.0
2286,Salih Uçan,tr TUR,1994.0
2291,Joel Untersee,ch SUI,1994.0
2293,Takashi Usami,jp JPN,1992.0
2297,William Vainqueur,fr FRA,1988.0
2299,Pierrick Valdivia,fr FRA,1988.0
2301,Enrico Valentini,it ITA,1989.0
2303,Valery,es ESP,1999.0
2304,Yan Valery,fr FRA,1999.0
2306,Theo Valls,fr FRA,1995.0
2309,Luca Valzania,it ITA,1996.0
2314,Kevin Vázquez,es ESP,1993.0
2317,Emiliano Velázquez,uy URU,1994.0
2321,Francesco Verde,it ITA,1999.0
2328,Freddie Veseli,al ALB,1992.0
2336,Ronaldo Vieira,gw GNB,1998.0
2339,Emanuel Vignato,it ITA,2000.0
2341,Toni Villa,es ESP,1995.0
2342,Rúben Vinagre,pt POR,1999.0
2343,Carlos Vinícius,br BRA,1995.0
2346,Felipe Vizeu,br BRA,1997.0
2347,Dušan Vlahović,rs SRB,2000.0
2348,Rai Vloet,nl NED,1995.0
2354,Nikola Vukčević,me MNE,1991.0
2355,Matěj Vydra,cz CZE,1992.0
2356,Paul Wade,fr FRA,2000.0
2359,Moussa Wagué,sn SEN,1998.0
2371,Danny Ward,eng ENG,1991.0
2377,Wout Weghorst,nl NED,1992.0
2385,Hendrik Weydandt,de GER,1995.0
2386,Connor Wickham,eng ENG,1993.0
2394,Ben Wilmot,eng ENG,1999.0
2400,Axel Witsel,be BEL,1989.0
2401,Maximilian Wöber,at AUT,1998.0
2403,Jeong Woo-yeong,kr KOR,1999.0
2406,Haji Wright,us USA,1998.0
2411,John Yeboah,de GER,2000.0
2413,Okay Yokuşlu,tr TUR,1994.0
2415,Elie Youan,fr FRA,1999.0
2416,Amin Younes,de GER,1993.0
2422,Younn Zahary,km COM,1998.0
2423,Miha Zajc,si SVN,1994.0
2428,Nicolò Zaniolo,it ITA,1999.0
2435,Arton Zekaj,xk KVX,2000.0
2436,Mootaz Zemzemi,tn TUN,1999.0
2437,Arber Zeneli,xk KVX,1995.0
2440,Jean Zimmer,de GER,1993.0
2444,Kenneth Zohore,dk DEN,1994.0
2446,Adam Zreľák,sk SVK,1994.0
2450,Martín Zubimendi,es ESP,1999.0
2454,Filip Đorđević,rs SRB,1987.0
1,Max Aarons,eng ENG,2000.0
3,Suleiman Abdullahi,ng NGA,1996.0
10,Che Adams,sco SCO,1996.0
12,Sargis Adamyan,am ARM,1993.0
13,Bobby Adekanye,nl NED,1999.0
15,Amine Adli,fr FRA,2000.0
18,Lumor Agbenyenu,gh GHA,1996.0
20,Lucien Agoume,fr FRA,2002.0
21,Kevin Agudelo,co COL,1998.0
28,Joseph Aidoo,gh GHA,1995.0
32,Albian Ajeti,ch SUI,1997.0
35,Marley Aké,fr FRA,2001.0
51,Haitam Aleesami,no NOR,1991.0
65,Steven Alzate,co COL,1998.0
71,Thierry Ambrose,fr FRA,1997.0
75,Opoku Ampomah,gh GHA,1996.0
76,Sofyan Amrabat,ma MAR,1996.0
78,Djavan Anderson,nl NED,1995.0
80,Sebastian Andersson,se SWE,1991.0
83,Robert Andrich,de GER,1994.0
84,Victorien Angban,ci CIV,1996.0
87,Angeliño,es ESP,1997.0
89,Faustino Anjorin,eng ENG,2001.0
90,Peter Ankersen,dk DEN,1990.0
92,Janis Antiste,fr FRA,2002.0
97,Christopher Antwi-Adjei,gh GHA,1994.0
100,Adil Aouchiche,fr FRA,2002.0
101,Dennis Appiah,fr FRA,1992.0
107,Ronald Araújo,uy URU,1999.0
118,Kristoffer Askildsen,no NOR,2001.0
120,Roger Assalé,ci CIV,1993.0
121,Miguel Atienza,es ESP,1999.0
125,Tommaso Augello,it ITA,1994.0
129,Mathias Autret,fr FRA,1991.0
131,Javier Avilés,es ESP,1997.0
133,Taiwo Awoniyi,ng NGA,1997.0
134,Florian Ayé,fr FRA,1997.0
137,Ramon Azeez,ng NGA,1992.0
140,Iddrisu Baba,gh GHA,1996.0
144,Matthias Bader,de GER,1997.0
145,Bastian Badu,fr FRA,2000.0
146,Alex Baena,es ESP,2001.0
151,Dénys Bain,fr FRA,1993.0
154,Lewis Baker,eng ENG,1995.0
155,Mitchel Bakker,nl NED,2000.0
159,George Baldock,eng ENG,1993.0
162,Leonardo Balerdi,ar ARG,1999.0
163,Marco Ballarini,it ITA,2001.0
175,Melvin Bard,fr FRA,2000.0
181,Kike Barja,es ESP,1997.0
196,Chris Basham,eng ENG,1988.0
204,Oliver Batista-Meier,de GER,2001.0
206,Cristian Battocchio,it ITA,1992.0
211,Rodrigo Becão,br BRA,1996.0
212,Sheraldo Becker,nl NED,1995.0
213,Timo Becker,de GER,1997.0
216,Maximilian Beier,de GER,2002.0
217,Gaëtan Belaud,fr FRA,1986.0
219,Haris Belkebla,dz ALG,1994.0
220,Raoul Bellanova,it ITA,2000.0
223,Jean-Ricner Bellegarde,fr FRA,1998.0
227,Sami Ben Amar,ma MAR,1998.0
231,Cristian Benavente,pe PER,1994.0
234,Darío Benedetto,ar ARG,1990.0
236,Loris Benito,ch SUI,1992.0
237,Bilal Benkhedim,fr FRA,2001.0
241,Keanen Bennetts,eng ENG,1999.0
248,Romario Benzar,ro ROU,1992.0
257,Sander Berge,no NOR,1998.0
258,Steven Bergwijn,nl NED,1997.0
262,Sergio Bermejo,es ESP,1997.0
274,El Bilal Touré,ml MLI,2001.0
279,Dimitri Bisoli,it ITA,1994.0
283,Birkir Bjarnason,is ISL,1988.0
286,Alejandro Blesa,es ESP,2002.0
292,Salvatore Bocchetti,it ITA,1986.0
298,Melayro Bogarde,nl NED,2002.0
306,Federico Bonini,it ITA,2001.0
310,Dennis Borkowski,de GER,2002.0
312,Sebastiaan Bornauw,be BEL,1999.0
313,Brandon Borrello,au AUS,1995.0
316,Hicham Boudaoui,dz ALG,1999.0
324,Jarrod Bowen,eng ENG,1996.0
325,Dedryck Boyata,be BEL,1990.0
326,John Boye,gh GHA,1987.0
327,Can Bozdogan,de GER,2001.0
328,Domagoj Bradarić,hr CRO,1999.0
335,Jarrad Branthwaite,eng ENG,2002.0
339,Marco Brescianini,it ITA,2000.0
342,Yan Brice Eteki,cm CMR,1997.0
343,Armando Broja,al ALB,2001.0
344,Dylan Bronn,tn TUN,1995.0
348,Josh Brownhill,eng ENG,1995.0
350,Gastón Brugman,uy URU,1992.0
357,Lucas Buadés,fr FRA,1997.0
359,Emi Buendía,ar ARG,1996.0
360,Marius Bülter,de GER,1993.0
361,Esteban Burgos,ar ARG,1992.0
366,Dan Burn,eng ENG,1992.0
374,Manuel Cabit,mq MTQ,1993.0
375,Ariday Cabrera,es ESP,1988.0
381,Jhonder Cádiz,ve VEN,1995.0
388,Riccardo Calafiori,it ITA,2002.0
390,Marco Calderoni,it ITA,1989.0
405,Xisco Campos,es ESP,1982.0
406,Víctor Campuzano,es ESP,1997.0
412,Gianmarco Cangiano,it ITA,2001.0
413,Todd Cantwell,eng ENG,1998.0
420,Maxence Caqueret,fr FRA,2000.0
421,Andrea Carboni,it ITA,2001.0
422,Irvin Cardona,fr FRA,1997.0
436,Jean-Charles Castelletto,cm CMR,1995.0
441,Gaetano Castrovilli,it ITA,1997.0
448,Christian Celesia,it ITA,2002.0
450,Fabien Centonze,fr FRA,1996.0
454,Julian Chabot,de GER,1998.0
455,Florian Chabrolle,fr FRA,1998.0
457,Sofian Chakla,ma MAR,1993.0
460,Jhon Chancellor,ve VEN,1992.0
463,Gaëtan Charbonnier,fr FRA,1988.0
464,Brendan Chardonnet,fr FRA,1994.0
468,Aurélien Chedjou,cm CMR,1985.0
471,Rayan Cherki,fr FRA,2003.0
478,Joris Chotard,fr FRA,2001.0
480,Mounir Chouiar,fr FRA,1999.0
483,Darko Churlinov,mk MKD,2000.0
487,Ibrahim Cissé,sn SEN,1996.0
488,Ibrahim Cissé,ci CIV,1999.0
489,Andrea Cistana,it ITA,1997.0
491,Leon Clarke,eng ENG,1985.0
492,Alexis Claude-Maurice,fr FRA,1998.0
494,Óscar Clemente,es ESP,1999.0
495,Denilho Cleonise,nl NED,2001.0
496,Carlos Clerc,es ESP,1992.0
504,Ebrima Colley,gm GAM,2000.0
506,Jamilu Collins,ng NGA,1994.0
507,Lorenzo Colombo,it ITA,2002.0
511,Aaron Connolly,ie IRL,2000.0
528,Rober Correa,es ESP,1992.0
529,Thierry Correia,pt POR,1999.0
530,Antonio Cortés,es ESP,2000.0
539,Yoann Court,fr FRA,1990.0
550,Jaume Cuéllar,bo BOL,2001.0
554,Felipe Curcio,br BRA,1993.0
558,Rafael Czichos,de GER,1990.0
559,Lennart-Marten Czyborra,de GER,1999.0
562,Felice D'Amico,it ITA,2000.0
563,Lucas Da Cunha,fr FRA,2001.0
564,Jacopo Da Riva,it ITA,2000.0
567,Moanes Dabour,il ISR,1992.0
573,Christian Dalle Mura,it ITA,2002.0
587,Keinan Davis,eng ENG,1998.0
588,Paweł Dawidowicz,pl POL,1995.0
602,Thomas Delaine,fr FRA,1992.0
615,Kevin Denkey,tg TOG,2000.0
616,Stefano Denswil,nl NED,1993.0
619,Kastriot Dermaku,al ALB,1992.0
624,Deyverson,br BRA,1991.0
625,Samuel Di Carmine,it ITA,1988.0
635,Amad Diallo,ci CIV,2002.0
637,Ibrahima Diallo,fr FRA,1999.0
638,Moussa Diarra,fr FRA,2000.0
639,Raphael Dias Belloli,br BRA,1996.0
642,Víctor Díaz,es ESP,1988.0
657,Tiago Djaló,pt POR,2000.0
659,Moussa Djenepo,ml MLI,1998.0
663,Naïs Djouahra,fr FRA,1999.0
665,Kasper Dolberg,dk DEN,1997.0
667,Nicolás Domínguez,ar ARG,1998.0
671,Alfredo Donnarumma,it ITA,1990.0
674,Bas Dost,nl NED,1989.0
676,Mamadou Doucouré,fr FRA,1998.0
680,Thomas Doyle,eng ENG,2001.0
684,Dominick Drexler,de GER,1990.0
688,Domingos Duarte,pt POR,1995.0
689,Léo Duarte,br BRA,1996.0
692,Edgaras Dubickas,lt LTU,1998.0
697,Haris Duljević,ba BIH,1993.0
705,Jean-Kevin Duverne,fr FRA,1997.0
711,John Egan,ie IRL,1992.0
714,Kingsley Ehizibue,nl NED,1995.0
717,Elif Elmas,mk MKD,1999.0
718,Ilay Elmkies,il ISR,2000.0
719,Ahmed Elmohamady,eg EGY,1987.0
726,Renaud Emond,be BEL,1991.0
727,Alan Empereur,br BRA,1994.0
737,Espeto,br BRA,1997.0
739,Sebastiano Esposito,it ITA,2002.0
740,Vicente Esquerdo,es ESP,1999.0
742,Pervis Estupiñán,ec ECU,1998.0
746,Antony Evans,eng ENG,1998.0
755,Luca Falbo,it ITA,2000.0
756,Filippo Falco,it ITA,1992.0
757,Eliseo Falcon,es ESP,1997.0
761,Akin Famewo,eng ENG,1998.0
762,Andri Fannar Baldursson,is ISL,2002.0
767,Ansu Fati,es ESP,2002.0
768,Julien Faussurier,fr FRA,1987.0
771,Aleix Febas,es ESP,1996.0
773,Ljubomir Fejsa,rs SRB,1988.0
775,Felipe,br BRA,1989.0
777,Lucas Felippe,br BRA,2000.0
779,João Félix,pt POR,1999.0
781,Zinedine Ferhat,dz ALG,1993.0
782,Bruno Fernandes,pt POR,1994.0
784,Gedson Fernandes,pt POR,1999.0
786,Matheus Fernandes,br BRA,1998.0
789,Gabriel Fernández,uy URU,1994.0
792,Fernando,br BRA,1987.0
801,John Fleck,sco SCO,1991.0
806,Mamadou Fofana,ml MLI,1998.0
812,Lamine Fomba,fr FRA,1998.0
816,Hernâni Fortes,pt POR,1991.0
817,Lyle Foster,za RSA,2000.0
822,Gianluca Frabotta,it ITA,1999.0
829,Kieron Freeman,wal WAL,1992.0
830,Luke Freeman,eng ENG,1992.0
833,Marvin Friedrich,de GER,1995.0
834,Samúel Friðjónsson,is ISL,1996.0
835,Jorge de Frutos,es ESP,1997.0
840,Matteo Gabbia,it ITA,1999.0
842,Ruben Gabrielsen,no NOR,1992.0
844,Luca Gagliano,it ITA,2000.0
848,Marvin Gakpa,fr FRA,1993.0
852,Fran Gámez,es ESP,1991.0
857,David García,es ESP,1994.0
858,Eric García,es ESP,2001.0
864,Rubén García,es ESP,1993.0
865,Unai García,es ESP,1992.0
866,Víctor García,es ESP,1997.0
868,Manuel Garrido,es ESP,2000.0
870,Daniele Gastaldello,it ITA,1983.0
873,Yann Gboho,fr FRA,2001.0
883,Andrea Ghezzi,it ITA,2001.0
885,Andrea Ghion,it ITA,2000.0
890,José Antonio Martínez Gil,es ESP,1993.0
891,Billy Gilmour,sco SCO,2001.0
896,Klaus Gjasula,al ALB,1989.0
901,Ben Godfrey,eng ENG,1998.0
903,Akaki Gogia,de GER,1992.0
905,Benjamin Goller,de GER,1999.0
916,Mathieu Goncalves,fr FRA,2001.0
921,Édgar González,es ESP,1997.0
922,Gonzalo,es ESP,1997.0
923,Anthony Gordon,eng ENG,2001.0
938,Jack Grealish,eng ENG,1995.0
948,Arnaut Groeneveld,nl NED,1997.0
949,Christian Groß,de GER,1989.0
951,Carlos Gruezo,ec ECU,1995.0
955,Nemanja Gudelj,rs SRB,1991.0
959,Adrián Guerrero,es ESP,1998.0
961,Babacar Guèye,sn SEN,1994.0
965,Hugo Guillamón,es ESP,2000.0
966,Bruno Guimarães,br BRA,1997.0
968,Rafik Guitane,fr FRA,1999.0
970,Sinan Gümüş,tr TUR,1994.0
976,Erling Haaland,no NOR,2000.0
986,Grant Hanley,sco SCO,1991.0
987,Lukáš Haraslín,sk SVK,1996.0
992,Kortney Hause,eng ENG,1995.0
1000,Liam Henderson,sco SCO,1996.0
1007,Aridane Hernández,gq EQG,1989.0
1010,Juan Hernández,es ESP,1994.0
1012,Onel Hernández,cu CUB,1993.0
1016,Héctor Herrera,mx MEX,1990.0
1024,George Hirst,eng ENG,1999.0
1028,Jonas Hofmann,de GER,1997.0
1034,Nathan Holland,eng ENG,1998.0
1036,Josué Homawoo,fr FRA,1997.0
1037,Franck Honorat,fr FRA,1996.0
1038,Luca Horn,de GER,1998.0
1039,Krisztofer Horváth,hu HUN,2002.0
1040,Conor Hourihane,ie IRL,1991.0
1052,Iago,br BRA,1997.0
1061,Adam Idah,ie IRL,2001.0
1062,Odion Ighalo,ng NGA,1989.0
1064,Igor,br BRA,1998.0
1067,Luc Ihorst,de GER,2000.0
1069,Yun Il-lok,kr KOR,1992.0
1076,Edmilson Indjai,gw GNB,2000.0
1079,Marcus Ingvartsen,dk DEN,1996.0
1085,Nicolas Isimat-Mirin,fr FRA,1991.0
1086,Jakub Iskra,pl POL,2002.0
1087,Ismael,es ESP,2000.0
1092,Jacobo,es ESP,1997.0
1094,Filip Jagiełło,pl POL,1997.0
1096,Mato Jajalo,ba BIH,1988.0
1097,Ismail Jakobs,de GER,1999.0
1099,Daniel James,wal WAL,1997.0
1101,Reece James,eng ENG,1999.0
1105,Laurent Jans,lu LUX,1992.0
1123,Curtis Jones,eng ENG,2001.0
1125,Frenkie de Jong,nl NED,1997.0
1126,Luuk de Jong,nl NED,1990.0
1133,Jota,es ESP,1991.0
1136,Dejan Joveljić,rs SRB,1999.0
1142,Lago Junior,ci CIV,1990.0
1144,James Justin,eng ENG,1998.0
1149,Abdoul Kader Bamba,fr FRA,1994.0
1168,Mamoudou Karamoko,fr FRA,1999.0
1169,Noah Katterbach,de GER,2001.0
1175,Yannik Keitel,de GER,2000.0
1176,Lloyd Kelly,eng ENG,1998.0
1186,Luca Kilian,de GER,1999.0
1191,Giorgos Kiriakopoulos,gr GRE,1996.0
1197,Timm Klose,ch SUI,1988.0
1203,Giorgi Kochorashvili,ge GEO,1999.0
1204,Jonathan Kodjia,ci CIV,1989.0
1217,Moussa Koné,sn SEN,1996.0
1219,Ezri Konsa,eng ENG,1997.0
1225,Nianzou Kouassi,fr FRA,2002.0
1227,Efthimis Koulouris,gr GRE,1996.0
1229,Leonardo Koutris,gr GRE,1995.0
1233,İsmail Köybaşı,tr TUR,1989.0
1237,Tom Krauß,de GER,2001.0
1240,Felix Kroos,de GER,1991.0
1244,Takefusa Kubo,jp JPN,2001.0
1247,Marash Kumbulla,al ALB,2000.0
1252,Dereck Kutesa,ch SUI,1997.0
1256,Andrea La Mantia,it ITA,1991.0
1259,Riccardo Ladinetti,it ITA,2000.0
1261,Jack Lahne,se SWE,2001.0
1263,Stefan Lainer,at AUT,1992.0
1268,Tariq Lamptey,eng ENG,2000.0
1273,Henri Lansbury,eng ENG,1990.0
1278,Larra,es ESP,1997.0
1297,Adrien Lebeau,fr FRA,1999.0
1302,Toni Leistner,de GER,1990.0
1303,Moritz Leitner,de GER,1992.0
1308,Tim Lemperle,de GER,2002.0
1311,Christopher Lenz,de GER,1994.0
1318,Jamal Lewis,nir NIR,1998.0
1323,Matthijs de Ligt,nl NED,1999.0
1324,Isaac Lihadji,fr FRA,2002.0
1325,Lillo,es ESP,1989.0
1326,Anderson Lima,br BRA,1999.0
1336,Gautier Lloris,fr FRA,1995.0
1343,Renan Lodi,br BRA,1998.0
1348,Matthew Longstaff,eng ENG,2000.0
1355,Javi López,es ESP,2002.0
1361,Losada,es ESP,2001.0
1364,Matteo Lovato,it ITA,2000.0
1369,Hirving Lozano,mx MEX,1995.0
1370,Pol Lozano,es ESP,1999.0
1371,Jan Luca Rumpf,de GER,1999.0
1372,Lucas,br BRA,1999.0
1373,Jean Lucas,br BRA,1998.0
1378,José Luis Rodríguez,pa PAN,1998.0
1386,John Lundstram,eng ENG,1994.0
1392,Alexis Mac Allister,ar ARG,1998.0
1394,Yvann Macon,fr FRA,1998.0
1396,Lisandro Magallán,ar ARG,1993.0
1400,Hugo Magnetti,fr FRA,1998.0
1402,Abdallahi Mahmoud,mr MTN,2000.0
1410,Žan Majer,si SVN,1992.0
1415,Daniel Maldini,it ITA,2001.0
1416,Ruslan Malinovskyi,ua UKR,1993.0
1419,Streli Mamba,de GER,1994.0
1420,Hianga Mananga Mbock,fr FRA,1999.0
1423,Marco Mancosu,it ITA,1988.0
1430,Massimiliano Mangraviti,it ITA,1998.0
1433,Giacomo Manzari,it ITA,2000.0
1442,Dario Maresic,at AUT,1999.0
1444,Pablo Marí,es ESP,1993.0
1449,Federico Marigosu,it ITA,2001.0
1454,Omar Marmoush,eg EGY,1999.0
1455,Gonzalo Maroni,ar ARG,1999.0
1463,Josh Martin,eng ENG,2001.0
1464,Martinelli,br BRA,2001.0
1465,Álex Martínez,es ESP,1990.0
1467,Javi Martínez,es ESP,1999.0
1471,Pablo Martínez,es ESP,1998.0
1481,Aleš Matějů,cz CZE,1996.0
1489,Neal Maupay,fr FRA,1996.0
1494,Kévin Mayi,ga GAB,1993.0
1497,Kevin Mbabu,ch SUI,1995.0
1502,Nathanael Mbuku,fr FRA,2002.0
1506,John McGinn,sco SCO,1994.0
1507,David McGoldrick,ie IRL,1987.0
1509,Kenny McLean,sco SCO,1992.0
1512,Biagio Meccariello,it ITA,1991.0
1513,Gary Medel,cl CHI,1987.0
1515,Joshua Mees,de GER,1996.0
1525,Édgar Méndez,es ESP,1990.0
1533,Levent Mercan,de GER,2000.0
1535,Fran Mérida,es ESP,1990.0
1538,Yıldırım Mert Çetin,tr TUR,1997.0
1545,Kingsley Michael,ng NGA,1999.0
1547,Sven Michel,de GER,1990.0
1550,Georges Mikautadze,ge GEO,2000.0
1554,Éder Militão,br BRA,1998.0
1560,Takumi Minamino,jp JPN,1995.0
1563,Juan Miranda,es ESP,2000.0
1565,Tyrick Mitchell,eng ENG,1999.0
1570,Anthony Modeste,fr FRA,1988.0
1576,Jon Moncayola,es ESP,1998.0
1581,Joan Monterde,es ESP,1997.0
1582,Ilario Monterisi,it ITA,2001.0
1583,Ángel Montoro,es ESP,1988.0
1586,Wesley Moraes,br BRA,1996.0
1595,Mateu Morey,es ESP,2000.0
1598,Raúl Moro,es ESP,2002.0
1600,Leonardo Morosini,it ITA,1995.0
1601,Ravel Morrison,jm JAM,1993.0
1604,Harold Moukoudi,cm CMR,1997.0
1605,Mason Mount,eng ENG,1999.0
1608,Wesley Moustache,fr FRA,1999.0
1615,Mert Müldür,tr TUR,1999.0
1617,Marshall Munetsi,zw ZIM,1996.0
1620,Javier Muñoz,es ESP,1995.0
1621,Simone Muratore,it ITA,1998.0
1629,Torben Müsel,de GER,1999.0
1630,Jamal Musiala,de GER,2003.0
1637,Ferris N'Goma,fr FRA,1993.0
1644,Marvelous Nakamba,zw ZIM,1994.0
1646,Nahitan Nández,uy URU,1995.0
1652,Michel Ndary Adopo,fr FRA,2000.0
1653,Papa Ndiaga Yade,sn SEN,2000.0
1655,Emanuele Ndoj,al ALB,1996.0
1658,Ilija Nestorovski,mk MKD,1990.0
1661,Carlos Neva,es ESP,1996.0
1664,Jeremy Ngakia,eng ENG,2000.0
1665,Jessic Ngankam,de GER,2000.0
1666,Muzinga Ngonda,cd COD,1994.0
1667,Ahmad Ngouyamsa,cm CMR,2000.0
1672,Cheikh Niasse,sn SEN,2000.0
1677,Fernando Niño,es ESP,2000.0
1678,Timothée Nkada,fr FRA,1999.0
1688,Oliver Norwood,nir NIR,1991.0
1695,Jack O'Connell,eng ENG,1994.0
1698,Rafael Obrador,es ESP,2004.0
1703,Kelvin Ofori,gh GHA,2001.0
1708,Christian Oliva,uy URU,1996.0
1710,Cauly Oliveira Souza,br BRA,1995.0
1714,Marco Olivieri,it ITA,1999.0
1715,Dani Olmo,es ESP,1998.0
1717,Jean Onana,cm CMR,2000.0
1720,Henry Onyekuru,ng NGA,1997.0
1726,Aimar Oroz,es ESP,2001.0
1729,Ben Osborn,eng ENG,1994.0
1733,Paulo Otávio,br BRA,1994.0
1734,Abou Ouattara,bf BFA,1999.0
1737,Zinédine Ould Khaled,fr FRA,2000.0
1746,Jon Pacheco,es ESP,2001.0
1752,Exequiel Palacios,ar ARG,1998.0
1758,Martin Palumbo,no NOR,2002.0
1760,Jonathan Panzo,eng ENG,2000.0
1762,Andrea Papetti,it ITA,2002.0
1768,Michael Parensen,de GER,1986.0
1770,Troy Parrott,ie IRL,2002.0
1776,Paulino,es ESP,1997.0
1785,Mads Pedersen,dk DEN,1996.0
1787,Marc Pedraza,es ESP,1987.0
1788,Pedro,br BRA,1997.0
1791,João Pedro,br BRA,2001.0
1793,Daouda Peeters,be BEL,1999.0
1802,Luis Perea,es ESP,1997.0
1803,Victor Perea,es ESP,2000.0
1804,Mathias Pereira Lage,pt POR,1996.0
1807,Gastón Pereiro,uy URU,1995.0
1813,Iñigo Pérez,es ESP,1988.0
1814,Kike Pérez,es ESP,1997.0
1821,Lucas Perrin,fr FRA,1998.0
1825,Jacopo Petriccione,it ITA,1995.0
1829,Rayan Philippe,fr FRA,2000.0
1830,Romain Philippoteaux,fr FRA,1988.0
1835,Stefano Piccinini,it ITA,2002.0
1839,Brandon Pierrick,eng ENG,2001.0
1843,Simone Pinna,it ITA,1997.0
1844,Pipa,es ESP,1998.0
1846,Lorenzo Pirola,it ITA,2002.0
1854,Thomas Pledl,de GER,1994.0
1855,Daniel Podence,pt POR,1995.0
1861,Sebastian Polter,de GER,1991.0
1862,Marin Pongračić,hr CRO,1997.0
1869,Florent Poulolo,fr FRA,1997.0
1873,Alejandro Pozo Pozo,es ESP,1999.0
1875,Percy Prado,pe PER,1996.0
1877,Abdón Prats,es ESP,1992.0
1881,Kai Pröger,de GER,1992.0
1882,Grischa Prömel,de GER,1995.0
1884,Antonio Puertas,es ESP,1992.0
1886,Teemu Pukki,fi FIN,1990.0
1894,Quini,es ESP,1989.0
1896,Quique,es ESP,1990.0
1906,Daniele Ragatzu,it ITA,1991.0
1908,Antonio Raillo,es ESP,1991.0
1914,Adrián Ramos,co COL,1986.0
1917,Luca Ranieri,it ITA,1999.0
1919,Tobias Raschl,de GER,2000.0
1923,Raúl,es ESP,2000.0
1928,Daishawn Redan,nl NED,2001.0
1934,Ken Reichel,de GER,1986.0
1942,Gio Reyna,us USA,2002.0
1943,Nico Ribaudo,es ESP,2001.0
1945,Davide Riccardi,it ITA,1996.0
1947,Chris Richards,us USA,2000.0
1954,Luis Rioja,es ESP,1993.0
1956,Rodrigo Riquelme,es ESP,2000.0
1957,Andrea Rispoli,it ITA,1988.0
1961,Marlon Ritter,de GER,1994.0
1963,Maxence Rivera,fr FRA,2002.0
1968,Callum Robinson,ie IRL,1995.0
1969,Jack Robinson,eng ENG,1993.0
1979,Dani Rodríguez,es ESP,1988.0
1980,Guido Rodríguez,ar ARG,1994.0
1983,Mario Rodriguez,es ESP,1997.0
1985,Rodrygo,br BRA,2001.0
1986,Jack Rodwell,eng ENG,1991.0
1988,Agustín Rogel,uy URU,1997.0
1995,Luka Romero,ar ARG,2004.0
2010,Nicolò Rovella,it ITA,2001.0
2011,Amir Rrahmani,xk KVX,1994.0
2015,Dion Ruffo Luci,it ITA,2001.0
2022,Julian Ryerson,no NOR,1997.0
2023,João Victor Santos Sá,br BRA,1994.0
2024,Roli Pereira de Sa,fr FRA,1996.0
2026,Stefano Sabelli,it ITA,1993.0
2030,Alexis Saelemaekers,be BEL,1999.0
2031,Jorge Sáenz,es ESP,1996.0
2036,Borja Sainz,es ESP,2001.0
2047,Mohammed Salisu,gh GHA,1999.0
2049,Lazar Samardzic,de GER,2002.0
2050,Diadie Samassékou,ml MLI,1996.0
2051,Mbwana Samatta,tz TAN,1992.0
2052,Mama Samba Baldé,gw GNB,1995.0
2055,Fede San Emeterio,es ESP,1997.0
2058,Oihan Sancet,es ESP,2000.0
2064,Germán Sánchez,es ESP,1986.0
2066,Manuel Sánchez,es ESP,2000.0
2074,Oier Sanjurjo,es ESP,1986.0
2084,Ivan Šaponjić,rs SRB,1997.0
2091,Sidy Sarr,sn SEN,1996.0
2092,Joan Sastre Vanrell,es ESP,1997.0
2096,Louis Schaub,at AUT,1994.0
2100,Kingsley Schindler,de GER,1993.0
2101,Xaver Schlager,at AUT,1997.0
2110,Lasse Schöne,dk DEN,1986.0
2111,Sebastian Schonlau,de GER,1994.0
2113,Jerdy Schouten,nl NED,1997.0
2116,Aleksandar Sedlar,rs SRB,1991.0
2121,Alessandro Semprini,it ITA,1998.0
2122,Josep Señé,es ESP,1991.0
2126,Salva Sevilla,es ESP,1984.0
2127,Yevhen Shakhov,ua UKR,1990.0
2129,Billy Sharp,eng ENG,1986.0
2131,Khiry Shelton,us USA,1993.0
2138,Kaj Sierhuis,nl NED,1998.0
2150,Mohamed Simakan,fr FRA,2000.0
2154,Sarpreet Singh,nz NZL,1999.0
2155,Wilfried Singo,ci CIV,2000.0
2156,Daley Sinkgraven,nl NED,1995.0
2160,Sambou Sissoko,fr FRA,1999.0
2164,Andreas Skov Olsen,dk DEN,1999.0
2165,Robert Skov,dk DEN,1996.0
2166,Simon Skrabb,fi FIN,1995.0
2171,William Smallbone,ie IRL,2000.0
2175,Fyodor Smolov,ru RUS,1990.0
2179,Rafa Soares,pt POR,1995.0
2180,Lasse Sobiech,de GER,1991.0
2184,Roberto Soldado,es ESP,1985.0
2188,Bruno Soriano,es ESP,1984.0
2191,Tomáš Souček,cz CZE,1995.0
2195,Bryan Soumaré,fr FRA,1999.0
2197,Djibril Sow,ch SUI,1997.0
2199,Nikolas Špalek,sk SVK,1997.0
2203,Dennis Srbeny,de GER,1994.0
2205,Jerry St. Juste,nl NED,1996.0
2206,Jack Stacey,eng ENG,1996.0
