,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
34,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,29,2033,70,59.4,22.6,20,,17,9,,2,1.38,31,38,-7,-0.31,-0.18,Matches
35,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Guingamp,fr Ligue 1,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
36,Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,eng Premier League,19,1996,3,26,9,0.8,0.3,0,,0,3,,8,3.00,2,0,+2,+6.92,+5.60,Matches
37,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,26,1930,74,56.4,21.4,23,,16,3,,2,0.96,18,28,-10,-0.47,+0.32,Matches
38,Rachid Aït-Atmane\Rachid-Ait-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,8,492,62,14.4,5.5,6,,2,2,,4,0.50,6,12,-6,-1.10,-0.36,Matches
39,Arlind Ajeti\Arlind-Ajeti,al ALB,DF,Torino,it Serie A,22,1993,4,251,63,7.3,2.8,3,,2,1,,21,2.00,6,7,-1,-0.36,-0.53,Matches
40,Nathan Aké\Nathan-Ake,nl NED,DF,Chelsea,eng Premier League,21,1995,2,99,50,2.9,1.1,1,,1,1,,8,3.00,5,3,+2,+1.82,+0.46,Matches
41,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,21,1995,10,735,74,21.5,8.2,8,,8,2,,8,1.40,16,17,-1,-0.12,+0.25,Matches
42,Atakan Akkaynak\Atakan-Akkaynak,de GER,MF,Leverkusen,de Bundesliga,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
43,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,23,1992,2,73,37,2.1,0.8,0,,0,2,,1,0.50,1,0,+1,+1.23,+1.37,Matches
44,Chuba Akpom\Chuba-Akpom,eng ENG,FW,Arsenal,eng Premier League,20,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
45,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,32,2506,78,81.9,27.8,29,,24,3,,1,2.38,75,17,+58,+2.08,+0.62,Matches
46,Javi Álamo\Javi-Alamo,es ESP,FWMF,Osasuna,es La Liga,27,1988,2,16,8,0.5,0.2,0,,0,2,,2,1.50,0,0,0,0.00,+1.43,Matches
47,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,27,1989,26,1969,76,57.6,21.9,21,,19,5,,8,2.27,69,24,+45,+2.06,-0.05,Matches
48,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,2336,87,68.3,26.0,26,,25,1,,8,0.93,31,41,-10,-0.39,+0.28,Matches
49,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,23,1992,9,365,41,10.7,4.1,4,,1,5,,16,1.00,6,7,-1,-0.25,-0.95,Matches
50,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,30,1985,26,2297,88,67.2,25.5,25,,24,1,,4,2.42,70,25,+45,+1.76,+0.96,Matches
51,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,eng Premier League,26,1989,33,2411,73,70.5,26.8,29,,12,4,,4,1.15,37,47,-10,-0.37,+0.07,Matches
52,Paco Alcácer\Paco-Alcacer,es ESP,FW,Barcelona,es La Liga,22,1993,20,866,43,25.3,9.6,6,,3,14,,16,2.30,33,9,+24,+2.49,+0.56,Matches
