,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
2316,Alexandre Pato\Alexandre-Pato,br BRA,FW,Villarreal,es La Liga,26,1989,14,870,62,25.4,9.7,11,,2,3,,2,1.50,13,7,+6,+0.62,+0.02,Matches
2317,Patric\Patric,es ESP,DFMF,Lazio,it Serie A,23,1993,19,1017,54,29.7,11.3,10,,8,9,,16,1.37,18,19,-1,-0.09,-0.99,Matches
2318,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Arsenal,eng Premier League,25,1990,19,1517,80,44.4,16.9,15,,13,4,,13,1.84,35,18,+17,+1.01,+0.25,Matches
2319,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Lille,fr Ligue 1,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches
2320,Daniel Pavlović\Daniel-Pavlovic,ba BIH,DF,Sampdoria,it Serie A,28,1988,9,720,80,21.1,8.0,8,,7,1,,15,1.33,13,9,+4,+0.50,+0.83,Matches
2321,Mateo Pavlović\Mateo-Pavlovic,ba BIH,DFFW,Angers,fr Ligue 1,26,1990,12,856,71,25.0,9.5,9,,7,3,,16,1.00,11,15,-4,-0.42,-0.25,Matches
2322,Leonardo Pavoletti\Leonardo-Pavoletti,it ITA,FW,Napoli,it Serie A,27,1988,6,196,33,5.7,2.2,2,,0,4,,13,2.17,5,0,+5,+2.30,+0.90,Matches
2323,Leonardo Pavoletti\Leonardo-Pavoletti,it ITA,FW,Genoa,it Serie A,27,1988,9,581,65,17.0,6.5,7,,5,2,,0,1.22,10,10,0,0.00,+0.82,Matches
2324,Dimitri Payet\Dimitri-Payet,fr FRA,MFFW,West Ham,eng Premier League,29,1987,18,1511,84,44.2,16.8,17,,12,1,,0,1.06,21,28,-7,-0.42,+0.05,Matches
2325,Dimitri Payet\Dimitri-Payet,fr FRA,FW,Marseille,fr Ligue 1,29,1987,15,1246,83,36.4,13.8,14,,10,1,,0,1.73,26,13,+13,+0.94,+0.81,Matches
2326,Benoît Pedretti\Benoit-Pedretti,fr FRA,MF,Nancy,fr Ligue 1,35,1980,26,1870,72,54.7,20.8,21,,14,5,,2,0.92,17,28,-11,-0.53,+0.17,Matches
2327,Pedro\Pedro,es ESP,FWMF,Chelsea,eng Premier League,29,1987,35,2140,61,62.6,23.8,26,,6,9,,2,2.46,51,15,+36,+1.51,+0.39,Matches
2328,João Pedro\Joao-Pedro,br BRA,MFFW,Cagliari,it Serie A,24,1992,22,1453,66,42.5,16.1,17,,8,5,,0,1.45,30,23,+7,+0.43,+1.71,Matches
2329,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,35,1981,1,90,90,2.6,1.0,1,,1,0,,31,0.00,3,5,-2,-2.00,-1.92,Matches
2330,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,de Bundesliga,29,1986,31,2710,87,88.6,30.1,30,,27,1,,1,1.35,36,44,-8,-0.27,-1.29,Matches
2331,Alberto Pelagotti\Alberto-Pelagotti,it ITA,GK,Empoli,it Serie A,26,1989,3,270,90,7.9,3.0,3,,3,0,,35,0.00,1,5,-4,-1.33,-0.53,Matches
2332,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,33,1982,38,3420,90,100.0,38.0,38,,38,0,,0,1.63,57,41,+16,+0.42,,Matches
2333,Pietro Pellegri\Pietro-Pellegri,it ITA,FW,Genoa,it Serie A,15,2001,3,75,25,2.2,0.8,1,,0,2,,4,0.00,1,1,0,0.00,+0.70,Matches
2334,Lorenzo Pellegrini\Lorenzo-Pellegrini,it ITA,MF,Sassuolo,it Serie A,20,1996,28,1941,69,56.8,21.6,24,,9,4,,3,1.00,32,40,-8,-0.37,-0.55,Matches
2335,Luca Pellegrini\Luca-Pellegrini,it ITA,DF,Roma,it Serie A,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
2336,Théo Pellenard\Theo-Pellenard,fr FRA,DF,Bordeaux,fr Ligue 1,22,1994,6,459,77,13.4,5.1,5,,5,1,,9,2.00,6,2,+4,+0.78,+0.60,Matches
2337,Sergio Pellissier\Sergio-Pellissier,it ITA,FW,Chievo,it Serie A,37,1979,30,1730,58,50.6,19.2,18,,9,12,,4,1.00,24,36,-12,-0.62,-0.30,Matches
2338,Federico Peluso\Federico-Peluso,it ITA,DF,Sassuolo,it Serie A,32,1984,34,2981,88,87.2,33.1,33,,33,1,,2,1.32,53,51,+2,+0.06,+1.50,Matches
2339,Rubén Peña\Ruben-Pena,es ESP,MFFW,Eibar,es La Liga,25,1991,28,1074,38,31.4,11.9,9,,3,19,,6,1.57,15,17,-2,-0.17,-0.44,Matches
2340,Adalberto Peñaranda\Adalberto-Penaranda,ve VEN,FW,Udinese,it Serie A,19,1997,6,160,27,4.7,1.8,1,,0,5,,5,0.67,1,4,-3,-1.69,-1.52,Matches
2341,Adalberto Peñaranda\Adalberto-Penaranda,ve VEN,FW,Málaga,es La Liga,19,1997,3,174,58,5.1,1.9,1,,0,2,,2,1.00,2,4,-2,-1.03,-0.92,Matches
2342,Matthew Pennington\Matthew-Pennington,eng ENG,DF,Everton,eng Premier League,21,1994,3,180,60,5.3,2.0,2,,1,1,,6,1.33,5,6,-1,-0.50,-1.03,Matches
2343,Nicholas Pennington\Nicholas-Pennington,it ITA,MF,Cagliari,it Serie A,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
2344,Pepe\Pepe,pt POR,DF,Real Madrid,es La Liga,33,1983,13,1077,83,31.5,12.0,13,,11,0,,5,2.69,35,12,+23,+1.92,+0.31,Matches
2345,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Angers,fr Ligue 1,21,1995,33,1321,40,38.6,14.7,11,,2,22,,1,1.24,9,17,-8,-0.55,-0.50,Matches
2346,Simone Pepe\Simone-Pepe,it ITA,MFFW,Pescara,it Serie A,32,1983,12,400,33,11.7,4.4,3,,2,9,,8,0.42,6,10,-4,-0.90,+0.29,Matches
2347,Luis Perea\Luis-Perea,es ESP,MF,Osasuna,es La Liga,18,1997,1,21,21,0.6,0.2,0,,0,1,,1,3.00,1,0,+1,+4.29,+5.74,Matches
2348,Andreas Pereira\Andreas-Pereira,br BRA,MF,Granada,es La Liga,20,1996,35,2810,80,82.2,31.2,34,,22,1,,0,0.54,27,70,-43,-1.38,-0.05,Matches
2349,Dion Pereira\Dion-Pereira,eng ENG,MF,Watford,eng Premier League,17,1999,2,25,13,0.7,0.3,0,,0,2,,3,0.00,0,1,-1,-3.60,-2.88,Matches
2350,Matheus Pereira\Matheus-Pereira,br BRA,FWMF,Empoli,it Serie A,20,1996,1,6,6,0.2,0.1,0,,,1,,0,,,,,,,Matches
2351,Pedro Pereira\Pedro-Pereira,pt POR,DF,Sampdoria,it Serie A,18,1998,0,,,,,0,,0,0,,9,,,,,,,Matches
2352,Pedro Pereira\Pedro-Pereira,pt POR,FW,Sampdoria,it Serie A,32,1984,12,791,66,23.1,8.8,8,,,4,,0,,,,,,,Matches
2353,Ricardo Pereira\Ricardo-Pereira,pt POR,MFDF,Nice,fr Ligue 1,22,1993,24,2055,86,60.1,22.8,23,,20,1,,2,2.17,45,19,+26,+1.14,+1.07,Matches
2354,Bruno Peres\Bruno-Peres,br BRA,MFDF,Roma,it Serie A,26,1990,30,2219,74,64.9,24.7,24,,16,6,,5,2.10,56,22,+34,+1.38,+0.03,Matches
2355,Roberto Pereyra\Roberto-Pereyra,ar ARG,MFFW,Watford,eng Premier League,25,1991,13,1037,80,30.3,11.5,12,,8,1,,0,1.31,16,16,0,0.00,+1.06,Matches
2356,Enzo Pérez\Enzo-Perez,ar ARG,MF,Valencia,es La Liga,30,1986,27,2187,81,63.9,24.3,26,,19,1,,2,1.37,40,39,+1,+0.04,+0.77,Matches
2357,Hernán Pérez\Hernan-Perez,py PAR,MF,Espanyol,es La Liga,27,1989,32,1781,56,52.1,19.8,20,,5,12,,1,1.44,28,26,+2,+0.10,+0.27,Matches
2358,Joshua Pérez\Joshua-Perez,us USA,FW,Fiorentina,it Serie A,18,1998,1,16,16,0.5,0.2,0,,0,1,,6,0.00,0,1,-1,-5.63,-5.81,Matches
2359,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,20,1996,0,,,,,0,,0,0,,3,,,,,,,Matches
2360,Lucas Pérez\Lucas-Perez,es ESP,MFFW,Arsenal,eng Premier League,27,1988,11,272,25,8.0,3.0,2,,0,9,,6,1.82,9,2,+7,+2.32,+1.57,Matches
2361,Lucas Pérez\Lucas-Perez,es ESP,FW,La Coruña,es La Liga,27,1988,1,90,90,2.6,1.0,1,,1,0,,0,3.00,2,1,+1,+1.00,+1.51,Matches
2362,Nauzet Pérez\Nauzet-Perez,es ESP,GK,Osasuna,es La Liga,31,1985,13,1170,90,34.2,13.0,13,,13,0,,9,0.46,11,29,-18,-1.38,+0.06,Matches
2363,Rubén Pérez\Ruben-Perez,es ESP,MF,Leganés,es La Liga,27,1989,30,2335,78,68.3,25.9,26,,23,4,,4,1.03,28,34,-6,-0.23,+0.85,Matches
2364,Stipe Perica\Stipe-Perica,hr CRO,FWMF,Udinese,it Serie A,21,1995,27,1086,40,31.8,12.1,5,,1,22,,8,0.89,19,23,-4,-0.33,-0.14,Matches
2365,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,23,1992,16,1357,85,39.7,15.1,16,,14,0,,2,1.06,15,19,-4,-0.27,+0.69,Matches
2366,Samuele Perisan\Samuele-Perisan,it ITA,GK,Udinese,it Serie A,18,1997,0,,,,,0,,0,0,,30,,,,,,,Matches
2367,Ivan Perišić\Ivan-Perisic,hr CRO,MFFW,Inter,it Serie A,27,1989,36,2750,76,80.4,30.6,31,,20,5,,1,1.56,60,39,+21,+0.69,+0.42,Matches
2368,Diego Perotti\Diego-Perotti,ar ARG,MFFW,Roma,it Serie A,28,1988,32,1744,55,51.0,19.4,20,,7,12,,2,2.16,43,24,+19,+0.98,-0.79,Matches
2369,Gaëtan Perrin\Gaetan-Perrin,fr FRA,MF,Lyon,fr Ligue 1,20,1996,0,,,,,0,,0,0,,5,,,,,,,Matches
2370,Loïc Perrin\Loic-Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,30,1985,27,2245,83,65.6,24.9,26,,24,1,,0,1.63,31,23,+8,+0.32,+1.01,Matches
2371,Aleksandar Pešić\Aleksandar-Pesic,rs SRB,FW,Atalanta,it Serie A,24,1992,6,88,15,2.6,1.0,0,,0,6,,18,1.67,3,2,+1,+1.02,+0.48,Matches
2372,Andrea Petagna\Andrea-Petagna,it ITA,FW,Atalanta,it Serie A,21,1995,34,2614,77,76.4,29.0,31,,16,3,,4,1.94,48,27,+21,+0.72,+0.72,Matches
2373,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,de Bundesliga,27,1988,33,1251,38,40.9,13.9,7,,3,26,,1,1.42,22,35,-13,-0.94,-0.69,Matches
2374,Bruno Petković\Bruno-Petkovic,hr CRO,FW,Bologna,it Serie A,21,1994,12,529,44,15.5,5.9,4,,3,8,,7,0.67,4,10,-6,-1.02,-0.65,Matches
2375,Denis Petrić\Denis-Petric,rs SRB,GK,Angers,fr Ligue 1,28,1988,9,810,90,23.7,9.0,9,,9,0,,17,0.56,5,15,-10,-1.11,-1.15,Matches
2376,Denis Petro\Denis-Petro,sk SVK,DF,Lazio,it Serie A,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
2377,Petros\Petros,br BRA,MF,Betis,es La Liga,27,1989,32,2139,67,62.5,23.8,24,,14,8,,4,1.03,27,46,-19,-0.80,-0.52,Matches
2378,Thanos Petsos\Thanos-Petsos,gr GRE,MF,Werder Bremen,de Bundesliga,25,1991,3,144,48,4.7,1.6,2,,1,1,,3,0.33,3,5,-2,-1.25,-1.22,Matches
2379,Stefano Pettinari\Stefano-Pettinari,it ITA,FW,Pescara,it Serie A,24,1992,6,258,43,7.5,2.9,2,,1,4,,9,0.33,3,5,-2,-0.70,+0.50,Matches
2380,Mathieu Peybernes\Mathieu-Peybernes,fr FRA,DF,Lorient,fr Ligue 1,25,1990,18,1530,85,44.7,17.0,18,,16,0,,0,1.00,16,28,-12,-0.71,-0.04,Matches
2381,Mathieu Peybernes\Mathieu-Peybernes,fr FRA,DF,Bastia,fr Ligue 1,25,1990,19,1640,86,48.0,18.2,19,,18,0,,0,1.05,16,21,-5,-0.27,+0.74,Matches
2382,Germán Pezzella\German-Pezzella,ar ARG,DF,Betis,es La Liga,25,1991,36,3099,86,90.6,34.4,36,,33,0,,0,1.00,37,59,-22,-0.64,-0.36,Matches
2383,Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DFMF,Palermo,it Serie A,18,1997,10,805,81,23.5,8.9,9,,8,1,,20,0.40,7,21,-14,-1.57,-0.53,Matches
2384,Maximilian Philipp\Maximilian-Philipp,de GER,FWMF,Freiburg,de Bundesliga,22,1994,25,1929,77,63.0,21.4,23,,14,2,,0,1.28,31,40,-9,-0.42,+0.30,Matches
2385,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,MF,Lorient,fr Ligue 1,28,1988,30,1557,52,45.5,17.3,18,,3,12,,3,0.93,20,27,-7,-0.40,+0.51,Matches
2386,Chris Philipps\Chris-Philipps,lu LUX,MFDF,Metz,fr Ligue 1,22,1994,11,815,74,23.8,9.1,9,,7,2,,9,1.18,8,9,-1,-0.11,+1.00,Matches
2387,Matt Phillips\Matt-Phillips,sco SCO,MF,West Brom,eng Premier League,25,1991,27,2181,81,63.8,24.2,26,,13,1,,1,1.37,30,28,+2,+0.08,+0.81,Matches
2388,Michael Phillips\Michael-Phillips,eng ENG,DFMF,Crystal Palace,eng Premier League,18,1997,0,,,,,0,,0,0,,3,,,,,,,Matches
2389,Jessy Pi\Jessy-Pi,fr FRA,MF,Toulouse,fr Ligue 1,22,1993,15,428,29,12.5,4.8,3,,0,12,,9,1.50,5,3,+2,+0.42,+0.60,Matches
2390,Pablo Piatti\Pablo-Piatti,ar ARG,MF,Espanyol,es La Liga,27,1989,30,2322,77,67.9,25.8,30,,12,0,,0,1.60,40,34,+6,+0.23,+0.81,Matches
2391,Alberto Picchi\Alberto-Picchi,it ITA,MF,Empoli,it Serie A,18,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
2392,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Betis,es La Liga,23,1992,23,1739,76,50.8,19.3,21,,15,2,,2,1.04,17,26,-9,-0.47,+0.28,Matches
2393,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Sunderland,eng Premier League,22,1994,29,2610,90,76.3,29.0,29,,29,0,,2,0.66,19,50,-31,-1.07,-0.07,Matches
2394,Jérémy Pied\Jeremy-Pied,fr FRA,DF,Southampton,eng Premier League,27,1989,4,129,32,3.8,1.4,1,,1,3,,5,1.25,2,1,+1,+0.70,+0.92,Matches
2395,Steven Pienaar\Steven-Pienaar,za RSA,MFFW,Sunderland,eng Premier League,34,1982,15,803,54,23.5,8.9,10,,0,5,,4,0.67,4,13,-9,-1.01,+0.06,Matches
2396,Nicholas Pierini\Nicholas-Pierini,it ITA,FW,Sassuolo,it Serie A,17,1998,0,,,,,0,,0,0,,10,,,,,,,Matches
2397,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,1998,14,963,69,28.2,10.7,11,,7,3,,8,1.07,6,12,-6,-0.56,-0.74,Matches
2398,Erik Pieters\Erik-Pieters,nl NED,DFMF,Stoke City,eng Premier League,27,1988,36,3151,88,92.1,35.0,35,,35,1,,2,1.19,38,50,-12,-0.34,+0.66,Matches
2399,Mirko Pigliacelli\Mirko-Pigliacelli,it ITA,GK,Pescara,it Serie A,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
2400,Alex Pike\Alex-Pike,eng ENG,DF,West Ham,eng Premier League,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
2401,Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Inter,it Serie A,17,1999,2,21,11,0.6,0.2,0,,0,2,,6,3.00,0,0,0,0.00,-0.61,Matches
2402,Pinchi\Pinchi,es ESP,FW,La Coruña,es La Liga,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches
2403,Óscar Pinchi\Oscar-Pinchi,es ESP,MF,La Coruña,es La Liga,20,1996,1,2,2,0.1,0.0,0,,,1,,0,,,,,,,Matches
2404,Mauricio Pinilla\Mauricio-Pinilla,cl CHI,FW,Atalanta,it Serie A,32,1984,4,157,39,4.6,1.7,2,,0,2,,4,2.25,1,0,+1,+0.57,+0.02,Matches
2405,Mauricio Pinilla\Mauricio-Pinilla,cl CHI,FW,Genoa,it Serie A,32,1984,12,553,46,16.2,6.1,6,,3,6,,2,0.50,3,9,-6,-0.98,-0.35,Matches
2406,Laurent Pionnier\Laurent-Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,34,1982,25,2250,90,65.8,25.0,25,,25,0,,12,1.04,31,38,-7,-0.28,+0.57,Matches
2407,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,29,1987,25,2191,88,64.1,24.3,25,,23,0,,3,2.28,73,24,+49,+2.01,-0.18,Matches
2408,Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,it Serie A,30,1986,29,2549,88,74.5,28.3,29,,24,0,,7,1.38,39,57,-18,-0.64,-0.33,Matches
2409,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DFMF,Dortmund,de Bundesliga,31,1985,25,2038,82,66.6,22.6,23,,22,2,,3,2.08,50,22,+28,+1.24,+0.88,Matches
2410,Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,de Bundesliga,37,1978,19,854,45,27.9,9.5,10,,2,9,,4,1.53,14,5,+9,+0.95,+1.44,Matches
2411,Marko Pjaca\Marko-Pjaca,hr CRO,MF,Juventus,it Serie A,21,1995,14,459,33,13.4,5.1,3,,1,11,,6,2.43,8,2,+6,+1.18,-0.16,Matches
2412,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Juventus,it Serie A,26,1990,30,2166,72,63.3,24.1,25,,15,5,,7,2.33,52,18,+34,+1.41,+0.26,Matches
2413,Johny Placide\Johny-Placide,ht HAI,GK,Guingamp,fr Ligue 1,28,1988,0,,,,,0,,0,0,,6,,,,,,,Matches
2414,Carles Planas\Carles-Planas,es ESP,DF,Celta Vigo,es La Liga,25,1991,12,946,79,27.7,10.5,11,,9,1,,4,1.08,10,13,-3,-0.29,+0.19,Matches
2415,Jaroslav Plašil\Jaroslav-Plasil,cz CZE,MF,Bordeaux,fr Ligue 1,34,1982,37,2400,65,70.2,26.7,26,,20,11,,1,1.59,36,37,-1,-0.04,-1.01,Matches
2416,Felix Platte\Felix-Platte,de GER,FWMF,Darmstadt 98,de Bundesliga,20,1996,9,467,52,15.3,5.2,6,,1,3,,0,1.33,7,4,+3,+0.58,+1.90,Matches
2417,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,24,1992,27,2430,90,79.4,27.0,27,,27,0,,0,1.59,37,36,+1,+0.04,+0.75,Matches
2418,Alassane Pléa\Alassane-Plea,fr FRA,FW,Nice,fr Ligue 1,23,1993,25,1840,74,53.8,20.4,22,,10,3,,0,2.12,28,19,+9,+0.44,-0.59,Matches
2419,Alessandro Plizzari\Alessandro-Plizzari,it ITA,GK,Milan,it Serie A,16,2000,0,,,,,0,,0,0,,29,,,,,,,Matches
2420,Morgan Poaty\Morgan-Poaty,cg CGO,DF,Montpellier,fr Ligue 1,19,1997,3,51,17,1.5,0.6,1,,0,2,,4,0.33,1,3,-2,-3.53,-3.10,Matches
2421,Florentin Pogba\Florentin-Pogba,gn GUI,DF,Saint-Étienne,fr Ligue 1,25,1990,17,1363,80,39.9,15.1,16,,15,1,,7,1.53,20,17,+3,+0.20,+0.37,Matches
2422,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,eng Premier League,23,1993,30,2608,87,76.3,29.0,29,,26,1,,1,1.97,46,21,+25,+0.86,+0.86,Matches
2423,Cesare Pogliano\Cesare-Pogliano,it ITA,DF,Chievo,it Serie A,18,1998,0,,,,,0,,0,0,,5,,,,,,,Matches
2424,Denis-Will Poha\Denis-Will-Poha,fr FRA,MF,Rennes,fr Ligue 1,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
2425,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Leverkusen,de Bundesliga,21,1994,11,191,17,6.2,2.1,1,,0,10,,8,1.73,9,4,+5,+2.36,+2.58,Matches
2426,Lukáš Pokorný\Lukas-Pokorny,cz CZE,DF,Montpellier,fr Ligue 1,23,1993,13,1089,84,31.8,12.1,12,,12,1,,4,1.15,13,17,-4,-0.33,+0.21,Matches
2427,Eugen Polanski\Eugen-Polanski,pl POL,MF,Hoffenheim,de Bundesliga,30,1986,14,634,45,20.7,7.0,7,,3,7,,19,2.14,9,8,+1,+0.14,-0.82,Matches
2428,Andrea Poli\Andrea-Poli,it ITA,MFDF,Milan,it Serie A,26,1989,13,389,30,11.4,4.3,3,,1,10,,20,2.15,3,6,-3,-0.69,-1.14,Matches
2429,Matteo Politano\Matteo-Politano,it ITA,FW,Sassuolo,it Serie A,22,1993,32,2313,72,67.6,25.7,25,,15,7,,0,1.31,37,40,-3,-0.12,+0.05,Matches
2430,Valère Pollet\Valere-Pollet,fr FRA,MF,Lille,fr Ligue 1,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
2431,Pierre-Yves Polomat\Pierre-Yves-Polomat,fr FRA,DFMF,Saint-Étienne,fr Ligue 1,22,1993,11,645,59,18.9,7.2,6,,6,5,,10,1.18,6,11,-5,-0.70,-0.83,Matches
2432,Alberto Pomini\Alberto-Pomini,it ITA,GK,Sassuolo,it Serie A,35,1981,0,,,,,0,,0,0,,32,,,,,,,Matches
2433,Marco Pompetti\Marco-Pompetti,it ITA,MF,Pescara,it Serie A,16,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
2434,Ezequiel Ponce\Ezequiel-Ponce,ar ARG,FW,Granada,es La Liga,19,1997,25,1146,46,33.5,12.7,10,,7,15,,4,0.36,10,28,-18,-1.41,-0.07,Matches
2435,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,24,1992,0,,,,,0,,0,0,,11,,,,,,,Matches
2436,Finn Porath\Finn-Porath,de GER,MF,Hamburger SV,de Bundesliga,19,1997,1,1,1,0.0,0.0,0,,0,1,,4,1.00,0,0,0,0.00,+0.82,Matches
2437,Josip Posavec\Josip-Posavec,hr CRO,GK,Palermo,it Serie A,20,1996,29,2610,90,76.3,29.0,29,,29,0,,9,0.52,26,63,-37,-1.28,-0.50,Matches
2438,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,de Bundesliga,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
2439,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,22,1994,29,2084,72,68.1,23.2,25,,8,4,,0,2.07,42,21,+21,+0.91,+0.35,Matches
2440,Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,fr Ligue 1,23,1992,7,585,84,17.1,6.5,7,,6,0,,6,1.86,11,10,+1,+0.15,-0.13,Matches
2441,Simon Pouplin\Simon-Pouplin,fr FRA,GK,Nice,fr Ligue 1,31,1985,0,,,,,0,,0,0,,2,,,,,,,Matches
2442,Darío Poveda\Dario-Poveda,es ESP,FW,Villarreal,es La Liga,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
2443,Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Sevilla,es La Liga,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
2444,Dennis Praet\Dennis-Praet,be BEL,MF,Sampdoria,it Serie A,22,1994,32,1799,56,52.6,20.0,19,,7,13,,5,1.13,26,20,+6,+0.30,+0.97,Matches
2445,Franjo Prce\Franjo-Prce,hr CRO,DF,Lazio,it Serie A,20,1996,1,2,2,0.1,0.0,0,,0,1,,7,1.00,0,1,-1,-45.00,-45.63,Matches
2446,Sanjin Prcić\Sanjin-Prcic,ba BIH,MF,Rennes,fr Ligue 1,22,1993,25,1852,74,54.2,20.6,22,,16,3,,5,1.44,20,23,-3,-0.15,+0.03,Matches
2447,Nicolas de Préville\Nicolas-de-Preville,fr FRA,MFFW,Lille,fr Ligue 1,25,1991,30,2059,69,60.2,22.9,23,,11,7,,1,1.30,28,28,0,0.00,+0.46,Matches
2448,Andrés Prieto\Andres-Prieto,es ESP,GK,Espanyol,es La Liga,22,1993,0,,,,,0,,0,0,,7,,,,,,,Matches
2449,Xabi Prieto\Xabi-Prieto,es ESP,MF,Real Sociedad,es La Liga,32,1983,38,2815,74,82.3,31.3,32,,23,6,,0,1.68,53,41,+12,+0.38,+1.28,Matches
2450,Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,fr Ligue 1,20,1995,14,1260,90,36.8,14.0,14,,14,0,,21,1.43,15,21,-6,-0.43,-1.10,Matches
2451,Sloan Privat\Sloan-Privat,fr FRA,FW,Guingamp,fr Ligue 1,27,1989,20,881,44,25.8,9.8,12,,0,8,,6,1.65,13,5,+8,+0.82,+1.35,Matches
2452,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,eng Premier League,29,1987,33,2769,84,81.0,30.8,32,,27,1,,2,1.09,32,49,-17,-0.55,+0.97,Matches
2453,Manuel Pucciarelli\Manuel-Pucciarelli,it ITA,FW,Empoli,it Serie A,25,1991,32,2303,72,67.3,25.6,25,,18,7,,3,0.78,17,45,-28,-1.09,-0.77,Matches
2454,Christian Puggioni\Christian-Puggioni,it ITA,GK,Sampdoria,it Serie A,35,1981,21,1890,90,55.3,21.0,21,,21,0,,17,1.05,26,35,-9,-0.43,-0.61,Matches
2455,Marc Pugh\Marc-Pugh,eng ENG,MF,Bournemouth,eng Premier League,29,1987,21,1328,63,38.8,14.8,16,,6,5,,4,1.29,23,24,-1,-0.07,+0.41,Matches
2456,Maurizio Pugliesi\Maurizio-Pugliesi,it ITA,GK,Empoli,it Serie A,39,1976,0,,,,,0,,0,0,,25,,,,,,,Matches
2457,Erick Pulgar\Erick-Pulgar,cl CHI,MF,Bologna,it Serie A,22,1994,27,1595,59,46.6,17.7,17,,11,10,,7,1.11,16,30,-14,-0.79,-0.59,Matches
2458,Christian Pulisic\Christian-Pulisic,us USA,MF,Dortmund,de Bundesliga,17,1998,29,1525,53,49.8,16.9,15,,10,14,,5,1.97,39,20,+19,+1.12,+0.36,Matches
2459,Jason Puncheon\Jason-Puncheon,eng ENG,MF,Crystal Palace,eng Premier League,30,1986,36,3091,86,90.4,34.3,35,,29,1,,0,1.14,42,53,-11,-0.32,+0.23,Matches
2460,Andrea Punzi\Andrea-Punzi,it ITA,DF,Palermo,it Serie A,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
2461,Loïc Puyo\Loic-Puyo,fr FRA,FW,Nancy,fr Ligue 1,27,1988,22,1433,65,41.9,15.9,15,,11,7,,3,1.00,12,21,-9,-0.57,+0.07,Matches
2462,Fabio Quagliarella\Fabio-Quagliarella,it ITA,FW,Sampdoria,it Serie A,33,1983,37,2875,78,84.1,31.9,35,,23,2,,1,1.27,44,49,-5,-0.16,+0.01,Matches
2463,Alessandro Quaini\Alessandro-Quaini,it ITA,MF,Genoa,it Serie A,17,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
