Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Michael Esser,de GER,GK,Hannover 96,de Bundesliga,1987,9,0,0.0,0.0,0.0,5.2,0.25,-3.8,20.0,54.0,37.0,95.0,18.0,46.3,37.1,26.0,38.5,38.3,32.0,3.0,9.4,2.0,13.2,2018
Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,1985,56,3,1.0,7.0,2.0,58.6,0.29,4.6,251.0,662.0,37.9,782.0,102.0,56.8,46.3,236.0,92.4,67.2,446.0,41.0,9.2,14.0,13.7,2018
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,1988,37,3,0.0,3.0,1.0,33.2,0.26,-2.8,180.0,496.0,36.3,699.0,122.0,49.9,41.1,217.0,67.7,50.7,290.0,37.0,12.8,15.0,14.3,2018
Andrés Fernández,es ESP,GK,Villarreal,es La Liga,1986,6,1,0.0,1.0,0.0,5.3,0.33,-0.7,9.0,26.0,34.6,35.0,4.0,45.7,38.3,15.0,66.7,50.1,25.0,3.0,12.0,1.0,14.5,2018
Raúl Fernández,es ESP,GK,Levante,es La Liga,1988,15,0,1.0,3.0,0.0,16.7,0.33,1.7,92.0,206.0,44.7,176.0,22.0,73.3,52.8,78.0,98.7,69.7,121.0,17.0,14.0,12.0,16.1,2018
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,1988,30,0,1.0,3.0,1.0,27.4,0.28,-1.6,86.0,301.0,28.6,317.0,52.0,63.1,49.6,115.0,87.8,66.1,189.0,12.0,6.3,7.0,12.9,2018
Ben Foster,eng ENG,GK,West Brom,eng Premier League,1983,55,1,3.0,7.0,1.0,50.1,0.33,-3.9,267.0,711.0,37.6,670.0,51.0,75.2,53.9,213.0,97.2,72.2,463.0,28.0,6.0,15.0,14.1,2018
Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,1992,0,0,0.0,0.0,0.0,0.7,0.22,0.7,2.0,7.0,28.6,16.0,2.0,37.5,36.6,3.0,33.3,43.7,7.0,2.0,28.6,0.0,21.0,2018
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,1990,28,1,1.0,5.0,2.0,33.9,0.24,7.9,194.0,511.0,38.0,663.0,99.0,52.3,43.0,194.0,84.5,62.7,346.0,23.0,6.6,17.0,13.5,2018
Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,1987,3,0,0.0,0.0,0.0,2.2,0.31,-0.8,26.0,59.0,44.1,52.0,8.0,69.2,50.3,24.0,95.8,68.2,28.0,4.0,14.3,2.0,14.2,2018
