Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Bryan Costa,it ITA,GK,Sassuolo,it Serie A,1998.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,1987.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.32,36.0,42.0,-6.0,-0.16,,2017,,,,,
Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,1992.0,36,3240.0,90.0,94.7,36.0,36,,36.0,0,,0,2.5,81.0,28.0,53.0,1.47,1.97,2017,,,,,
Lorenzo Crisanto,it ITA,GK,Roma,it Serie A,1998.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Luca Crosta,it ITA,GK,Cagliari,it Serie A,1998.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,18,3.0,2.0,1.0,1.0,1.0,1.59,2017,,,,,
Tommaso Cucchietti,it ITA,GK,Torino,it Serie A,1998.0,0,,,,,0,,0.0,0,,32,,,,,,,2017,,,,,
Iván Cuéllar,es ESP,GK,Sporting Gijón,es La Liga,1984.0,36,3240.0,90.0,94.7,36.0,36,,36.0,0,,0,0.78,38.0,69.0,-31.0,-0.86,-1.36,2017,,,,,
Riccardo Daga,it ITA,GK,Cagliari,it Serie A,2000.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Morgan De Sanctis,it ITA,GK,Monaco,fr Ligue 1,1977.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,33,3.0,4.0,1.0,3.0,3.0,1.03,2017,,,,,
Mattia Del Favero,it ITA,GK,Juventus,it Serie A,1998.0,0,,,,,0,,0.0,0,,3,,,,,,,2017,,,,,
Paul Delecroix,fr FRA,GK,Lorient,fr Ligue 1,1988.0,7,630.0,90.0,18.4,7.0,7,,7.0,0,,30,1.14,11.0,18.0,-7.0,-1.0,-0.39,2017,,,,,
Rémy Descamps,fr FRA,GK,Paris S-G,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,1992.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,1995.0,32,2880.0,90.0,84.2,32.0,32,,32.0,0,,4,1.09,30.0,64.0,-34.0,-1.06,-1.23,2017,,,,,
Jaume Doménech,es ESP,GK,Valencia,es La Liga,1990.0,3,270.0,90.0,7.9,3.0,3,,3.0,0,,32,2.0,6.0,4.0,2.0,0.67,0.98,2017,,,,,
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,1999.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.66,57.0,45.0,12.0,0.32,,2017,,,,,
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,1997.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,17,1.0,2.0,2.0,0.0,0.0,-0.16,2017,,,,,
Matthieu Dreyer,fr FRA,GK,Caen,fr Ligue 1,1989.0,2,180.0,90.0,5.3,2.0,2,,2.0,0,,30,1.5,4.0,2.0,2.0,1.0,1.86,2017,,,,,
Jaroslav Drobný,cz CZE,GK,Werder Bremen,de Bundesliga,1979.0,10,849.0,85.0,27.7,9.4,10,,9.0,0,,14,1.3,13.0,15.0,-2.0,-0.21,-0.17,2017,,,,,
Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,1993.0,16,1440.0,90.0,42.1,16.0,16,,16.0,0,,21,1.69,20.0,20.0,0.0,0.0,0.64,2017,,,,,
Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,1982.0,32,2854.0,89.0,83.5,31.7,32,,31.0,0,,0,1.16,31.0,40.0,-9.0,-0.28,-0.6,2017,,,,,
Aarón Escandell,es ESP,GK,Málaga,es La Liga,1995.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Michael Esser,de GER,GK,Darmstadt 98,de Bundesliga,1987.0,28,2484.0,89.0,81.2,27.6,28,,27.0,0,,0,0.75,23.0,50.0,-27.0,-0.98,0.27,2017,,,,,
Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,1985.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,1.03,43.0,69.0,-26.0,-0.7,-1.7,2017,,,,,
Diego Faccioli,it ITA,GK,Genoa,it Serie A,1998.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,1988.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.26,45.0,40.0,5.0,0.15,,2017,,,,,
Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,1995.0,0,,,,,0,,0.0,0,,9,,,,,,,2017,,,,,
Adam Federici,au AUS,GK,Bournemouth,eng Premier League,1985.0,2,180.0,90.0,5.3,2.0,2,,2.0,0,,20,1.5,2.0,3.0,-1.0,-0.5,-0.19,2017,,,,,
Álvaro Fernández,es ESP,GK,Osasuna,es La Liga,1998.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,,4,0.0,0.0,0.0,0.0,0.0,1.44,2017,,,,,
Andrés Fernández,es ESP,GK,Villarreal,es La Liga,1986.0,15,1316.0,88.0,38.5,14.6,14,,14.0,1,,21,1.87,26.0,18.0,8.0,0.55,-0.09,2017,,,,,
Mario Fernández,es ESP,GK,Osasuna,es La Liga,1988.0,7,585.0,84.0,17.1,6.5,7,,6.0,0,,21,0.57,10.0,14.0,-4.0,-0.62,0.97,2017,,,,,
Marco Festa,it ITA,GK,Crotone,it Serie A,1992.0,3,184.0,61.0,5.4,2.0,2,,2.0,1,,35,0.0,1.0,4.0,-3.0,-1.47,-0.88,2017,,,,,
Vincenzo Fiorillo,it ITA,GK,Pescara,it Serie A,1990.0,9,810.0,90.0,23.7,9.0,9,,9.0,0,,28,0.67,8.0,15.0,-7.0,-0.78,0.5,2017,,,,,
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,1988.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.21,41.0,48.0,-7.0,-0.18,,2017,,,,,
Ben Foster,eng ENG,GK,West Brom,eng Premier League,1983.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.18,43.0,51.0,-8.0,-0.21,,2017,,,,,
Andrea Fulignati,it ITA,GK,Palermo,it Serie A,1994.0,9,810.0,90.0,23.7,9.0,9,,9.0,0,,24,1.22,7.0,14.0,-7.0,-0.78,0.5,2017,,,,,
Gabriel,br BRA,GK,Milan,it Serie A,1992.0,0,,,,,0,,0.0,0,,18,,,,,,,2017,,,,,
Gabriel,br BRA,GK,Cagliari,it Serie A,1992.0,3,270.0,90.0,7.9,3.0,3,,3.0,0,,12,1.33,4.0,7.0,-3.0,-1.0,-0.49,2017,,,,,
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,1990.0,35,3150.0,90.0,92.1,35.0,35,,35.0,0,,0,1.77,49.0,29.0,20.0,0.57,-1.1,2017,,,,,
Ioannis Gelios,gr GRE,GK,Augsburg,de Bundesliga,1992.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Edvinas Gertmonas,lt LTU,GK,Rennes,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,11,,,,,,,2017,,,,,
Simone Ghidotti,it ITA,GK,Fiorentina,it Serie A,2000.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Fabian Giefer,de GER,GK,Schalke 04,de Bundesliga,1990.0,0,,,,,0,,0.0,0,,9,,,,,,,2017,,,,,
Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,1987.0,0,,,,,0,,0.0,0,,32,,,,,,,2017,,,,,
Rene Gilmartin,ie IRL,GK,Watford,eng Premier League,1987.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Dani Giménez,es ESP,GK,Betis,es La Liga,1983.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,35,1.0,4.0,4.0,0.0,0.0,0.62,2017,,,,,
Shay Given,ie IRL,GK,Stoke City,eng Premier League,1976.0,5,450.0,90.0,13.2,5.0,5,,5.0,0,,27,0.2,3.0,14.0,-11.0,-2.2,-2.08,2017,,,,,
Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,1988.0,2,180.0,90.0,5.3,2.0,2,,2.0,0,,36,1.0,0.0,0.0,0.0,0.0,0.11,2017,,,,,
Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,1995.0,4,360.0,90.0,10.5,4.0,4,,4.0,0,,15,2.5,6.0,1.0,5.0,1.25,0.78,2017,,,,,
Heurelho Gomes,br BRA,GK,Watford,eng Premier League,1981.0,38,3337.0,88.0,97.6,37.1,38,,36.0,0,,0,1.05,39.0,64.0,-25.0,-0.67,2.58,2017,,,,,
Alfred Gomis,sn SEN,GK,Torino,it Serie A,1993.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Alfred Gomis,sn SEN,GK,Bologna,it Serie A,1993.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,1990.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,36,3.0,4.0,2.0,2.0,2.0,1.27,2017,,,,,
Lee Grant,eng ENG,GK,Stoke City,eng Premier League,1983.0,28,2520.0,90.0,73.7,28.0,28,,28.0,0,,7,1.36,34.0,34.0,0.0,0.0,1.5,2017,,,,,
Stefano Greco,it ITA,GK,Roma,it Serie A,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Max Grün,de GER,GK,Wolfsburg,de Bundesliga,1987.0,0,,,,,0,,0.0,0,,7,,,,,,,2017,,,,,
Alessandro Guarnone,it ITA,GK,Milan,it Serie A,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Samuel Guddo,it ITA,GK,Palermo,it Serie A,1999.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Alexis Guendouz,fr FRA,GK,Saint-Étienne,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Théo Guivarch,fr FRA,GK,Guingamp,fr Ligue 1,1995.0,1,50.0,50.0,1.5,0.6,0,,0.0,1,,14,0.0,1.0,2.0,-1.0,-1.8,-1.64,2017,,,,,
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,1990.0,33,2970.0,90.0,97.1,33.0,33,,33.0,0,,0,1.94,62.0,39.0,23.0,0.7,-3.3,2017,,,,,
Angus Gunn,eng ENG,GK,Manchester City,eng Premier League,1996.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Brad Guzan,us USA,GK,Middlesbrough,eng Premier League,1984.0,10,900.0,90.0,26.3,10.0,10,,10.0,0,,26,0.9,7.0,17.0,-10.0,-1.0,-0.43,2017,,,,,
Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,1987.0,0,,,,,0,,0.0,0,,8,,,,,,,2017,,,,,
Matthias Hamrol,de GER,GK,Köln,de Bundesliga,1993.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Samir Handanović,si SVN,GK,Inter,it Serie A,1984.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,1,1.59,67.0,47.0,20.0,0.54,-2.46,2017,,,,,
