,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
11,Marcos Acuña\Marcos-Acuna,ar ARG,DF,pt Sporting CP,27,1991,6,552,92,73.6,6.1,6,92,5,0,,1,2.00,13,9,+4,+0.65,+1.11,8.0,6.6,+1.3,+0.22,+1.03,Matches
12,Denis Adamov\Denis-Adamov,ru RUS,GK,ru Krasnodar,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
13,Samuel Adegbenro\Samuel-Adegbenro,ng NGA,FW,no Rosenborg,23,1995,6,482,80,89.3,5.4,6,80,2,0,,0,0.17,3,11,-8,-1.49,-1.49,4.3,6.9,-2.6,-0.49,-0.18,Matches
14,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,it Lazio,20,1999,3,98,33,18.1,1.1,1,64,0,2,17,2,1.00,1,1,0,0.00,+0.61,1.3,1.9,-0.6,-0.54,-0.43,Matches
15,Kemal Ademi\Kemal-Ademi,ch SUI,FW,ch Basel,23,1996,9,319,35,32.2,3.5,4,59,0,5,17,0,2.11,5,3,+2,+0.56,-0.91,5.1,3.3,+1.8,+0.51,+0.20,Matches
16,Karim Adeyemi\Karim-Adeyemi,de GER,MF,at RB Salzburg,17,2002,1,45,45,25.0,0.5,0,,0,1,45,0,0.00,1,2,-1,-2.00,-0.67,1.0,1.1,-0.1,-0.18,+0.32,Matches
17,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,22,1997,6,472,79,87.4,5.2,5,90,5,1,22,0,1.33,7,5,+2,+0.38,+1.70,7.2,6.4,+0.8,+0.16,+1.32,Matches
18,Ibrahim Afellay\Ibrahim-Afellay,nl NED,FWMF,nl PSV Eindhoven,33,1986,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
19,Lucien Agoume\Lucien-Agoume,fr FRA,MF,it Inter,17,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
20,Mikel Agu\Mikel-Agu,ng NGA,MF,pt Vitória,26,1993,5,429,86,79.4,4.8,5,86,4,0,,1,0.83,4,7,-3,-0.63,-0.63,4.9,5.9,-1.1,-0.23,+1.20,Matches
21,Anel Ahmedhodzic\Anel-Ahmedhodzic,ba BIH,DF,se Malmö,20,1999,2,180,90,25.0,2.0,2,90,2,0,,0,0.00,1,5,-4,-2.00,-2.33,1.7,2.7,-1.1,-0.53,-0.54,Matches
22,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Saint-Étienne,25,1994,4,243,61,45.0,2.7,4,61,1,0,,0,0.75,3,3,0,0.00,+0.61,2.2,2.8,-0.6,-0.23,-0.47,Matches
23,Ailton\Ailton,br BRA,DF,az Qarabağ Ağdam,24,1995,6,540,90,100.0,6.0,6,90,6,0,,0,1.14,8,11,-3,-0.50,,8.7,6.7,+2.0,+0.34,,Matches
24,Kristoffer Ajer\Kristoffer-Ajer,no NOR,DF,sco Celtic,21,1998,8,675,84,93.8,7.5,7,90,7,1,45,0,2.00,12,10,+2,+0.27,+0.27,9.6,9.1,+0.4,+0.06,+1.16,Matches
25,Reda Akbib\Reda-Akbib,be BEL,DF,be Gent,18,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
26,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,21,1997,6,351,59,65.0,3.9,4,72,0,2,32,0,0.83,1,4,-3,-0.77,+0.66,5.3,4.1,+1.3,+0.33,+1.39,Matches
27,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,33,1986,5,450,90,83.3,5.0,5,90,5,0,,0,0.40,2,9,-7,-1.40,-2.40,7.1,7.9,-0.8,-0.16,-0.02,Matches
28,Babajide Akintola\Babajide-Akintola,ng NGA,FW,no Rosenborg,23,1996,3,255,85,47.2,2.8,3,85,2,0,,2,0.00,2,7,-5,-1.76,-0.82,3.2,4.5,-1.4,-0.48,-0.02,Matches
29,Muhammet Akpınar\Muhammet-Akpinar,tr TUR,FWMF,tr Trabzonspor,17,2002,3,201,67,37.2,2.2,2,81,1,1,40,0,0.00,0,4,-4,-1.79,-0.73,0.9,3.5,-2.6,-1.17,-0.47,Matches
30,Nana Akwasi Asare\Nana-Akwasi-Asare,gh GHA,DF,be Gent,33,1986,5,450,90,62.5,5.0,5,90,5,0,,1,2.00,11,7,+4,+0.80,+1.13,4.6,6.5,-1.9,-0.38,-0.58,Matches
31,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,3,175,58,38.9,1.9,2,85,1,1,6,1,2.00,5,2,+3,+1.54,+0.89,4.3,1.3,+3.0,+1.54,+1.59,Matches
32,Luis Alberto\Luis-Alberto,es ESP,MF,it Lazio,26,1992,4,208,52,38.5,2.3,2,69,0,2,36,0,1.50,3,3,0,0.00,+0.81,2.6,2.7,-0.1,-0.02,+0.25,Matches
33,Omar Alderete\Omar-Alderete,py PAR,DF,ch Basel,22,1996,10,900,90,90.9,10.0,10,90,10,0,,0,2.20,20,8,+12,+1.20,+0.20,16.0,12.4,+3.6,+0.36,-0.18,Matches
