,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
658,Djibril Sow\Djibril-Sow,ch SUI,MF,de M'Gladbach,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
659,Andraž Šporar\Andraz-Sporar,si SVN,FW,ch Basel,22,1994,4,93,23,17.2,1.0,0,,0,4,,0,0.25,1,3,-2,-1.94,-0.53,Matches
660,Tom Starke\Tom-Starke,de GER,GK,de Bayern Munich,35,1981,0,,,,,0,,0,0,,1,,,,,,,Matches
661,Renato Steffen\Renato-Steffen,ch SUI,MFFW,ch Basel,24,1991,5,450,90,83.3,5.0,5,,5,0,,0,0.20,3,12,-9,-1.80,-1.80,Matches
662,Raheem Sterling\Raheem-Sterling,eng ENG,MFFW,eng Manchester City,21,1994,7,578,83,80.3,6.4,7,,3,0,,0,1.75,15,15,0,0.00,-2.54,Matches
663,Lars Stindl\Lars-Stindl,de GER,MFFW,de M'Gladbach,27,1988,5,387,77,71.7,4.3,5,,1,0,,0,1.57,5,7,-2,-0.47,+2.48,Matches
664,Petar Stojanović\Petar-Stojanovic,si SVN,DFMF,hr Dinamo Zagreb,20,1995,4,241,60,44.6,2.7,3,,2,1,,0,1.60,0,5,-5,-1.87,+1.14,Matches
665,John Stones\John-Stones,eng ENG,DF,eng Manchester City,22,1994,7,557,80,77.4,6.2,6,,6,1,,1,1.89,14,12,+2,+0.32,-0.78,Matches
666,Nikola Storm\Nikola-Storm,be BEL,FWMF,be Club Brugge,21,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
667,Vladislav Stoyanov\Vladislav-Stoyanov,bg BUL,GK,bg Ludogorets,29,1987,5,450,90,83.3,5.0,5,,5,0,,1,1.55,4,12,-8,-1.60,-0.60,Matches
668,Carlos Strandberg\Carlos-Strandberg,se SWE,FW,ru CSKA Moscow,20,1996,5,97,19,18.0,1.1,1,,0,4,,1,0.60,0,4,-4,-3.71,-3.31,Matches
669,Tobias Strobl\Tobias-Strobl,de GER,MFDF,de M'Gladbach,26,1990,5,437,87,80.9,4.9,5,,4,0,,0,1.57,4,10,-6,-1.24,-0.36,Matches
670,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,it Juventus,23,1993,4,139,35,11.9,1.5,1,,1,3,,1,2.50,4,1,+3,+1.94,+0.81,Matches
671,Denis Suárez\Denis-Suarez,es ESP,MF,es Barcelona,22,1994,1,90,90,10.0,1.0,1,,1,0,,6,3.00,4,0,+4,+4.00,+2.89,Matches
672,Luis Suárez\Luis-Suarez,uy URU,FW,es Barcelona,29,1987,9,810,90,90.0,9.0,9,,9,0,,1,1.78,22,12,+10,+1.11,-2.89,Matches
