,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,2302,85,75.2,25.6,27,,25,0,,1,1.41,30,31,-1,-0.04,-0.16,31.7,29.4,+2.3,+0.09,+0.22,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,31,1726,56,50.5,19.2,15,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,14.9,30.8,-15.9,-0.83,-0.17,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,850,71,27.8,9.4,11,,8,1,,3,1.00,8,11,-3,-0.32,+0.54,7.4,11.0,-3.6,-0.39,-0.15,Matches
14,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,49.3,49.4,0.0,0.00,,Matches
15,Karim Achahbar\Karim-Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
16,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,17.3,-7.6,-0.73,-0.81,Matches
17,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,11,411,37,12.0,4.6,5,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,6.3,9.3,-3.0,-0.65,-0.06,Matches
18,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,2700,90,78.9,30.0,30,,30,0,,0,1.53,50,53,-3,-0.10,-0.35,31.2,42.0,-10.8,-0.36,-0.52,Matches
19,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
20,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,31,1840,59,53.8,20.4,20,,13,11,,4,1.16,29,32,-3,-0.15,+0.20,29.2,25.3,+3.9,+0.19,+0.29,Matches
21,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,2921,86,85.4,32.5,32,,32,2,,2,1.26,32,37,-5,-0.15,-0.15,28.9,50.3,-21.4,-0.66,-0.85,Matches
22,Raphaël Adiceam\Raphael-Adiceam,fr FRA,GK,Amiens,fr Ligue 1,27,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,17.1,16.9,+0.3,+0.02,+0.04,Matches
24,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,1260,90,41.2,14.0,14,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,15.6,21.1,-5.5,-0.39,+0.14,Matches
25,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,1674,73,48.9,18.6,18,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.3,-3.0,-0.16,+0.05,Matches
26,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,1710,90,50.0,19.0,19,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,19.9,30.0,-10.0,-0.53,+0.02,Matches
27,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,2155,65,63.0,23.9,21,,15,12,,2,1.12,26,24,+2,+0.08,+0.79,27.8,27.9,-0.1,0.00,+0.12,Matches
28,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,166,28,4.9,1.8,1,,0,5,,10,1.00,1,9,-8,-4.34,-3.65,0.8,4.7,-3.9,-2.09,-1.58,Matches
