Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Nabil Bahoui,se SWE,MF,Hamburger SV,de Bundesliga,1991.0,1,66.0,66.0,2.2,0.7,1,,0.0,0,,2,0.0,0.0,0.0,0.0,0.0,0.84,2017,,,,,
Daniel Baier,de GER,MF,Augsburg,de Bundesliga,1984.0,27,2393.0,89.0,78.2,26.6,27,,21.0,0,,0,1.0,25.0,34.0,-9.0,-0.34,0.61,2017,,,,,
Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,1997.0,8,140.0,18.0,4.6,1.6,0,,0.0,8,,1,0.75,3.0,3.0,0.0,0.0,0.06,2017,,,,,
Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,1994.0,25,2058.0,82.0,60.2,22.9,24,,21.0,1,,2,1.96,36.0,15.0,21.0,0.92,0.65,2017,,,,,
Leighton Baines,eng ENG,DFMF,Everton,eng Premier League,1984.0,32,2819.0,88.0,82.4,31.3,32,,29.0,0,,0,1.75,55.0,34.0,21.0,0.67,1.12,2017,,,,,
Cédric Bakambu,cd COD,FW,Villarreal,es La Liga,1991.0,26,1570.0,60.0,45.9,17.4,17,,7.0,9,,0,1.69,33.0,19.0,14.0,0.8,0.36,2017,,,,,
Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,1994.0,32,2223.0,69.0,65.0,24.7,25,,19.0,7,,2,2.41,69.0,27.0,42.0,1.7,-0.86,2017,,,,,
Zakaria Bakkali,be BEL,FW,Valencia,es La Liga,1996.0,18,303.0,17.0,8.9,3.4,1,,0.0,17,,12,1.11,4.0,7.0,-3.0,-0.89,-0.72,2017,,,,,
Ibourahima Baldé,es ESP,FW,Sampdoria,it Serie A,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Keita Baldé,sn SEN,FW,Lazio,it Serie A,1995.0,31,1926.0,62.0,56.3,21.4,21,,5.0,10,,0,1.97,54.0,27.0,27.0,1.26,1.5,2017,,,,,
Gareth Bale,wal WAL,FW,Real Madrid,es La Liga,1989.0,19,1419.0,75.0,41.5,15.8,17,,9.0,2,,0,2.16,43.0,14.0,29.0,1.84,0.22,2017,,,,,
Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,1988.0,33,2845.0,86.0,83.2,31.6,33,,29.0,0,,1,1.73,45.0,34.0,11.0,0.35,0.5,2017,,,,,
Andrija Balić,hr CRO,MFFW,Udinese,it Serie A,1997.0,4,239.0,60.0,7.0,2.7,3,,1.0,1,,28,0.5,4.0,6.0,-2.0,-0.75,-0.56,2017,,,,,
Iván Balliu,al ALB,DF,Metz,fr Ligue 1,1992.0,27,2331.0,86.0,68.2,25.9,26,,25.0,1,,8,1.3,25.0,50.0,-25.0,-0.97,-0.3,2017,,,,,
Fodé Ballo-Touré,sn SEN,DF,Paris S-G,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,1980.0,23,1714.0,75.0,50.1,19.0,20,,12.0,3,,0,1.04,24.0,29.0,-5.0,-0.26,0.11,2017,,,,,
Joakim Balmy,fr FRA,FW,Nice,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Norbert Balogh,hu HUN,MFFW,Palermo,it Serie A,1996.0,16,532.0,33.0,15.6,5.9,6,,0.0,10,,15,0.75,5.0,12.0,-7.0,-1.18,-0.03,2017,,,,,
Leon Balogun,ng NGA,DF,Mainz 05,de Bundesliga,1988.0,17,1023.0,60.0,33.4,11.4,13,,10.0,4,,7,1.24,18.0,23.0,-5.0,-0.44,-0.17,2017,,,,,
Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,1990.0,23,1741.0,76.0,50.9,19.3,20,,9.0,3,,0,1.96,32.0,21.0,11.0,0.57,-0.29,2017,,,,,
Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,1990.0,8,593.0,74.0,17.3,6.6,7,,6.0,1,,1,2.0,14.0,8.0,6.0,0.91,1.39,2017,,,,,
Jonathan Bamba,fr FRA,FW,Angers,fr Ligue 1,1996.0,16,833.0,52.0,24.4,9.3,9,,2.0,7,,2,1.31,16.0,12.0,4.0,0.43,0.88,2017,,,,,
Patrick Bamford,eng ENG,FWMF,Burnley,eng Premier League,1993.0,6,39.0,7.0,1.1,0.4,0,,0.0,6,,7,0.67,1.0,1.0,0.0,0.0,0.43,2017,,,,,
Patrick Bamford,eng ENG,FW,Middlesbrough,eng Premier League,1993.0,8,287.0,36.0,8.4,3.2,2,,2.0,6,,3,0.25,1.0,7.0,-6.0,-1.88,-1.31,2017,,,,,
Yacine Bammou,ma MAR,FWMF,Nantes,fr Ligue 1,1991.0,32,1778.0,56.0,52.0,19.8,18,,6.0,14,,4,1.28,18.0,28.0,-10.0,-0.51,-0.29,2017,,,,,
Éver Banega,ar ARG,MF,Inter,it Serie A,1988.0,28,1555.0,56.0,45.5,17.3,20,,6.0,8,,8,1.71,35.0,22.0,13.0,0.75,0.27,2017,,,,,
