Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Joe Allen,wal WAL,1990.0,2018.0,Stoke City,eng Premier League,1080.0,1365.0,79.1,19116.0,5473.0,479.0,563.0,85.1,465.0,558.0,83.3,116.0,185.0,62.7,6.0,2.6,3.4,32.0,106.0,28.0,4.0,119.0
Dele Alli,eng ENG,1996.0,2018.0,Tottenham,eng Premier League,972.0,1256.0,77.4,15636.0,4239.0,490.0,583.0,84.0,359.0,432.0,83.1,81.0,138.0,58.7,10.0,7.9,2.1,60.0,87.0,54.0,2.0,135.0
José Alonso Lara,es ESP,2000.0,2018.0,Sevilla,es La Liga,3.0,4.0,75.0,45.0,11.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Júnior Alonso,py PAR,1993.0,2018.0,Lille,fr Ligue 1,1495.0,1875.0,79.7,34187.0,14235.0,366.0,425.0,86.1,797.0,904.0,88.2,324.0,515.0,62.9,0.0,0.5,-0.5,9.0,101.0,6.0,2.0,100.0
Marcos Alonso,es ESP,1990.0,2018.0,Chelsea,eng Premier League,1277.0,1646.0,77.6,22912.0,7255.0,563.0,654.0,86.1,548.0,658.0,83.3,142.0,248.0,57.3,2.0,2.3,-0.3,31.0,53.0,30.0,13.0,118.0
Ricky Álvarez,ar ARG,1988.0,2018.0,Sampdoria,it Serie A,131.0,174.0,75.3,2034.0,552.0,79.0,95.0,83.2,34.0,46.0,73.9,13.0,26.0,50.0,1.0,0.3,0.7,5.0,10.0,6.0,3.0,9.0
Yeray Álvarez,es ESP,1995.0,2018.0,Athletic Club,es La Liga,359.0,437.0,82.2,8368.0,2911.0,82.0,98.0,83.7,185.0,209.0,88.5,89.0,125.0,71.2,0.0,0.0,0.0,1.0,37.0,1.0,0.0,30.0
Dani Alves,br BRA,1983.0,2018.0,Paris S-G,fr Ligue 1,1686.0,1987.0,84.9,27933.0,11149.0,919.0,997.0,92.2,530.0,618.0,85.8,186.0,284.0,65.5,4.0,5.6,-1.6,48.0,139.0,63.0,20.0,176.0
Ibrahim Amadou,fr FRA,1993.0,2018.0,Lille,fr Ligue 1,1339.0,1539.0,87.0,29082.0,8432.0,372.0,417.0,89.2,699.0,749.0,93.3,251.0,342.0,73.4,0.0,0.5,-0.5,11.0,118.0,3.0,1.0,104.0
Eloi Amagat,es ESP,1985.0,2018.0,Girona,es La Liga,7.0,8.0,87.5,137.0,61.0,3.0,3.0,100.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Morgan Amalfitano,fr FRA,1985.0,2018.0,Rennes,fr Ligue 1,207.0,260.0,79.6,3038.0,894.0,116.0,128.0,90.6,72.0,84.0,85.7,11.0,34.0,32.4,0.0,0.5,-0.5,5.0,16.0,5.0,0.0,22.0
Romain Amalfitano,fr FRA,1989.0,2018.0,Dijon,fr Ligue 1,1129.0,1400.0,80.6,24954.0,6440.0,346.0,403.0,85.9,545.0,604.0,90.2,222.0,345.0,64.3,1.0,2.0,-1.0,26.0,138.0,25.0,5.0,121.0
Daniel Amartey,gh GHA,1994.0,2018.0,Leicester City,eng Premier League,225.0,291.0,77.3,4348.0,1844.0,88.0,98.0,89.8,102.0,125.0,81.6,32.0,61.0,52.5,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25.0
Jordi Amat,es ESP,1992.0,2018.0,Betis,es La Liga,1404.0,1572.0,89.3,29632.0,7563.0,378.0,417.0,90.6,813.0,871.0,93.3,210.0,265.0,79.2,0.0,0.1,-0.1,5.0,81.0,3.0,0.0,70.0
