Player,Nation,Born,Season,Squad,Comp,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Quentin Boisgard,fr FRA,1997.0,2021.0,Lorient,fr Ligue 1,5.0,0.0,0.0,24.0,17.0,2.0,0.0,0.0,0.0,92.0,9.0,20.0,31.0
Willy Boly,ci CIV,1991.0,2021.0,Wolves,eng Premier League,1.0,0.0,0.0,13.0,8.0,0.0,0.0,1.0,0.0,152.0,56.0,15.0,78.9
Giacomo Bonaventura,it ITA,1989.0,2021.0,Fiorentina,it Serie A,4.0,0.0,0.0,33.0,28.0,5.0,0.0,0.0,0.0,128.0,16.0,25.0,39.0
Federico Bonazzoli,it ITA,1997.0,2021.0,Torino,it Serie A,2.0,0.0,0.0,9.0,13.0,3.0,0.0,0.0,0.0,24.0,1.0,8.0,11.1
Federico Bonazzoli,it ITA,1997.0,2021.0,Sampdoria,it Serie A,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Kevin Bonifazi,it ITA,1996.0,2021.0,Udinese,it Serie A,2.0,0.0,0.0,15.0,10.0,0.0,0.0,1.0,0.0,169.0,37.0,17.0,68.5
Leonardo Bonucci,it ITA,1987.0,2021.0,Juventus,it Serie A,3.0,0.0,0.0,18.0,12.0,3.0,0.0,1.0,0.0,140.0,32.0,11.0,74.4
Dennis Borkowski,de GER,2002.0,2021.0,RB Leipzig,de Bundesliga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Sebastiaan Bornauw,be BEL,1999.0,2021.0,Köln,de Bundesliga,2.0,0.0,0.0,19.0,9.0,2.0,0.0,2.0,0.0,130.0,33.0,32.0,50.8
Sven Botman,nl NED,2000.0,2021.0,Lille,fr Ligue 1,2.0,0.0,0.0,10.0,23.0,2.0,0.0,0.0,0.0,326.0,104.0,42.0,71.2
Denis Bouanga,ga GAB,1994.0,2021.0,Saint-Étienne,fr Ligue 1,5.0,0.0,0.0,47.0,27.0,9.0,1.0,0.0,1.0,132.0,50.0,81.0,38.2
Hicham Boudaoui,dz ALG,1999.0,2021.0,Nice,fr Ligue 1,7.0,0.0,0.0,23.0,20.0,5.0,1.0,0.0,0.0,112.0,16.0,23.0,41.0
Ryad Boudebouz,dz ALG,1990.0,2021.0,Saint-Étienne,fr Ligue 1,2.0,0.0,0.0,8.0,10.0,1.0,0.0,0.0,0.0,58.0,5.0,11.0,31.3
Sofiane Boufal,ma MAR,1993.0,2021.0,Angers,fr Ligue 1,3.0,0.0,0.0,22.0,23.0,0.0,2.0,0.0,0.0,66.0,4.0,6.0,40.0
Nassim Boujellab,ma MAR,1999.0,2021.0,Schalke 04,de Bundesliga,2.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,65.0,13.0,26.0,33.3
Farid Boulaya,dz ALG,1993.0,2021.0,Metz,fr Ligue 1,5.0,0.0,0.0,21.0,52.0,1.0,2.0,1.0,0.0,203.0,25.0,45.0,35.7
Ismaëlben Boura,fr FRA,2000.0,2021.0,Lens,fr Ligue 1,1.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,74.0,11.0,6.0,64.7
Mehdi Bourabia,ma MAR,1991.0,2021.0,Sassuolo,it Serie A,2.0,0.0,0.0,15.0,6.0,0.0,0.0,1.0,0.0,59.0,12.0,3.0,80.0
Benjamin Bourigeaud,fr FRA,1994.0,2021.0,Rennes,fr Ligue 1,6.0,0.0,0.0,20.0,6.0,2.0,0.0,0.0,0.0,184.0,6.0,30.0,16.7
Jarrod Bowen,eng ENG,1996.0,2021.0,West Ham,eng Premier League,0.0,0.0,0.0,12.0,37.0,9.0,0.0,0.0,0.0,150.0,19.0,38.0,33.3
Dedryck Boyata,be BEL,1990.0,2021.0,Hertha BSC,de Bundesliga,1.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,126.0,29.0,16.0,64.4
John Boye,gh GHA,1987.0,2021.0,Metz,fr Ligue 1,6.0,2.0,1.0,25.0,16.0,1.0,0.0,0.0,2.0,232.0,47.0,41.0,53.4
Lucas Boyé,ar ARG,1996.0,2021.0,Elche,es La Liga,7.0,1.0,1.0,69.0,26.0,7.0,0.0,0.0,0.0,110.0,20.0,92.0,17.9
Can Bozdogan,de GER,2001.0,2021.0,Schalke 04,de Bundesliga,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,1.0,45.0,0.0,14.0,0.0
Umut Bozok,tr TUR,1996.0,2021.0,Lorient,fr Ligue 1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
Jayden Braaf,nl NED,2002.0,2021.0,Udinese,it Serie A,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Domagoj Bradarić,hr CRO,1999.0,2021.0,Lille,fr Ligue 1,4.0,0.0,0.0,17.0,11.0,0.0,0.0,1.0,0.0,134.0,23.0,24.0,48.9
Robbie Brady,ie IRL,1992.0,2021.0,Burnley,eng Premier League,3.0,0.0,0.0,21.0,9.0,2.0,0.0,0.0,0.0,110.0,21.0,20.0,51.2
Martin Braithwaite,dk DEN,1991.0,2021.0,Barcelona,es La Liga,2.0,0.0,0.0,10.0,20.0,14.0,0.0,0.0,0.0,37.0,13.0,14.0,48.1
Julian Brandt,de GER,1996.0,2021.0,Dortmund,de Bundesliga,0.0,0.0,0.0,5.0,15.0,2.0,0.0,0.0,0.0,104.0,5.0,22.0,18.5
Darko Brašanac,rs SRB,1992.0,2021.0,Osasuna,es La Liga,1.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,42.0,11.0,11.0,50.0
Lilian Brassier,fr FRA,1999.0,2021.0,Brest,fr Ligue 1,2.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,41.0,18.0,7.0,72.0
Álvaro Bravo,es ESP,1998.0,2021.0,Granada,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
Josip Brekalo,hr CRO,1998.0,2021.0,Wolfsburg,de Bundesliga,1.0,0.0,0.0,7.0,13.0,2.0,0.0,0.0,0.0,101.0,4.0,19.0,17.4
Gleison Bremer,br BRA,1997.0,2021.0,Torino,it Serie A,1.0,0.0,0.0,17.0,8.0,0.0,0.0,1.0,0.0,198.0,68.0,34.0,66.7
Joshua Brenet,nl NED,1994.0,2021.0,Hoffenheim,de Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Rhian Brewster,eng ENG,2000.0,2021.0,Sheffield Utd,eng Premier League,0.0,0.0,0.0,15.0,10.0,4.0,0.0,0.0,0.0,47.0,8.0,37.0,17.8
Anthony Briançon,fr FRA,1994.0,2021.0,Nîmes,fr Ligue 1,3.0,0.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,133.0,22.0,24.0,47.8
Jimmy Briand,fr FRA,1985.0,2021.0,Bordeaux,fr Ligue 1,2.0,0.0,0.0,13.0,12.0,2.0,0.0,0.0,0.0,27.0,20.0,34.0,37.0
Yan Brice Eteki,cm CMR,1997.0,2021.0,Granada,es La Liga,0.0,1.0,0.0,34.0,14.0,0.0,0.0,1.0,0.0,90.0,17.0,16.0,51.5
Dylan Bronn,tn TUN,1995.0,2021.0,Metz,fr Ligue 1,2.0,0.0,0.0,31.0,12.0,0.0,0.0,1.0,0.0,270.0,42.0,32.0,56.8
John Brooks,us USA,1993.0,2021.0,Wolfsburg,de Bundesliga,5.0,0.0,0.0,25.0,12.0,0.0,0.0,1.0,1.0,299.0,85.0,33.0,72.0
Daniel Brosinski,de GER,1988.0,2021.0,Mainz 05,de Bundesliga,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,96.0,9.0,14.0,39.1
Josh Brownhill,eng ENG,1995.0,2021.0,Burnley,eng Premier League,1.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,0.0,302.0,63.0,27.0,70.0
Marcelo Brozović,hr CRO,1992.0,2021.0,Inter,it Serie A,5.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,207.0,26.0,25.0,51.0
Gastón Brugman,uy URU,1992.0,2021.0,Parma,it Serie A,6.0,0.0,0.0,20.0,16.0,1.0,0.0,0.0,0.0,140.0,6.0,7.0,46.2
Juan Brunet,ar ARG,1998.0,2021.0,Granada,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
