Player,Nation,Born,Season,Squad,Comp,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG
Carlos Bacca,co COL,1986.0,2019.0,Villarreal,es La Liga,6.0,30.0,14.0,46.7,2.13,0.99,0.17,0.36,14.4,0.0,1.0,1.0,5.7,5.0,0.17,0.3,0.0
Juninho Bacuna,cw CUW,1997.0,2019.0,Huddersfield,eng Premier League,1.0,17.0,8.0,47.1,1.08,0.51,0.06,0.13,26.4,2.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5
Leandro Bacuna,cw CUW,1991.0,2019.0,Cardiff City,eng Premier League,0.0,5.0,1.0,20.0,0.8,0.16,0.0,0.0,27.6,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Milan Badelj,hr CRO,1989.0,2019.0,Lazio,it Serie A,1.0,13.0,4.0,30.8,1.03,0.32,0.08,0.25,25.0,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Holger Badstuber,de GER,1989.0,2019.0,Stuttgart,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Stéphane Bahoken,cm CMR,1992.0,2019.0,Angers,fr Ligue 1,11.0,69.0,33.0,47.8,2.52,1.2,0.13,0.27,16.1,2.0,2.0,3.0,8.9,6.7,0.1,2.1,2.3
Daniel Baier,de GER,1984.0,2019.0,Augsburg,de Bundesliga,0.0,26.0,10.0,38.5,0.83,0.32,0.0,0.0,26.6,0.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8
Leon Bailey,jm JAM,1997.0,2019.0,Leverkusen,de Bundesliga,5.0,55.0,15.0,27.3,2.59,0.71,0.09,0.33,20.6,13.0,0.0,0.0,5.7,5.7,0.1,-0.7,-0.7
Eric Bailly,ci CIV,1994.0,2019.0,Manchester Utd,eng Premier League,0.0,3.0,1.0,33.3,0.42,0.14,0.0,0.0,11.0,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Leighton Baines,eng ENG,1984.0,2019.0,Everton,eng Premier League,0.0,2.0,1.0,50.0,0.48,0.24,0.0,0.0,26.9,1.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Marvin Bakalorz,de GER,1989.0,2019.0,Hannover 96,de Bundesliga,1.0,11.0,4.0,36.4,0.67,0.24,0.09,0.25,20.0,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Tiemoué Bakayoko,fr FRA,1994.0,2019.0,Milan,it Serie A,1.0,25.0,7.0,28.0,0.98,0.27,0.04,0.14,16.6,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4
Ridle Baku,de GER,1998.0,2019.0,Mainz 05,de Bundesliga,0.0,11.0,3.0,27.3,1.06,0.29,0.0,0.0,18.3,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Fabián Balbuena,py PAR,1991.0,2019.0,West Ham,eng Premier League,1.0,17.0,2.0,11.8,0.76,0.09,0.06,0.5,8.1,0.0,0.0,0.0,2.1,2.1,0.13,-1.1,-1.1
Keita Baldé,sn SEN,1995.0,2019.0,Inter,it Serie A,5.0,30.0,17.0,56.7,3.04,1.72,0.17,0.29,15.6,0.0,0.0,0.0,3.4,3.4,0.11,1.6,1.6
Gareth Bale,wal WAL,1989.0,2019.0,Real Madrid,es La Liga,8.0,74.0,31.0,41.9,3.73,1.56,0.09,0.23,18.4,10.0,1.0,1.0,8.3,7.6,0.1,-0.3,-0.6
Mikel Balenziaga,es ESP,1988.0,2019.0,Athletic Club,es La Liga,0.0,1.0,0.0,0.0,0.17,0.0,0.0,,27.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Andrija Balić,hr CRO,1997.0,2019.0,Udinese,it Serie A,0.0,1.0,0.0,0.0,3.33,0.0,0.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Fodé Ballo-Touré,sn SEN,1997.0,2019.0,Lille,fr Ligue 1,0.0,4.0,2.0,50.0,0.23,0.11,0.0,0.0,19.8,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3
Fodé Ballo-Touré,sn SEN,1997.0,2019.0,Monaco,fr Ligue 1,0.0,4.0,1.0,25.0,0.23,0.06,0.0,0.0,14.6,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3
Florent Balmont,fr FRA,1980.0,2019.0,Dijon,fr Ligue 1,0.0,5.0,0.0,0.0,0.42,0.0,0.0,,32.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Leon Balogun,ng NGA,1988.0,2019.0,Brighton,eng Premier League,1.0,3.0,1.0,33.3,0.45,0.15,0.33,1.0,9.2,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8
Mario Balotelli,it ITA,1990.0,2019.0,Marseille,fr Ligue 1,8.0,43.0,16.0,37.2,4.15,1.54,0.19,0.5,17.9,3.0,0.0,0.0,5.6,5.6,0.13,2.4,2.4
Mario Balotelli,it ITA,1990.0,2019.0,Nice,fr Ligue 1,0.0,35.0,8.0,22.9,4.19,0.96,0.0,0.0,22.8,5.0,0.0,0.0,2.4,2.4,0.07,-2.4,-2.4
Abdoulaye Bamba,ci CIV,1990.0,2019.0,Angers,fr Ligue 1,0.0,7.0,0.0,0.0,0.24,0.0,0.0,,26.0,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Jonathan Bamba,fr FRA,1996.0,2019.0,Lille,fr Ligue 1,13.0,66.0,27.0,40.9,1.98,0.81,0.18,0.44,19.3,1.0,1.0,1.0,8.2,7.4,0.11,4.8,4.6
Sol Bamba,ci CIV,1985.0,2019.0,Cardiff City,eng Premier League,4.0,21.0,8.0,38.1,0.76,0.29,0.19,0.5,9.1,0.0,0.0,0.0,2.6,2.6,0.13,1.4,1.4
Yacine Bammou,ma MAR,1991.0,2019.0,Caen,fr Ligue 1,2.0,15.0,4.0,26.7,1.46,0.39,0.07,0.25,24.1,0.0,1.0,1.0,1.2,0.5,0.03,0.8,0.5
Éver Banega,ar ARG,1988.0,2019.0,Sevilla,es La Liga,3.0,32.0,8.0,25.0,1.08,0.27,0.03,0.13,25.4,7.0,2.0,2.0,3.2,1.7,0.05,-0.2,-0.7
Mattia Bani,it ITA,1993.0,2019.0,Chievo,it Serie A,0.0,14.0,3.0,21.4,0.48,0.1,0.0,0.0,10.5,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1
Léo Baptistão,br BRA,1992.0,2019.0,Espanyol,es La Liga,2.0,40.0,15.0,37.5,2.92,1.09,0.03,0.07,18.2,0.0,1.0,1.0,4.7,4.0,0.1,-2.7,-3.0
Antonín Barák,cz CZE,1994.0,2019.0,Udinese,it Serie A,0.0,4.0,0.0,0.0,1.09,0.0,0.0,,20.6,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3
Federico Barba,it ITA,1993.0,2019.0,Chievo,it Serie A,0.0,9.0,3.0,33.3,0.33,0.11,0.0,0.0,16.1,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7
Danilo Barbosa,br BRA,1996.0,2019.0,Nice,fr Ligue 1,0.0,25.0,8.0,32.0,1.45,0.47,0.0,0.0,20.2,5.0,0.0,0.0,2.6,2.6,0.11,-2.6,-2.6
Enis Bardhi,mk MKD,1995.0,2019.0,Levante,es La Liga,3.0,63.0,18.0,28.6,2.0,0.57,0.05,0.17,23.9,18.0,0.0,0.0,3.7,3.7,0.06,-0.7,-0.7
Phil Bardsley,sco SCO,1985.0,2019.0,Burnley,eng Premier League,0.0,12.0,1.0,8.3,0.65,0.05,0.0,0.0,27.7,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Nicolò Barella,it ITA,1997.0,2019.0,Cagliari,it Serie A,1.0,52.0,12.0,23.1,1.51,0.35,0.02,0.08,22.5,1.0,0.0,1.0,2.9,2.1,0.04,-1.9,-1.1
Philipp Bargfrede,de GER,1989.0,2019.0,Werder Bremen,de Bundesliga,0.0,7.0,1.0,14.3,0.58,0.08,0.0,0.0,29.8,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Antonino Barillà,it ITA,1988.0,2019.0,Parma,it Serie A,3.0,21.0,8.0,38.1,0.72,0.28,0.14,0.38,18.0,0.0,0.0,0.0,2.4,2.4,0.11,0.6,0.6
Ross Barkley,eng ENG,1993.0,2019.0,Chelsea,eng Premier League,3.0,38.0,8.0,21.1,2.75,0.58,0.08,0.38,19.8,1.0,0.0,0.0,3.8,3.8,0.1,-0.8,-0.8
Aymen Barkok,ma MAR,1998.0,2019.0,Düsseldorf,de Bundesliga,0.0,4.0,0.0,0.0,0.71,0.0,0.0,,22.8,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Ashley Barnes,eng ENG,1989.0,2019.0,Burnley,eng Premier League,12.0,61.0,27.0,44.3,2.3,1.02,0.16,0.37,13.8,0.0,2.0,2.0,12.0,10.4,0.17,0.0,-0.4
Harvey Barnes,eng ENG,1997.0,2019.0,Leicester City,eng Premier League,1.0,39.0,11.0,28.2,3.5,0.99,0.03,0.09,16.2,0.0,0.0,0.0,3.2,3.2,0.08,-2.2,-2.2
Antonio Barragán,es ESP,1987.0,2019.0,Betis,es La Liga,0.0,3.0,0.0,0.0,0.29,0.0,0.0,,17.7,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Antonio Barreca,it ITA,1995.0,2019.0,Newcastle Utd,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Antonio Barreca,it ITA,1995.0,2019.0,Monaco,fr Ligue 1,0.0,4.0,1.0,25.0,0.61,0.15,0.0,0.0,23.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Leandro Barreiro Martins,lu LUX,2000.0,2019.0,Mainz 05,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ander Barrenetxea,es ESP,2001.0,2019.0,Real Sociedad,es La Liga,1.0,5.0,2.0,40.0,1.13,0.45,0.2,0.5,13.0,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6
Édgar Barreto,py PAR,1984.0,2019.0,Sampdoria,it Serie A,0.0,8.0,3.0,37.5,0.92,0.34,0.0,0.0,18.3,1.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6
Musa Barrow,gm GAM,1998.0,2019.0,Atalanta,it Serie A,1.0,31.0,7.0,22.6,4.64,1.05,0.03,0.14,15.7,0.0,0.0,0.0,3.1,3.1,0.1,-2.1,-2.1
Fin Bartels,de GER,1987.0,2019.0,Werder Bremen,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Marc Bartra,es ESP,1991.0,2019.0,Betis,es La Liga,1.0,10.0,3.0,30.0,0.31,0.09,0.1,0.33,24.3,1.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3
Andrea Barzagli,it ITA,1981.0,2019.0,Juventus,it Serie A,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Daniele Baselli,it ITA,1992.0,2019.0,Torino,it Serie A,4.0,43.0,11.0,25.6,1.63,0.42,0.09,0.36,21.7,7.0,0.0,0.0,2.7,2.7,0.06,1.3,1.3
Toma Bašić,hr CRO,1996.0,2019.0,Bordeaux,fr Ligue 1,2.0,21.0,7.0,33.3,1.42,0.47,0.1,0.29,25.2,5.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7
Thomas Basila,fr FRA,1999.0,2019.0,Nantes,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Borja Bastón,es ESP,1992.0,2019.0,Alavés,es La Liga,5.0,34.0,10.0,29.4,2.13,0.63,0.15,0.5,10.2,0.0,0.0,0.0,5.7,5.7,0.17,-0.7,-0.7
Alessandro Bastoni,it ITA,1999.0,2019.0,Parma,it Serie A,1.0,3.0,2.0,66.7,0.16,0.11,0.33,0.5,10.9,0.0,0.0,0.0,0.6,0.6,0.18,0.4,0.4
Bastos,ao ANG,1991.0,2019.0,Lazio,it Serie A,1.0,12.0,3.0,25.0,0.95,0.24,0.08,0.33,15.9,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1
Michy Batshuayi,be BEL,1993.0,2019.0,Valencia,es La Liga,1.0,18.0,7.0,38.9,3.07,1.2,0.06,0.14,16.3,0.0,0.0,0.0,2.3,2.3,0.13,-1.3,-1.3
Michy Batshuayi,be BEL,1993.0,2019.0,Crystal Palace,eng Premier League,5.0,26.0,10.0,38.5,3.12,1.2,0.19,0.5,15.6,0.0,0.0,0.0,3.5,3.5,0.14,1.5,1.5
Robert Bauer,de GER,1995.0,2019.0,Nürnberg,de Bundesliga,0.0,9.0,1.0,11.1,0.47,0.05,0.0,0.0,27.4,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Timo Baumgartl,de GER,1996.0,2019.0,Stuttgart,de Bundesliga,1.0,3.0,2.0,66.7,0.17,0.11,0.33,0.5,11.2,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8
Julian Baumgartlinger,at AUT,1988.0,2019.0,Leverkusen,de Bundesliga,0.0,10.0,0.0,0.0,0.58,0.0,0.0,,22.8,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9
Christoph Baumgartner,at AUT,1999.0,2019.0,Hoffenheim,de Bundesliga,0.0,2.0,0.0,0.0,2.12,0.0,0.0,,18.6,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Jon Bautista,es ESP,1995.0,2019.0,Real Sociedad,es La Liga,1.0,19.0,5.0,26.3,2.86,0.75,0.05,0.2,11.4,0.0,0.0,0.0,2.5,2.5,0.13,-1.5,-1.5
Paul Baysse,fr FRA,1988.0,2019.0,Bordeaux,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Paul Baysse,fr FRA,1988.0,2019.0,Caen,fr Ligue 1,0.0,13.0,3.0,23.1,0.65,0.15,0.0,0.0,10.2,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0
Noah Joel Sarenren Bazee,ng NGA,1996.0,2019.0,Hannover 96,de Bundesliga,0.0,5.0,0.0,0.0,2.9,0.0,0.0,,16.4,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4
Claudio Beauvue,GPE,1988.0,2019.0,Caen,fr Ligue 1,3.0,40.0,13.0,32.5,2.4,0.78,0.05,0.15,15.3,0.0,1.0,1.0,4.7,4.0,0.1,-1.7,-2.0
Bebé,pt POR,1990.0,2019.0,Rayo Vallecano,es La Liga,1.0,57.0,12.0,21.1,3.94,0.83,0.02,0.08,28.3,2.0,0.0,0.0,1.7,1.7,0.03,-0.7,-0.7
Bebé,pt POR,1990.0,2019.0,Eibar,es La Liga,0.0,3.0,2.0,66.7,4.35,2.9,0.0,0.0,21.9,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Ihlas Bebou,tg TOG,1994.0,2019.0,Hannover 96,de Bundesliga,4.0,29.0,10.0,34.5,2.45,0.84,0.1,0.3,20.5,2.0,1.0,1.0,4.3,3.6,0.12,-0.3,-0.6
Uffe Bech,dk DEN,1993.0,2019.0,Hannover 96,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Andreas Beck,de GER,1987.0,2019.0,Stuttgart,de Bundesliga,0.0,12.0,2.0,16.7,0.61,0.1,0.0,0.0,20.0,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Jan Bednarek,pl POL,1996.0,2019.0,Southampton,eng Premier League,0.0,6.0,1.0,16.7,0.25,0.04,0.0,0.0,6.5,0.0,0.0,0.0,0.6,0.6,0.11,-0.6,-0.6
Andrea Beghetto,it ITA,1994.0,2019.0,Frosinone,it Serie A,0.0,23.0,4.0,17.4,0.93,0.16,0.0,0.0,22.5,2.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8
Valon Behrami,ch SUI,1985.0,2019.0,Udinese,it Serie A,1.0,10.0,2.0,20.0,0.66,0.13,0.1,0.5,16.9,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3
Hanno Behrens,de GER,1990.0,2019.0,Nürnberg,de Bundesliga,4.0,35.0,6.0,17.1,1.19,0.2,0.09,0.5,15.4,0.0,1.0,3.0,6.7,4.4,0.13,-2.7,-1.4
Ishak Belfodil,dz ALG,1992.0,2019.0,Hoffenheim,de Bundesliga,16.0,86.0,37.0,43.0,4.15,1.79,0.19,0.43,12.3,1.0,0.0,0.0,11.3,11.3,0.13,4.7,4.7
Stefan Bell,de GER,1991.0,2019.0,Mainz 05,de Bundesliga,0.0,20.0,4.0,20.0,0.8,0.16,0.0,0.0,11.5,0.0,0.0,0.0,2.0,2.0,0.1,-2.0,-2.0
Karim Bellarabi,de GER,1990.0,2019.0,Leverkusen,de Bundesliga,5.0,42.0,12.0,28.6,3.58,1.02,0.12,0.42,19.4,0.0,0.0,0.0,2.5,2.5,0.06,2.5,2.5
Héctor Bellerín,es ESP,1995.0,2019.0,Arsenal,eng Premier League,0.0,18.0,4.0,22.2,1.06,0.23,0.0,0.0,18.4,0.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9
Andrea Belotti,it ITA,1993.0,2019.0,Torino,it Serie A,15.0,124.0,42.0,33.9,3.38,1.15,0.08,0.24,15.1,4.0,5.0,6.0,17.6,13.0,0.1,-2.6,-3.0
Fran Beltrán,es ESP,1999.0,2019.0,Celta Vigo,es La Liga,1.0,18.0,4.0,22.2,1.07,0.24,0.06,0.25,22.6,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2
Hatem Ben Arfa,fr FRA,1987.0,2019.0,Rennes,fr Ligue 1,7.0,51.0,13.0,25.5,2.26,0.58,0.1,0.38,21.3,9.0,2.0,3.0,6.3,4.1,0.08,0.7,0.9
Wissam Ben Yedder,fr FRA,1990.0,2019.0,Sevilla,es La Liga,18.0,73.0,34.0,46.6,2.34,1.09,0.22,0.47,11.7,0.0,2.0,2.0,17.6,16.0,0.22,0.4,0.0
Marco Benassi,it ITA,1994.0,2019.0,Fiorentina,it Serie A,7.0,57.0,21.0,36.8,2.25,0.83,0.12,0.33,17.1,0.0,0.0,0.0,5.3,5.3,0.09,1.7,1.7
Medhi Benatia,ma MAR,1987.0,2019.0,Juventus,it Serie A,0.0,3.0,0.0,0.0,0.6,0.0,0.0,,12.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Lars Bender,de GER,1989.0,2019.0,Leverkusen,de Bundesliga,1.0,15.0,4.0,26.7,0.99,0.26,0.07,0.25,15.7,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Sven Bender,de GER,1989.0,2019.0,Leverkusen,de Bundesliga,0.0,12.0,2.0,16.7,0.54,0.09,0.0,0.0,11.9,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8
László Bénes,sk SVK,1997.0,2019.0,M'Gladbach,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Nicolas Benezet,fr FRA,1991.0,2019.0,Guingamp,fr Ligue 1,3.0,28.0,8.0,28.6,1.51,0.43,0.11,0.38,15.4,3.0,0.0,0.0,3.0,3.0,0.11,0.0,0.0
Ismaël Bennacer,dz ALG,1997.0,2019.0,Empoli,it Serie A,0.0,19.0,5.0,26.3,0.58,0.15,0.0,0.0,26.0,4.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6
Joe Bennett,eng ENG,1990.0,2019.0,Cardiff City,eng Premier League,0.0,10.0,3.0,30.0,0.34,0.1,0.0,0.0,22.7,3.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Ryan Bennett,eng ENG,1990.0,2019.0,Wolves,eng Premier League,1.0,15.0,3.0,20.0,0.44,0.09,0.07,0.33,10.5,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2
Yassine Benrahou,fr FRA,1999.0,2019.0,Bordeaux,fr Ligue 1,0.0,6.0,3.0,50.0,3.05,1.53,0.0,0.0,20.0,2.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4
Ramy Bensebaini,dz ALG,1995.0,2019.0,Rennes,fr Ligue 1,1.0,15.0,4.0,26.7,0.63,0.17,0.07,0.25,18.7,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Nabil Bentaleb,dz ALG,1994.0,2019.0,Schalke 04,de Bundesliga,3.0,18.0,4.0,22.2,0.9,0.2,0.0,0.0,26.4,1.0,3.0,3.0,3.1,0.8,0.04,-0.1,-0.8
Rodrigo Bentancur,uy URU,1997.0,2019.0,Juventus,it Serie A,2.0,21.0,3.0,14.3,0.94,0.13,0.1,0.67,21.6,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6
Christian Benteke,be BEL,1990.0,2019.0,Crystal Palace,eng Premier League,1.0,29.0,8.0,27.6,3.21,0.88,0.03,0.13,10.5,0.0,0.0,0.0,3.3,3.3,0.11,-2.3,-2.3
Karim Benzema,fr FRA,1987.0,2019.0,Real Madrid,es La Liga,21.0,99.0,41.0,41.4,3.02,1.25,0.18,0.44,13.5,0.0,3.0,3.0,15.8,13.5,0.14,5.2,4.5
Yassine Benzia,dz ALG,1994.0,2019.0,Lille,fr Ligue 1,0.0,6.0,1.0,16.7,3.38,0.56,0.0,0.0,23.3,1.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
Domenico Berardi,it ITA,1994.0,2019.0,Sassuolo,it Serie A,8.0,123.0,29.0,23.6,3.85,0.91,0.06,0.24,22.5,12.0,1.0,1.0,8.8,8.0,0.07,-0.8,-1.0
Yuri Berchiche,es ESP,1990.0,2019.0,Athletic Club,es La Liga,2.0,27.0,6.0,22.2,0.78,0.17,0.07,0.33,20.6,0.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7
Álex Berenguer,es ESP,1995.0,2019.0,Torino,it Serie A,2.0,21.0,7.0,33.3,1.27,0.42,0.1,0.29,19.1,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8
Bartosz Bereszyński,pl POL,1992.0,2019.0,Sampdoria,it Serie A,0.0,8.0,1.0,12.5,0.33,0.04,0.0,0.0,25.1,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Jóhann Berg Guðmundsson,is ISL,1990.0,2019.0,Burnley,eng Premier League,3.0,34.0,11.0,32.4,1.75,0.57,0.09,0.27,18.9,7.0,0.0,0.0,2.9,2.9,0.09,0.1,0.1
Markel Bergara,es ESP,1986.0,2019.0,Getafe,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Robert Berić,si SVN,1991.0,2019.0,Saint-Étienne,fr Ligue 1,9.0,35.0,18.0,51.4,2.68,1.38,0.26,0.5,9.9,0.0,0.0,0.0,6.6,6.6,0.19,2.4,2.4
Valon Berisha,xk KVX,1993.0,2019.0,Lazio,it Serie A,0.0,1.0,0.0,0.0,0.45,0.0,0.0,,24.5,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Bernard,br BRA,1992.0,2019.0,Everton,eng Premier League,1.0,24.0,5.0,20.8,1.02,0.21,0.04,0.2,16.1,0.0,0.0,0.0,2.6,2.6,0.11,-1.6,-1.6
Federico Bernardeschi,it ITA,1994.0,2019.0,Juventus,it Serie A,2.0,51.0,18.0,35.3,3.12,1.1,0.04,0.11,19.4,2.0,0.0,0.0,3.5,3.5,0.07,-1.5,-1.5
Bernardo,br BRA,1995.0,2019.0,Brighton,eng Premier League,0.0,8.0,3.0,37.5,0.41,0.15,0.0,0.0,17.3,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4
Juan Bernat,es ESP,1993.0,2019.0,Paris S-G,fr Ligue 1,1.0,5.0,1.0,20.0,0.25,0.05,0.2,1.0,10.8,0.0,0.0,0.0,0.7,0.7,0.15,0.3,0.3
Antoine Bernede,fr FRA,1999.0,2019.0,Paris S-G,fr Ligue 1,0.0,1.0,1.0,100.0,0.53,0.53,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Ryan Bertrand,eng ENG,1989.0,2019.0,Southampton,eng Premier League,1.0,15.0,2.0,13.3,0.62,0.08,0.07,0.5,22.6,3.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Daniel Bessa,it ITA,1993.0,2019.0,Genoa,it Serie A,1.0,32.0,14.0,43.8,1.18,0.52,0.03,0.07,17.8,1.0,0.0,0.0,2.7,2.7,0.09,-1.7,-1.7
Louis Beyer,de GER,2000.0,2019.0,M'Gladbach,de Bundesliga,0.0,4.0,0.0,0.0,0.5,0.0,0.0,,14.0,0.0,0.0,0.0,0.4,0.4,0.11,-0.4,-0.4
Jonathan Biabiany,fr FRA,1988.0,2019.0,Parma,it Serie A,0.0,4.0,2.0,50.0,0.34,0.17,0.0,0.0,15.8,0.0,0.0,0.0,0.4,0.4,0.11,-0.4,-0.4
Giulian Biancone,fr FRA,2000.0,2019.0,Monaco,fr Ligue 1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,23.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Ermin Bičakčić,ba BIH,1990.0,2019.0,Hoffenheim,de Bundesliga,1.0,10.0,3.0,30.0,0.5,0.15,0.1,0.33,6.9,0.0,0.0,0.0,1.9,1.9,0.21,-0.9,-0.9
Pedro Bigas,es ESP,1990.0,2019.0,Eibar,es La Liga,0.0,3.0,0.0,0.0,0.46,0.0,0.0,,9.5,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Lucas Biglia,ar ARG,1986.0,2019.0,Milan,it Serie A,1.0,7.0,2.0,28.6,0.57,0.16,0.14,0.5,24.9,1.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7
Philip Billing,dk DEN,1996.0,2019.0,Huddersfield,eng Premier League,2.0,43.0,9.0,20.9,1.77,0.37,0.05,0.22,23.3,3.0,0.0,0.0,1.8,1.8,0.04,0.2,0.2
Cristiano Biraghi,it ITA,1992.0,2019.0,Fiorentina,it Serie A,1.0,35.0,7.0,20.0,0.99,0.2,0.03,0.14,24.4,9.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6
Davide Biraschi,it ITA,1994.0,2019.0,Genoa,it Serie A,0.0,12.0,2.0,16.7,0.38,0.06,0.0,0.0,25.8,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
Valter Birsa,si SVN,1986.0,2019.0,Cagliari,it Serie A,0.0,11.0,1.0,9.1,2.8,0.25,0.0,0.0,22.4,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Valter Birsa,si SVN,1986.0,2019.0,Chievo,it Serie A,2.0,15.0,4.0,26.7,1.23,0.33,0.07,0.25,21.7,4.0,1.0,1.0,1.7,0.9,0.06,0.3,0.1
Yves Bissouma,ml MLI,1996.0,2019.0,Brighton,eng Premier League,0.0,31.0,3.0,9.7,1.57,0.15,0.0,0.0,24.8,3.0,0.0,0.0,1.6,1.6,0.05,-1.6,-1.6
Leonardo Bittencourt,de GER,1993.0,2019.0,Hoffenheim,de Bundesliga,1.0,23.0,9.0,39.1,1.94,0.76,0.04,0.11,19.1,0.0,0.0,0.0,2.5,2.5,0.12,-1.5,-1.5
