Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
Christian Atsu,gh GHA,1992.0,2018.0,Newcastle Utd,eng Premier League,MF,FW,19.8
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Arsenal,eng Premier League,FW,,11.7
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Dortmund,de Bundesliga,FW,,15.7
Jean-Kévin Augustin,fr FRA,1997.0,2018.0,RB Leipzig,de Bundesliga,FW,,14.1
Ludwig Augustinsson,se SWE,1994.0,2018.0,Werder Bremen,de Bundesliga,DF,MF,28.1
Yann Aurel Bisseck,de GER,2000.0,2018.0,Köln,de Bundesliga,DF,FW,1.7
Serge Aurier,ci CIV,1992.0,2018.0,Tottenham,eng Premier League,DF,,15.9
Charlie Austin,eng ENG,1989.0,2018.0,Southampton,eng Premier League,FW,,11.5
Danilo Avelar,br BRA,1989.0,2018.0,Amiens,fr Ligue 1,DF,FW,19.2
Felipe Avenatti,uy URU,1993.0,2018.0,Bologna,it Serie A,FW,MF,5.2
Durel Avounou,cg CGO,1997.0,2018.0,Caen,fr Ligue 1,MF,DF,7.2
Chidozie Awaziem,ng NGA,1997.0,2018.0,Nantes,fr Ligue 1,DF,,16.8
André Ayew,gh GHA,1989.0,2018.0,Swansea City,eng Premier League,FW,MF,10.6
André Ayew,gh GHA,1989.0,2018.0,West Ham,eng Premier League,FW,MF,9.9
Jordan Ayew,gh GHA,1991.0,2018.0,Swansea City,eng Premier League,FW,MF,31.7
Karim Azamoum,fr FRA,1990.0,2018.0,Troyes,fr Ligue 1,MF,,25.3
César Azpilicueta,es ESP,1989.0,2018.0,Chelsea,eng Premier League,DF,,37.0
Ludovic Baal,gf GUF,1986.0,2018.0,Rennes,fr Ligue 1,DF,,12.9
Khouma Babacar,sn SEN,1993.0,2018.0,Fiorentina,it Serie A,FW,MF,5.0
Khouma Babacar,sn SEN,1993.0,2018.0,Sassuolo,it Serie A,FW,,8.3
Carlos Bacca,co COL,1986.0,2018.0,Villarreal,es La Liga,FW,,27.5
Milan Badelj,hr CRO,1989.0,2018.0,Fiorentina,it Serie A,MF,,26.1
Holger Badstuber,de GER,1989.0,2018.0,Stuttgart,de Bundesliga,DF,MF,24.1
Dylan Bahamboula,cg CGO,1995.0,2018.0,Dijon,fr Ligue 1,FW,MF,0.3
Farès Bahlouli,fr FRA,1995.0,2018.0,Lille,fr Ligue 1,MF,FW,3.4
Stéphane Bahoken,cm CMR,1992.0,2018.0,Strasbourg,fr Ligue 1,FW,,18.5
Daniel Baier,de GER,1984.0,2018.0,Augsburg,de Bundesliga,MF,,28.2
Leon Bailey,jm JAM,1997.0,2018.0,Leverkusen,de Bundesliga,FW,DF,24.6
Eric Bailly,ci CIV,1994.0,2018.0,Manchester Utd,eng Premier League,DF,,11.1
Leighton Baines,eng ENG,1984.0,2018.0,Everton,eng Premier League,DF,,21.2
Riad Bajić,ba BIH,1994.0,2018.0,Udinese,it Serie A,FW,MF,0.9
Marvin Bakalorz,de GER,1989.0,2018.0,Hannover 96,de Bundesliga,MF,,22.8
Cédric Bakambu,cd COD,1991.0,2018.0,Villarreal,es La Liga,FW,,14.0
Tiemoué Bakayoko,fr FRA,1994.0,2018.0,Chelsea,eng Premier League,MF,,23.6
Zakaria Bakkali,be BEL,1996.0,2018.0,La Coruña,es La Liga,FW,MF,10.2
Ridle Baku,de GER,1998.0,2018.0,Mainz 05,de Bundesliga,MF,,2.6
Keita Baldé,sn SEN,1995.0,2018.0,Monaco,fr Ligue 1,FW,MF,16.3
Sam Baldock,eng ENG,1989.0,2018.0,Brighton,eng Premier League,FW,MF,0.4
Gareth Bale,wal WAL,1989.0,2018.0,Real Madrid,es La Liga,FW,MF,19.9
Mikel Balenziaga,es ESP,1988.0,2018.0,Athletic Club,es La Liga,DF,,17.2
Andrija Balić,hr CRO,1997.0,2018.0,Udinese,it Serie A,MF,,12.0
Iván Balliu,al ALB,1992.0,2018.0,Metz,fr Ligue 1,DF,,21.7
Fodé Ballo-Touré,sn SEN,1997.0,2018.0,Lille,fr Ligue 1,DF,,22.8
Florent Balmont,fr FRA,1980.0,2018.0,Dijon,fr Ligue 1,MF,,9.6
Leon Balogun,ng NGA,1988.0,2018.0,Mainz 05,de Bundesliga,DF,,13.0
Mario Balotelli,it ITA,1990.0,2018.0,Nice,fr Ligue 1,FW,,25.2
Abdoulaye Bamba,ci CIV,1990.0,2018.0,Angers,fr Ligue 1,DF,,17.0
Jonathan Bamba,fr FRA,1996.0,2018.0,Saint-Étienne,fr Ligue 1,FW,MF,28.6
Yacine Bammou,ma MAR,1991.0,2018.0,Nantes,fr Ligue 1,MF,FW,8.1
Éver Banega,ar ARG,1988.0,2018.0,Sevilla,es La Liga,MF,,26.7
Mattia Bani,it ITA,1993.0,2018.0,Chievo,it Serie A,DF,,14.6
Beni Baningime,cd COD,1998.0,2018.0,Everton,eng Premier League,MF,,2.2
Léo Baptistão,br BRA,1992.0,2018.0,Espanyol,es La Liga,FW,MF,29.7
Sekou Baradji,fr FRA,1984.0,2018.0,Amiens,fr Ligue 1,MF,,0.1
Antonín Barák,cz CZE,1994.0,2018.0,Udinese,it Serie A,MF,,30.1
Andrea Barberis,it ITA,1993.0,2018.0,Crotone,it Serie A,MF,,33.7
Enis Bardhi,mk MKD,1995.0,2018.0,Levante,es La Liga,MF,,17.6
Phil Bardsley,sco SCO,1985.0,2018.0,Burnley,eng Premier League,DF,,12.5
Nicolò Barella,it ITA,1997.0,2018.0,Cagliari,it Serie A,MF,,32.8
Philipp Bargfrede,de GER,1989.0,2018.0,Werder Bremen,de Bundesliga,MF,,20.7
Ross Barkley,eng ENG,1993.0,2018.0,Chelsea,eng Premier League,MF,FW,1.4
Aymen Barkok,ma MAR,1998.0,2018.0,Eint Frankfurt,de Bundesliga,MF,FW,3.5
Ashley Barnes,eng ENG,1989.0,2018.0,Burnley,eng Premier League,FW,,24.1
Harvey Barnes,eng ENG,1997.0,2018.0,Leicester City,eng Premier League,MF,FW,0.1
Antonio Barragán,es ESP,1987.0,2018.0,Betis,es La Liga,DF,MF,26.3
Antonio Barreca,it ITA,1995.0,2018.0,Torino,it Serie A,DF,MF,5.2
Édgar Barreto,py PAR,1984.0,2018.0,Sampdoria,it Serie A,MF,,21.8
Barri,es ESP,1995.0,2018.0,Getafe,es La Liga,MF,FW,1.3
Musa Barrow,gm GAM,1998.0,2018.0,Atalanta,it Serie A,FW,MF,4.9
Gareth Barry,eng ENG,1981.0,2018.0,West Brom,eng Premier League,MF,,21.4
Fin Bartels,de GER,1987.0,2018.0,Werder Bremen,de Bundesliga,FW,,12.5
Kyle Bartley,eng ENG,1991.0,2018.0,Swansea City,eng Premier League,DF,,2.6
Marc Bartra,es ESP,1991.0,2018.0,Dortmund,de Bundesliga,DF,,9.0
Marc Bartra,es ESP,1991.0,2018.0,Betis,es La Liga,DF,,15.8
Andrea Barzagli,it ITA,1981.0,2018.0,Juventus,it Serie A,DF,,16.1
Daniele Baselli,it ITA,1992.0,2018.0,Torino,it Serie A,MF,,28.0
Nicolas Basin,fr FRA,1998.0,2018.0,Metz,fr Ligue 1,DF,,3.5
Dušan Basta,rs SRB,1984.0,2018.0,Lazio,it Serie A,DF,MF,8.6
Gil Bastião Dias,pt POR,1996.0,2018.0,Monaco,fr Ligue 1,FW,,0.1
Gil Bastião Dias,pt POR,1996.0,2018.0,Fiorentina,it Serie A,FW,MF,13.2
Samuel Bastien,be BEL,1996.0,2018.0,Chievo,it Serie A,MF,FW,15.1
Borja Bastón,es ESP,1992.0,2018.0,Málaga,es La Liga,FW,,11.0
Alessandro Bastoni,it ITA,1999.0,2018.0,Atalanta,it Serie A,DF,,1.0
Bastos,ao ANG,1991.0,2018.0,Lazio,it Serie A,DF,,15.6
Michy Batshuayi,be BEL,1993.0,2018.0,Chelsea,eng Premier League,FW,,4.0
Michy Batshuayi,be BEL,1993.0,2018.0,Dortmund,de Bundesliga,FW,,9.3
Moritz Bauer,at AUT,1992.0,2018.0,Stoke City,eng Premier League,DF,MF,14.5
Robert Bauer,de GER,1995.0,2018.0,Werder Bremen,de Bundesliga,DF,,10.6
Timo Baumgartl,de GER,1996.0,2018.0,Stuttgart,de Bundesliga,DF,,29.0
Julian Baumgartlinger,at AUT,1988.0,2018.0,Leverkusen,de Bundesliga,MF,DF,15.5
Jon Bautista,es ESP,1995.0,2018.0,Real Sociedad,es La Liga,FW,MF,2.1
Paul Baysse,fr FRA,1988.0,2018.0,Bordeaux,fr Ligue 1,DF,,6.3
Paul Baysse,fr FRA,1988.0,2018.0,Málaga,es La Liga,DF,,13.8
Noah Joel Sarenren Bazee,ng NGA,1996.0,2018.0,Hannover 96,de Bundesliga,FW,MF,1.3
Hervé Bazile,ht HAI,1990.0,2018.0,Caen,fr Ligue 1,FW,MF,9.8
Riechedly Bazoer,nl NED,1996.0,2018.0,Wolfsburg,de Bundesliga,MF,,6.6
Enrico Bearzotti,it ITA,1996.0,2018.0,Hellas Verona,it Serie A,DF,FW,4.6
Claudio Beauvue,GPE,1988.0,2018.0,Leganés,es La Liga,FW,,18.6
Bebé,pt POR,1990.0,2018.0,Eibar,es La Liga,MF,FW,4.1
Ihlas Bebou,tg TOG,1994.0,2018.0,Hannover 96,de Bundesliga,MF,FW,23.8
Andreas Beck,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,DF,MF,21.4
Henri Bedimo,cm CMR,1984.0,2018.0,Marseille,fr Ligue 1,DF,MF,0.5
Jan Bednarek,pl POL,1996.0,2018.0,Southampton,eng Premier League,DF,,4.7
Valon Behrami,ch SUI,1985.0,2018.0,Udinese,it Serie A,MF,,15.5
Ishak Belfodil,dz ALG,1992.0,2018.0,Werder Bremen,de Bundesliga,FW,,15.0
Stefan Bell,de GER,1991.0,2018.0,Mainz 05,de Bundesliga,DF,,24.2
Karim Bellarabi,de GER,1990.0,2018.0,Leverkusen,de Bundesliga,FW,MF,12.7
Héctor Bellerín,es ESP,1995.0,2018.0,Arsenal,eng Premier League,DF,MF,33.9
François Bellugou,fr FRA,1987.0,2018.0,Troyes,fr Ligue 1,MF,,24.2
Andrea Belotti,it ITA,1993.0,2018.0,Torino,it Serie A,FW,,29.8
Chaouki Ben Saada,tn TUN,1984.0,2018.0,Troyes,fr Ligue 1,FW,MF,3.8
Wissam Ben Yedder,fr FRA,1990.0,2018.0,Sevilla,es La Liga,FW,,18.9
Ahmad Benali,ly LBY,1992.0,2018.0,Crotone,it Serie A,MF,,9.0
Yohan Benalouane,tn TUN,1987.0,2018.0,Leicester City,eng Premier League,DF,,1.0
Marco Benassi,it ITA,1994.0,2018.0,Fiorentina,it Serie A,MF,FW,30.9
Medhi Benatia,ma MAR,1987.0,2018.0,Juventus,it Serie A,DF,,19.5
Lars Bender,de GER,1989.0,2018.0,Leverkusen,de Bundesliga,DF,MF,17.7
Sven Bender,de GER,1989.0,2018.0,Leverkusen,de Bundesliga,DF,,26.1
László Bénes,sk SVK,1997.0,2018.0,M'Gladbach,de Bundesliga,MF,,0.4
Nicolas Benezet,fr FRA,1991.0,2018.0,Guingamp,fr Ligue 1,FW,MF,18.3
Marcel Benger,de GER,1998.0,2018.0,M'Gladbach,de Bundesliga,MF,,0.0
Charlison Benschop,cw CUW,1989.0,2018.0,Hannover 96,de Bundesliga,MF,FW,2.0
Ramy Bensebaini,dz ALG,1995.0,2018.0,Rennes,fr Ligue 1,DF,,26.0
Nabil Bentaleb,dz ALG,1994.0,2018.0,Schalke 04,de Bundesliga,MF,,11.2
Rodrigo Bentancur,uy URU,1997.0,2018.0,Juventus,it Serie A,MF,,6.5
Christian Benteke,be BEL,1990.0,2018.0,Crystal Palace,eng Premier League,FW,,24.9
Karim Benzema,fr FRA,1987.0,2018.0,Real Madrid,es La Liga,FW,,23.9
Yassine Benzia,dz ALG,1994.0,2018.0,Lille,fr Ligue 1,MF,FW,25.4
Saido Berahino,bi BDI,1993.0,2018.0,Stoke City,eng Premier League,FW,,5.5
Domenico Berardi,it ITA,1994.0,2018.0,Sassuolo,it Serie A,FW,,25.5
Yuri Berchiche,es ESP,1990.0,2018.0,Paris S-G,fr Ligue 1,DF,,19.1
Álex Berenguer,es ESP,1995.0,2018.0,Torino,it Serie A,FW,,11.6
Bartosz Bereszyński,pl POL,1992.0,2018.0,Sampdoria,it Serie A,DF,,27.6
Jóhann Berg Guðmundsson,is ISL,1990.0,2018.0,Burnley,eng Premier League,MF,FW,31.5
Markel Bergara,es ESP,1986.0,2018.0,Getafe,es La Liga,MF,,16.2
Emil Berggreen,dk DEN,1993.0,2018.0,Mainz 05,de Bundesliga,FW,,7.4
Robert Berić,si SVN,1991.0,2018.0,Saint-Étienne,fr Ligue 1,FW,,11.6
Kévin Bérigaud,fr FRA,1988.0,2018.0,Montpellier,fr Ligue 1,MF,FW,3.0
Federico Bernardeschi,it ITA,1994.0,2018.0,Juventus,it Serie A,FW,MF,9.4
Bernardo,br BRA,1995.0,2018.0,RB Leipzig,de Bundesliga,DF,,15.0
Juan Bernat,es ESP,1993.0,2018.0,Bayern Munich,de Bundesliga,DF,FW,9.9
Andrea Bertolacci,it ITA,1991.0,2018.0,Genoa,it Serie A,MF,,32.2
Ryan Bertrand,eng ENG,1989.0,2018.0,Southampton,eng Premier League,DF,,34.8
Muhamed Bešić,ba BIH,1992.0,2018.0,Everton,eng Premier League,MF,,0.5
Daniel Bessa,it ITA,1993.0,2018.0,Genoa,it Serie A,MF,,4.9
Daniel Bessa,it ITA,1993.0,2018.0,Hellas Verona,it Serie A,MF,FW,15.4
Vincent Bessat,fr FRA,1985.0,2018.0,Caen,fr Ligue 1,DF,MF,17.4
Matteo Bianchetti,it ITA,1993.0,2018.0,Hellas Verona,it Serie A,DF,,1.4
Ermin Bičakčić,ba BIH,1990.0,2018.0,Hoffenheim,de Bundesliga,DF,,6.1
Pedro Bigas,es ESP,1990.0,2018.0,Las Palmas,es La Liga,DF,,9.9
Lucas Biglia,ar ARG,1986.0,2018.0,Milan,it Serie A,MF,,22.7
Philip Billing,dk DEN,1996.0,2018.0,Huddersfield,eng Premier League,MF,,8.5
Jean-Claude Billong,fr FRA,1993.0,2018.0,Benevento,it Serie A,DF,,3.3
Davide Biondini,it ITA,1983.0,2018.0,Sassuolo,it Serie A,MF,FW,2.3
