Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
David Fofana,ci CIV,2002.0,2021.0,Molde,Europa League,FW,,0.8
Wesley Fofana,fr FRA,2000.0,2021.0,Leicester City,Europa League,DF,,5.2
José Fonte,pt POR,1983.0,2021.0,Lille,Europa League,DF,,5.5
Kostas Fortounis,gr GRE,1992.0,2021.0,Olympiacos,Europa League,FW,MF,2.1
Núrio Fortuna,ao ANG,1995.0,2021.0,Gent,Europa League,DF,,4.5
Dimitri Foulquier,fr FRA,1993.0,2021.0,Granada,Europa League,DF,,5.7
Taxiarchis Fountas,gr GRE,1995.0,2021.0,Rapid Wien,Europa League,FW,MF,2.2
Juan Foyth,ar ARG,1998.0,2021.0,Villarreal,Europa League,DF,,6.3
Bartol Franjić,hr CRO,2000.0,2021.0,Dinamo Zagreb,Europa League,MF,DF,4.4
Fransérgio,br BRA,1990.0,2021.0,Braga,Europa League,MF,,4.6
Fred,br BRA,1993.0,2021.0,Manchester Utd,Europa League,MF,,2.7
Matija Frigan,hr CRO,2003.0,2021.0,Rijeka,Europa League,FW,,0.0
Jeremie Frimpong,nl NED,2000.0,2021.0,Leverkusen,Europa League,DF,,1.9
Jeremie Frimpong,nl NED,2000.0,2021.0,Celtic,Europa League,DF,FW,4.3
Christian Fuchs,at AUT,1986.0,2021.0,Leicester City,Europa League,DF,,3.4
Michal Fukala,cz CZE,2000.0,2021.0,Slovan Liberec,Europa League,MF,,0.0
Ramiro Funes Mori,ar ARG,1991.0,2021.0,Villarreal,Europa League,DF,,4.5
Matteo Gabbia,it ITA,1999.0,2021.0,Milan,Europa League,DF,,2.0
Gabriel,br BRA,1993.0,2021.0,Benfica,Europa League,MF,,4.4
Mijat Gaćinović,rs SRB,1995.0,2021.0,Hoffenheim,Europa League,MF,,4.8
Adolfo Gaich,ar ARG,1999.0,2021.0,CSKA Moscow,Europa League,FW,MF,1.7
Nicolás Gaitán,ar ARG,1988.0,2021.0,Braga,Europa League,FW,MF,2.2
Milan Gajić,rs SRB,1996.0,2021.0,Red Star,Europa League,DF,,7.1
Cody Gakpo,nl NED,1999.0,2021.0,PSV Eindhoven,Europa League,MF,FW,2.5
Plamen Galabov,bg BUL,1995.0,2021.0,CSKA Sofia,Europa League,MF,DF,0.2
Konstantinos Galanopoulos,gr GRE,1997.0,2021.0,AEK Athens,Europa League,MF,,1.5
Galeno,br BRA,1997.0,2021.0,Braga,Europa League,DF,MF,6.3
Nino Galović,hr CRO,1992.0,2021.0,Rijeka,Europa League,DF,MF,3.0
Noam Gamoun,il ISR,1997.0,2021.0,Be'er Sheva,Europa League,DF,,1.1
Sean Gannon,ie IRL,1991.0,2021.0,Dundalk,Europa League,DF,MF,4.5
Gara Garayev,az AZE,1992.0,2021.0,Qarabağ Ağdam,Europa League,MF,DF,4.9
Levi Garcia,tt TRI,1997.0,2021.0,AEK Athens,Europa League,FW,,0.8
Ulisses Garcia,ch SUI,1996.0,2021.0,Young Boys,Europa League,DF,,3.7
Brian Gartland,ie IRL,1986.0,2021.0,Dundalk,Europa League,DF,,3.5
Mario Gaspar,es ESP,1990.0,2021.0,Villarreal,Europa League,DF,,0.3
Gianluca Gaudino,de GER,1996.0,2021.0,Young Boys,Europa League,MF,FW,1.9
Nicolas Gavory,fr FRA,1995.0,2021.0,Standard Liège,Europa League,DF,,4.4
Mario Gavranović,ch SUI,1989.0,2021.0,Dinamo Zagreb,Europa League,FW,,3.4
Željko Gavrić,rs SRB,2000.0,2021.0,Red Star,Europa League,MF,,0.1
Yuri Gazinskiy,ru RUS,1989.0,2021.0,Krasnodar,Europa League,MF,,1.1
Emrehan Gedikli,de GER,2003.0,2021.0,Leverkusen,Europa League,FW,MF,0.9
Lutsharel Geertruida,nl NED,2000.0,2021.0,Feyenoord,Europa League,DF,MF,5.0
Geferson,br BRA,1994.0,2021.0,CSKA Sofia,Europa League,MF,,2.9
Dennis Geiger,de GER,1998.0,2021.0,Hoffenheim,Europa League,MF,,2.1
Jérémy Gélin,fr FRA,1997.0,2021.0,Antwerp,Europa League,DF,,4.5
Wouter George,be BEL,2002.0,2021.0,Gent,Europa League,MF,,0.1
André Geraldes,pt POR,1991.0,2021.0,Maccabi Tel Aviv,Europa League,DF,,2.0
Pieter Gerkens,be BEL,1995.0,2021.0,Antwerp,Europa League,MF,FW,6.7
Faouzi Ghoulam,dz ALG,1991.0,2021.0,Napoli,Europa League,DF,,2.4
Dimitris Giannoulis,gr GRE,1995.0,2021.0,PAOK,Europa League,DF,,3.3
Gilberto,br BRA,1993.0,2021.0,Benfica,Europa League,DF,,3.3
Marco van Ginkel,nl NED,1992.0,2021.0,PSV Eindhoven,Europa League,MF,,0.1
Guram Giorbelidze,ge GEO,1996.0,2021.0,Wolfsberger AC,Europa League,DF,MF,0.7
Dan Glazer,il ISR,1996.0,2021.0,Maccabi Tel Aviv,Europa League,MF,,6.6
Adam Gnezda Čerin,si SVN,1999.0,2021.0,Rijeka,Europa League,MF,,3.0
Franck Gniangbo,ci CIV,1999.0,2021.0,Gent,Europa League,FW,MF,1.0
Marko Gobeljić,rs SRB,1992.0,2021.0,Red Star,Europa League,DF,,3.0
Marcelo Goiano,br BRA,1987.0,2021.0,Sivasspor,Europa League,DF,,2.0
Thomas Goiginger,at AUT,1993.0,2021.0,LASK,Europa League,FW,,2.5
Eyal Golasa,il ISR,1991.0,2021.0,Maccabi Tel Aviv,Europa League,MF,FW,5.3
Sean Goldberg,il ISR,1995.0,2021.0,Be'er Sheva,Europa League,DF,,3.5
Connor Goldson,eng ENG,1992.0,2021.0,Rangers,Europa League,DF,,10.0
Vítor Gomes,pt POR,1987.0,2021.0,AC Omonia,Europa League,MF,,5.0
Jordi Gómez,es ESP,1985.0,2021.0,AC Omonia,Europa League,MF,,3.4
Moi Gómez,es ESP,1994.0,2021.0,Villarreal,Europa League,MF,,1.8
Maxime Gonalons,fr FRA,1989.0,2021.0,Granada,Europa League,MF,,7.4
Diogo Gonçalves,pt POR,1997.0,2021.0,Benfica,Europa League,DF,,3.9
Andoni Gorosabel,es ESP,1996.0,2021.0,Real Sociedad,Europa League,DF,,3.3
Mario Götze,de GER,1992.0,2021.0,PSV Eindhoven,Europa League,MF,FW,5.2
Amine Gouiri,fr FRA,2000.0,2021.0,Nice,Europa League,FW,MF,4.4
Max Gradel,ci CIV,1987.0,2021.0,Sivasspor,Europa League,FW,MF,5.1
Srđan Grahovac,ba BIH,1992.0,2021.0,Rapid Wien,Europa League,MF,,4.1
Ryan Gravenberch,nl NED,2002.0,2021.0,Ajax,Europa League,MF,,3.0
Demarai Gray,eng ENG,1996.0,2021.0,Leverkusen,Europa League,FW,DF,1.3
Mason Greenwood,eng ENG,2001.0,2021.0,Manchester Utd,Europa League,FW,MF,3.7
Leo Greiml,at AUT,2001.0,2021.0,Rapid Wien,Europa League,DF,,2.0
Lukas Grgic,at AUT,1995.0,2021.0,LASK,Europa League,MF,,1.8
Leigh Griffiths,sco SCO,1990.0,2021.0,Celtic,Europa League,FW,,0.9
Dragoș Grigore,ro ROU,1986.0,2021.0,Ludogorets,Europa League,DF,,2.0
Florian Grillitsch,at AUT,1995.0,2021.0,Hoffenheim,Europa League,MF,DF,4.4
Álex Grimaldo,es ESP,1995.0,2021.0,Benfica,Europa League,DF,,5.2
Andreas Gruber,at AUT,1995.0,2021.0,LASK,Europa League,FW,,3.6
Eduardo Guerrero,pa PAN,2000.0,2021.0,Maccabi Tel Aviv,Europa League,FW,,1.1
Wilde-Donald Guerrier,ht HAI,1989.0,2021.0,Qarabağ Ağdam,Europa League,DF,,5.0
Ander Guevara,es ESP,1997.0,2021.0,Real Sociedad,Europa League,MF,,3.8
Maxim Gullit,nl NED,2001.0,2021.0,AZ Alkmaar,Europa League,DF,,0.0
Jon Guridi,es ESP,1995.0,2021.0,Real Sociedad,Europa League,MF,FW,0.3
Erick Gutiérrez,mx MEX,1995.0,2021.0,PSV Eindhoven,Europa League,FW,,0.1
Albert Guðmundsson,is ISL,1997.0,2021.0,AZ Alkmaar,Europa League,FW,MF,4.0
Joško Gvardiol,hr CRO,2002.0,2021.0,Dinamo Zagreb,Europa League,DF,,8.0
Ianis Hagi,ro ROU,1998.0,2021.0,Rangers,Europa League,FW,,4.0
Tibor Halilović,hr CRO,1995.0,2021.0,Rijeka,Europa League,MF,,2.3
Andreas Hanche-Olsen,no NOR,1997.0,2021.0,Gent,Europa League,DF,,5.0
Dávid Hancko,sk SVK,1997.0,2021.0,Sparta Prague,Europa League,DF,,1.5
Matěj Hanousek,cz CZE,1993.0,2021.0,Sparta Prague,Europa League,DF,,3.1
Ridgeciano Haps,nl NED,1993.0,2021.0,Feyenoord,Europa League,DF,FW,3.0
Faris Haroun,be BEL,1985.0,2021.0,Antwerp,Europa League,MF,,5.9
Rotem Hatuel,il ISR,1998.0,2021.0,Be'er Sheva,Europa League,FW,,1.2
Pantelis Hatzidiakos,gr GRE,1997.0,2021.0,AZ Alkmaar,Europa League,DF,,5.5
Kristoffer Haugen,no NOR,1994.0,2021.0,Molde,Europa League,DF,,6.2
Silvan Hefti,ch SUI,1997.0,2021.0,Young Boys,Europa League,DF,,9.7
Filip Helander,se SWE,1993.0,2021.0,Rangers,Europa League,DF,,4.0
Ewan Henderson,sco SCO,2000.0,2021.0,Celtic,Europa League,MF,,0.7
Jorrit Hendrix,nl NED,1995.0,2021.0,PSV Eindhoven,Europa League,MF,DF,3.3
Gustav Henriksson,se SWE,1998.0,2021.0,Wolfsberger AC,Europa League,DF,,1.5
Henrique,br BRA,1993.0,2021.0,CSKA Sofia,Europa League,FW,,0.7
Luis Hernández,es ESP,1989.0,2021.0,Maccabi Tel Aviv,Europa League,DF,,7.1
Theo Hernández,fr FRA,1997.0,2021.0,Milan,Europa League,DF,,6.1
Yangel Herrera,ve VEN,1998.0,2021.0,Granada,Europa League,MF,,7.0
Eirik Hestad,no NOR,1995.0,2021.0,Molde,Europa League,FW,,5.9
Son Heung-min,kr KOR,1992.0,2021.0,Tottenham,Europa League,FW,,3.6
Oleksandr Hladkyy,ua UKR,1987.0,2021.0,Zorya Luhansk,Europa League,FW,,3.4
Adam Hložek,cz CZE,2002.0,2021.0,Sparta Prague,Europa League,FW,,0.5
Nassim El Hnid,tn TUN,1997.0,2021.0,AEK Athens,Europa League,DF,,2.0
Sean Hoare,ie IRL,1994.0,2021.0,Dundalk,Europa League,DF,,3.9
Ovidiu Hoban,ro ROU,1982.0,2021.0,CFR Cluj,Europa League,MF,,3.9
Patrick Hoban,ie IRL,1991.0,2021.0,Dundalk,Europa League,FW,,2.8
Veldin Hodža,hr CRO,2002.0,2021.0,Rijeka,Europa League,MF,,0.0
Amar Hodzić,at AUT,1999.0,2021.0,Wolfsberger AC,Europa League,FW,,0.1
Maximilian Hofmann,at AUT,1993.0,2021.0,Rapid Wien,Europa League,DF,,4.5
Rob Holding,eng ENG,1995.0,2021.0,Arsenal,Europa League,DF,,0.5
José Holebas,gr GRE,1984.0,2021.0,Olympiacos,Europa League,DF,,1.5
Tomáš Holeš,cz CZE,1993.0,2021.0,Slavia Prague,Europa League,MF,,5.3
James Holland,au AUS,1989.0,2021.0,LASK,Europa League,MF,DF,2.8
Martin Hongla,cm CMR,1998.0,2021.0,Antwerp,Europa League,MF,DF,7.0
André Horta,pt POR,1996.0,2021.0,Braga,Europa League,MF,FW,3.7
Ricardo Horta,pt POR,1994.0,2021.0,Braga,Europa League,MF,FW,4.7
David Hovorka,cz CZE,1993.0,2021.0,Slavia Prague,Europa League,DF,,1.9
Matan Hozez,il ISR,1996.0,2021.0,Maccabi Tel Aviv,Europa League,FW,,1.3
Jakub Hromada,sk SVK,1996.0,2021.0,Slavia Prague,Europa League,MF,,2.1
Jakub Hromada,sk SVK,1996.0,2021.0,Slovan Liberec,Europa League,MF,,3.2
Artem Hromov,ua UKR,1990.0,2021.0,Zorya Luhansk,Europa League,FW,,3.3
Serhiy Hryn,ua UKR,1994.0,2021.0,Zorya Luhansk,Europa League,DF,FW,0.3
Tomáš Hubočan,sk SVK,1985.0,2021.0,AC Omonia,Europa League,DF,,5.0
Abbas Huseynov,az AZE,1995.0,2021.0,Qarabağ Ağdam,Europa League,DF,,2.3
Badavi Huseynov,az AZE,1991.0,2021.0,Qarabağ Ağdam,Europa League,DF,,0.7
Etzaz Hussain,no NOR,1993.0,2021.0,Molde,Europa League,MF,,3.6
Elseid Hysaj,al ALB,1994.0,2021.0,Napoli,Europa League,DF,,1.6
Pierre Højbjerg,dk DEN,1995.0,2021.0,Tottenham,Europa League,MF,,3.4
Roger Ibanez,br BRA,1998.0,2021.0,Roma,Europa League,DF,,2.4
Vicente Iborra,es ESP,1988.0,2021.0,Villarreal,Europa League,MF,,3.3
İsmayıl İbrahimli,az AZE,1998.0,2021.0,Qarabağ Ağdam,Europa League,MF,,2.2
Melih Ibrahimoglu,tr TUR,2000.0,2021.0,Rapid Wien,Europa League,FW,MF,1.1
Zlatan Ibrahimović,se SWE,1981.0,2021.0,Milan,Europa League,FW,,2.7
Oussama Idrissi,ma MAR,1996.0,2021.0,Ajax,Europa League,FW,,0.7
Mohammed Ihattaren,nl NED,2002.0,2021.0,PSV Eindhoven,Europa League,FW,MF,3.6
Kelechi Iheanacho,ng NGA,1996.0,2021.0,Leicester City,Europa League,FW,,4.6
Jordan Ikoko,cd COD,1994.0,2021.0,Ludogorets,Europa League,DF,,3.3
Jonathan Ikone,fr FRA,1998.0,2021.0,Lille,Europa League,MF,,4.8
Asier Illarramendi,es ESP,1990.0,2021.0,Real Sociedad,Europa League,MF,,0.8
Hernani Infande,pt POR,2001.0,2021.0,Braga,Europa League,DF,,0.2
Sverrir Ingi Ingason,is ISL,1993.0,2021.0,PAOK,Europa League,DF,,4.0
Lorenzo Insigne,it ITA,1991.0,2021.0,Napoli,Europa League,FW,,5.2
Emanuel Insúa,ar ARG,1991.0,2021.0,AEK Athens,Europa League,DF,,3.9
Aleksei Ionov,ru RUS,1989.0,2021.0,Krasnodar,Europa League,FW,DF,1.1
Alexander Isak,se SWE,1999.0,2021.0,Real Sociedad,Europa League,FW,,5.2
Mikael Ishak,se SWE,1993.0,2021.0,Lech Poznań,Europa League,FW,,4.9
Ismaily,br BRA,1990.0,2021.0,Shakhtar,Europa League,DF,,1.0
Cedric Itten,ch SUI,1996.0,2021.0,Rangers,Europa League,FW,,1.1
Mirko Ivanić,me MNE,1993.0,2021.0,Red Star,Europa League,MF,DF,5.2
Dmytro Ivanisenya,ua UKR,1994.0,2021.0,Zorya Luhansk,Europa League,MF,DF,6.0
Luka Ivanušec,hr CRO,1998.0,2021.0,Dinamo Zagreb,Europa League,MF,FW,6.2
Ryan Jack,sco SCO,1992.0,2021.0,Rangers,Europa League,MF,,2.3
Kristijan Jakić,hr CRO,1997.0,2021.0,Dinamo Zagreb,Europa League,MF,,8.3
Daniel James,wal WAL,1997.0,2021.0,Manchester Utd,Europa League,FW,MF,3.5
Leke James,ng NGA,1992.0,2021.0,Molde,Europa League,FW,MF,2.0
Laurent Jans,lu LUX,1992.0,2021.0,Standard Liège,Europa League,DF,,3.2
Adnan Januzaj,be BEL,1995.0,2021.0,Real Sociedad,Europa League,FW,MF,4.4
Jardel,br BRA,1986.0,2021.0,Benfica,Europa League,DF,,2.8
Luis Javier Suárez,co COL,1997.0,2021.0,Granada,Europa League,FW,MF,3.4
Tin Jedvaj,hr CRO,1995.0,2021.0,Leverkusen,Europa League,DF,,3.7
Juan Jesus,br BRA,1991.0,2021.0,Roma,Europa League,DF,,4.7
Marco John,de GER,2002.0,2021.0,Hoffenheim,Europa League,DF,,3.8
Nile John,eng ENG,2003.0,2021.0,Tottenham,Europa League,MF,,0.1
Willian José,br BRA,1991.0,2021.0,Real Sociedad,Europa League,FW,,2.3
Dejan Joveljić,rs SRB,1999.0,2021.0,Wolfsberger AC,Europa League,FW,,4.6
Jakub Jugas,cz CZE,1992.0,2021.0,Slovan Liberec,Europa League,DF,,4.0
Simen Juklerød,no NOR,1994.0,2021.0,Antwerp,Europa League,DF,,4.8
Lukáš Juliš,cz CZE,1994.0,2021.0,Sparta Prague,Europa League,FW,,4.3
Christopher Jullien,fr FRA,1993.0,2021.0,Celtic,Europa League,DF,,2.0
Mauro Júnior,br BRA,1999.0,2021.0,PSV Eindhoven,Europa League,MF,DF,1.6
Zlatko Junuzović,at AUT,1987.0,2021.0,RB Salzburg,Europa League,MF,,1.8
Matěj Jurásek,cz CZE,2003.0,2021.0,Slavia Prague,Europa League,MF,,0.1
James Justin,eng ENG,1998.0,2021.0,Leicester City,Europa League,DF,,5.1
Nicolai Jørgensen,dk DEN,1991.0,2021.0,Feyenoord,Europa League,FW,,1.6
Vladyslav Kabayev,ua UKR,1995.0,2021.0,Zorya Luhansk,Europa League,MF,FW,5.0
Marwan Kabha,il ISR,1991.0,2021.0,Be'er Sheva,Europa League,DF,,5.9
Taras Kacharaba,ua UKR,1995.0,2021.0,Slovan Liberec,Europa League,DF,,4.0
Nika Kacharava,ge GEO,1994.0,2021.0,Lech Poznań,Europa League,FW,,0.8
Omar El Kaddouri,ma MAR,1990.0,2021.0,PAOK,Europa League,MF,,4.1
Pavel Kadeřábek,cz CZE,1992.0,2021.0,Hoffenheim,Europa League,DF,,1.5
Andronikos Kakoulli,cy CYP,2001.0,2021.0,AC Omonia,Europa League,FW,,1.3
Pierre Kalulu,fr FRA,2000.0,2021.0,Milan,Europa League,DF,,2.9
Mamadou Kaly Sene,sn SEN,2001.0,2021.0,AC Omonia,Europa League,FW,MF,1.5
Glen Kamara,fi FIN,1995.0,2021.0,Rangers,Europa League,MF,,9.8
Hassane Kamara,fr FRA,1994.0,2021.0,Nice,Europa League,DF,,3.8
Jakub Kamiński,pl POL,2002.0,2021.0,Lech Poznań,Europa League,MF,,1.6
Maor Kandil,il ISR,1993.0,2021.0,Maccabi Tel Aviv,Europa League,DF,,4.5
Harry Kane,eng ENG,1993.0,2021.0,Tottenham,Europa League,FW,,3.5
Guélor Kanga,ga GAB,1990.0,2021.0,Red Star,Europa League,MF,,4.1
Ercan Kara,at AUT,1996.0,2021.0,Rapid Wien,Europa League,FW,,4.7
Adam Karabec,cz CZE,2003.0,2021.0,Sparta Prague,Europa League,MF,,1.6
Ondřej Karafiát,cz CZE,1994.0,2021.0,Slavia Prague,Europa League,MF,,0.1
Mamoudou Karamoko,fr FRA,1999.0,2021.0,LASK,Europa League,FW,,0.2
Oleksandr Karavayev,ua UKR,1992.0,2021.0,Dynamo Kyiv,Europa League,DF,,0.3
Jesper Karlsson,se SWE,1998.0,2021.0,AZ Alkmaar,Europa League,FW,MF,4.1
Vadim Karpov,ru RUS,2002.0,2021.0,CSKA Moscow,Europa League,DF,,0.1
Rick Karsdorp,nl NED,1995.0,2021.0,Roma,Europa League,DF,,4.9
Eden Karzev,il ISR,2000.0,2021.0,Maccabi Tel Aviv,Europa League,MF,,0.7
Lirim Kastrati,xk KVX,1999.0,2021.0,Dinamo Zagreb,Europa League,FW,MF,4.5
Aleksandar Katai,rs SRB,1991.0,2021.0,Red Star,Europa League,FW,MF,3.0
Olarenwaju Kayode,ng NGA,1993.0,2021.0,Sivasspor,Europa League,FW,,3.5
Matyáš Kazda,cz CZE,1998.0,2021.0,Slovan Liberec,Europa League,DF,,0.0
Tomasz Kędziora,pl POL,1994.0,2021.0,Dynamo Kyiv,Europa League,DF,,3.7
Jules Keita,gn GUI,1998.0,2021.0,CSKA Sofia,Europa League,FW,,0.5
Daniel Kelly,ie IRL,1996.0,2021.0,Dundalk,Europa League,FW,DF,1.7
David Keltjens,il ISR,1995.0,2021.0,Be'er Sheva,Europa League,MF,,3.0
Kenedy,br BRA,1996.0,2021.0,Granada,Europa League,FW,MF,6.1
Ryan Kent,eng ENG,1996.0,2021.0,Rangers,Europa League,FW,,8.4
Claudiu Keșerü,ro ROU,1986.0,2021.0,Ludogorets,Europa League,FW,,3.1
Franck Kessié,ci CIV,1996.0,2021.0,Milan,Europa League,MF,,5.7
Dmytro Khomchenovskyi,ua UKR,1990.0,2021.0,Zorya Luhansk,Europa League,DF,,2.5
Kiko,pt POR,1993.0,2021.0,AC Omonia,Europa League,DF,,2.0
Koya Kitagawa,jp JPN,1996.0,2021.0,Rapid Wien,Europa League,FW,,2.0
Simon Kjær,dk DEN,1989.0,2021.0,Milan,Europa League,DF,,6.1
Davy Klaassen,nl NED,1993.0,2021.0,Ajax,Europa League,MF,,4.0
Sean Klaiber,nl NED,1994.0,2021.0,Ajax,Europa League,DF,,0.2
Klauss,br BRA,1997.0,2021.0,Hoffenheim,Europa League,FW,,3.8
Tim Kleindienst,de GER,1995.0,2021.0,Gent,Europa League,FW,DF,2.6
Patryk Klimala,pl POL,1998.0,2021.0,Celtic,Europa League,FW,,1.2
Christoph Knasmüllner,at AUT,1992.0,2021.0,Rapid Wien,Europa League,MF,,2.9
Erling Knudtzon,no NOR,1988.0,2021.0,Molde,Europa League,FW,MF,3.7
Vladyslav Kocherhin,ua UKR,1996.0,2021.0,Zorya Luhansk,Europa League,MF,FW,5.8
Koka,eg EGY,1993.0,2021.0,Olympiacos,Europa League,FW,,0.4
Orkun Kökçü,tr TUR,2000.0,2021.0,Feyenoord,Europa League,MF,,5.6
Sead Kolašinac,ba BIH,1993.0,2021.0,Arsenal,Europa League,DF,,4.0
Arouna Koné,ci CIV,1983.0,2021.0,Sivasspor,Europa League,FW,MF,1.7
Yevhen Konoplyanka,ua UKR,1989.0,2021.0,Shakhtar,Europa League,FW,MF,0.7
Teun Koopmeiners,nl NED,1998.0,2021.0,AZ Alkmaar,Europa League,MF,DF,6.0
Viktor Korniienko,ua UKR,1999.0,2021.0,Shakhtar,Europa League,DF,,0.1
Martin Koscelník,sk SVK,1995.0,2021.0,Slovan Liberec,Europa League,DF,,6.0
Daniel Kosek,cz CZE,2001.0,2021.0,Slovan Liberec,Europa League,DF,,1.0
Odilon Kossonou,ci CIV,2001.0,2021.0,Club Brugge,Europa League,DF,,2.0
Kalidou Koulibaly,sn SEN,1991.0,2021.0,Napoli,Europa League,DF,,7.0
Ioannis Kousoulos,cy CYP,1996.0,2021.0,AC Omonia,Europa League,MF,DF,3.0
Georgios Koutsias,gr GRE,2004.0,2021.0,PAOK,Europa League,FW,,0.5
Libor Kozák,cz CZE,1989.0,2021.0,Sparta Prague,Europa League,FW,,0.3
Andrej Kramarić,hr CRO,1991.0,2021.0,Hoffenheim,Europa League,MF,FW,1.6
Vasyl Kravets,ua UKR,1997.0,2021.0,Lech Poznań,Europa League,DF,,2.3
Ladislav Krejčí,cz CZE,1999.0,2021.0,Sparta Prague,Europa League,MF,DF,3.8
Ladislav Krejčí,cz CZE,1992.0,2021.0,Sparta Prague,Europa League,DF,FW,2.1
Jakub Křišťan,cz CZE,2002.0,2021.0,Slavia Prague,Europa League,MF,DF,0.1
Nenad Krstičić,rs SRB,1990.0,2021.0,AEK Athens,Europa League,MF,,4.9
Rade Krunić,ba BIH,1993.0,2021.0,Milan,Europa League,MF,FW,7.4
Serhiy Kryvtsov,ua UKR,1991.0,2021.0,Shakhtar,Europa League,DF,,3.0
Takefusa Kubo,jp JPN,2001.0,2021.0,Villarreal,Europa League,MF,FW,4.1
Konstantin Kuchayev,ru RUS,1998.0,2021.0,CSKA Moscow,Europa League,FW,,3.0
Jan Kuchta,cz CZE,1997.0,2021.0,Slavia Prague,Europa League,FW,,5.9
Ondřej Kúdela,cz CZE,1987.0,2021.0,Slavia Prague,Europa League,DF,,8.0
Mohammed Kudus,gh GHA,2000.0,2021.0,Ajax,Europa League,MF,,0.3
Sandro Kulenović,hr CRO,1999.0,2021.0,Rijeka,Europa League,FW,,3.1
Marash Kumbulla,al ALB,2000.0,2021.0,Roma,Europa League,DF,,5.5
Sven Kums,be BEL,1988.0,2021.0,Gent,Europa League,MF,,4.2
Owusu Kwabena,gh GHA,1997.0,2021.0,Qarabağ Ağdam,Europa League,FW,MF,4.3
Alexandre Lacazette,fr FRA,1991.0,2021.0,Arsenal,Europa League,FW,MF,2.6
Konstantinos Laifis,cy CYP,1993.0,2021.0,Standard Liège,Europa League,DF,,3.2
Kenny Lala,fr FRA,1991.0,2021.0,Olympiacos,Europa League,DF,,2.8
Érik Lamela,ar ARG,1992.0,2021.0,Tottenham,Europa League,FW,MF,3.6
Didier Lamkel Zé,cm CMR,1996.0,2021.0,Antwerp,Europa League,FW,,1.0
Ádám Lang,hu HUN,1993.0,2021.0,AC Omonia,Europa League,DF,,6.0
Iasmin Latovlevici,ro ROU,1986.0,2021.0,CFR Cluj,Europa League,DF,,0.1
Sandro Lauper,ch SUI,1996.0,2021.0,Young Boys,Europa League,MF,,3.7
Rasmus Lauritsen,dk DEN,1996.0,2021.0,Dinamo Zagreb,Europa League,DF,,9.3
Marcel Lavinier,eng ENG,2000.0,2021.0,Tottenham,Europa League,DF,,0.2
Diego Laxalt,uy URU,1993.0,2021.0,Celtic,Europa League,DF,,5.7
Maxime Le Marchand,fr FRA,1989.0,2021.0,Antwerp,Europa League,DF,,2.0
Robin Le Normand,fr FRA,1996.0,2021.0,Real Sociedad,Europa League,DF,,6.9
Darragh Leahy,ie IRL,1998.0,2021.0,Dundalk,Europa League,DF,,2.7
Rafael Leão,pt POR,1999.0,2021.0,Milan,Europa League,FW,,3.5
Jan Lecjaks,cz CZE,1990.0,2021.0,AC Omonia,Europa League,DF,,4.0
Richy Ledezma,us USA,2000.0,2021.0,PSV Eindhoven,Europa League,MF,,0.3
Pierre Lees-Melou,fr FRA,1993.0,2021.0,Nice,Europa League,MF,,1.6
Ramon Leeuwin,sr SUR,1987.0,2021.0,AZ Alkmaar,Europa League,DF,,0.4
Jordan Lefort,fr FRA,1993.0,2021.0,Young Boys,Europa League,DF,,6.5
Mario Leitgeb,at AUT,1988.0,2021.0,Wolfsberger AC,Europa League,MF,,5.0
Marin Leovac,hr CRO,1988.0,2021.0,Dinamo Zagreb,Europa League,DF,,2.5
Ivan Lepinjica,hr CRO,1999.0,2021.0,Rijeka,Europa League,DF,MF,0.5
Maxime Lestienne,be BEL,1992.0,2021.0,Standard Liège,Europa League,FW,MF,2.9
Timo Letschert,nl NED,1993.0,2021.0,AZ Alkmaar,Europa League,DF,,1.0
Bohdan Liedniev,ua UKR,1998.0,2021.0,Dynamo Kyiv,Europa League,FW,,0.3
Michael Liendl,at AUT,1985.0,2021.0,Wolfsberger AC,Europa League,MF,,6.9
Isaac Lihadji,fr FRA,2002.0,2021.0,Lille,Europa League,MF,FW,0.9
Victor Lindelöf,se SWE,1994.0,2021.0,Manchester Utd,Europa League,DF,,2.0
Ondřej Lingr,cz CZE,1998.0,2021.0,Slavia Prague,Europa League,MF,FW,3.7
Bryan Linssen,nl NED,1990.0,2021.0,Feyenoord,Europa League,FW,,5.0
David Lischka,cz CZE,1997.0,2021.0,Sparta Prague,Europa League,DF,,3.1
Marko Livaja,hr CRO,1993.0,2021.0,AEK Athens,Europa League,FW,,3.8
Dejan Ljubicic,at AUT,1997.0,2021.0,Rapid Wien,Europa League,MF,,3.0
Giovani Lo Celso,ar ARG,1996.0,2021.0,Tottenham,Europa League,MF,,3.8
Stanislav Lobotka,sk SVK,1994.0,2021.0,Napoli,Europa League,MF,,3.0
Luka Lochoshvili,ge GEO,1998.0,2021.0,Wolfsberger AC,Europa League,DF,,8.0
Loizos Loizou,cy CYP,2003.0,2021.0,AC Omonia,Europa League,DF,MF,1.9
Stjepan Lončar,ba BIH,1996.0,2021.0,Rijeka,Europa League,MF,,6.0
Hélder Lopes,pt POR,1989.0,2021.0,AEK Athens,Europa League,DF,FW,2.0
Rony Lopes,pt POR,1995.0,2021.0,Nice,Europa League,FW,MF,2.5
Roberto López,es ESP,2000.0,2021.0,Real Sociedad,Europa League,MF,FW,0.3
