Player,Nation,Born,Season,Squad,Comp,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca
Marco Andreolli,it ITA,1986.0,2018.0,Cagliari,it Serie A,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoann Andreu,fr FRA,1989.0,2018.0,Angers,fr Ligue 1,38.0,1.65,30.0,3.0,2.0,0.0,1.0,2.0,4.0,0.17,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Miguel Ángel Guerrero,es ESP,1990.0,2018.0,Leganés,es La Liga,26.0,1.63,19.0,0.0,2.0,4.0,1.0,0.0,6.0,0.38,3.0,0.0,0.0,2.0,1.0,0.0,0.0
Miguel Ángel Rubio,es ESP,1998.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Ángel,es ESP,1989.0,2018.0,Eibar,es La Liga,64.0,2.37,32.0,22.0,4.0,2.0,2.0,2.0,11.0,0.41,5.0,4.0,1.0,1.0,0.0,0.0,0.0
Gabriele Angella,it ITA,1989.0,2018.0,Udinese,it Serie A,11.0,1.11,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Ansaldi,ar ARG,1986.0,2018.0,Torino,it Serie A,51.0,2.46,30.0,1.0,10.0,3.0,4.0,3.0,7.0,0.34,5.0,0.0,0.0,1.0,1.0,0.0,0.0
Luca Antei,it ITA,1992.0,2018.0,Benevento,it Serie A,2.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirco Antenucci,it ITA,1984.0,2018.0,SPAL,it Serie A,66.0,2.31,45.0,0.0,5.0,7.0,8.0,1.0,11.0,0.38,7.0,0.0,0.0,3.0,1.0,0.0,0.0
Waldemar Anton,de GER,1996.0,2018.0,Hannover 96,de Bundesliga,11.0,0.43,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Antonelli,it ITA,1987.0,2018.0,Milan,it Serie A,1.0,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,eng ENG,1990.0,2018.0,West Ham,eng Premier League,31.0,2.06,18.0,1.0,3.0,1.0,8.0,0.0,3.0,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Mirko Antonucci,it ITA,1999.0,2018.0,Roma,it Serie A,2.0,6.43,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitorino Antunes,pt POR,1987.0,2018.0,Getafe,es La Liga,52.0,1.67,27.0,20.0,2.0,1.0,0.0,2.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Dennis Aogo,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,40.0,1.84,26.0,13.0,0.0,1.0,0.0,0.0,6.0,0.28,2.0,3.0,0.0,1.0,0.0,0.0,0.0
Houssem Aouar,fr FRA,1998.0,2018.0,Lyon,fr Ligue 1,98.0,3.62,72.0,1.0,6.0,6.0,9.0,4.0,12.0,0.44,10.0,0.0,0.0,2.0,0.0,0.0,0.0
Alberto Aquilani,it ITA,1984.0,2018.0,Las Palmas,es La Liga,21.0,1.46,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauro Arambarri,uy URU,1995.0,2018.0,Getafe,es La Liga,17.0,0.72,11.0,0.0,0.0,2.0,2.0,2.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Guilherme Arana,br BRA,1997.0,2018.0,Sevilla,es La Liga,2.0,0.94,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Aránguiz,cl CHI,1989.0,2018.0,Leverkusen,de Bundesliga,59.0,2.3,49.0,4.0,0.0,2.0,1.0,3.0,6.0,0.23,4.0,1.0,0.0,0.0,0.0,1.0,0.0
Luiz Araújo,br BRA,1996.0,2018.0,Lille,fr Ligue 1,52.0,2.32,38.0,2.0,5.0,5.0,2.0,0.0,7.0,0.31,6.0,0.0,0.0,0.0,1.0,0.0,0.0
Sergio Araujo,ar ARG,1992.0,2018.0,Las Palmas,es La Liga,2.0,4.86,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaitz Arbilla,es ESP,1987.0,2018.0,Eibar,es La Liga,32.0,1.19,24.0,3.0,1.0,2.0,0.0,2.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,0.0
Scott Arfield,ca CAN,1988.0,2018.0,Burnley,eng Premier League,19.0,1.28,12.0,0.0,2.0,2.0,3.0,0.0,3.0,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Samuel Armenteros,se SWE,1990.0,2018.0,Benevento,it Serie A,3.0,0.63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoël Armougom,fr FRA,1998.0,2018.0,Caen,fr Ligue 1,1.0,0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Arnaiz,es ESP,1995.0,2018.0,Barcelona,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Arnautović,at AUT,1989.0,2018.0,West Ham,eng Premier League,63.0,2.45,42.0,2.0,9.0,5.0,5.0,0.0,12.0,0.47,7.0,0.0,2.0,3.0,0.0,0.0,0.0
Maximilian Arnold,de GER,1994.0,2018.0,Wolfsburg,de Bundesliga,72.0,2.64,46.0,19.0,1.0,1.0,4.0,1.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Jann-Fiete Arp,de GER,2000.0,2018.0,Hamburger SV,de Bundesliga,13.0,1.38,5.0,0.0,4.0,1.0,1.0,2.0,1.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alejandro Arribas,es ESP,1989.0,2018.0,La Coruña,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Arribas,es ESP,1995.0,2018.0,Leganés,es La Liga,,,,,,,,,,,,,,,,,
Harry Arter,ie IRL,1989.0,2018.0,Bournemouth,eng Premier League,17.0,1.59,13.0,2.0,0.0,0.0,0.0,2.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aythami Artiles,es ESP,1986.0,2018.0,Las Palmas,es La Liga,1.0,0.49,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwadwo Asamoah,gh GHA,1988.0,2018.0,Juventus,it Serie A,31.0,1.78,27.0,1.0,1.0,0.0,2.0,0.0,4.0,0.23,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Takuma Asano,jp JPN,1994.0,2018.0,Stuttgart,de Bundesliga,19.0,2.38,16.0,0.0,2.0,0.0,0.0,1.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Ascacíbar,ar ARG,1997.0,2018.0,Stuttgart,de Bundesliga,25.0,0.94,17.0,0.0,1.0,2.0,4.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marco Asensio,es ESP,1996.0,2018.0,Real Madrid,es La Liga,100.0,4.89,80.0,9.0,4.0,4.0,3.0,0.0,13.0,0.64,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Iago Aspas,es ESP,1987.0,2018.0,Celta Vigo,es La Liga,114.0,3.49,89.0,5.0,12.0,3.0,4.0,1.0,15.0,0.46,11.0,0.0,4.0,0.0,0.0,0.0,0.0
Benoît Assou-Ekotto,cm CMR,1984.0,2018.0,Metz,fr Ligue 1,15.0,1.28,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Asta,de GER,2001.0,2018.0,Augsburg,de Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davide Astori,it ITA,1987.0,2018.0,Fiorentina,it Serie A,19.0,0.76,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Atsu,gh GHA,1992.0,2018.0,Newcastle Utd,eng Premier League,47.0,2.37,36.0,1.0,5.0,1.0,4.0,0.0,5.0,0.25,3.0,0.0,1.0,1.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Arsenal,eng Premier League,25.0,2.13,21.0,0.0,1.0,2.0,1.0,0.0,8.0,0.68,6.0,0.0,0.0,1.0,1.0,0.0,0.0
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Dortmund,de Bundesliga,34.0,2.16,23.0,0.0,3.0,6.0,1.0,1.0,10.0,0.64,4.0,0.0,2.0,3.0,1.0,0.0,0.0
