,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
793,Vladyslav Supriaha\Vladyslav-Supriaha,ua UKR,FW,ua Dynamo Kyiv,21-055,2000,6,310,52,57.4,3.4,3,83,1,3,20,0,1.44,2,7,-5,-1.45,+0.11,3.7,6.3,-2.6,-0.74,+0.53,Matches
794,Suso\Suso,es ESP,FW,es Sevilla,27-143,1993,4,276,69,38.3,3.1,4,69,0,0,,0,1.25,4,5,-1,-0.33,-0.53,2.6,4.5,-2.0,-0.64,-0.98,Matches
795,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,it Atalanta,21-100,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
796,Aleksei Sutormin\Aleksei-Sutormin,ru RUS,DF,ru Zenit,27-091,1994,5,245,49,45.4,2.7,2,90,2,3,22,1,0.20,1,7,-6,-2.20,-1.29,1.6,5.8,-4.1,-1.51,-0.97,Matches
797,Erik Sviatchenko\Erik-Sviatchenko,dk DEN,DF,dk Midtjylland,29-189,1991,5,449,90,83.1,5.0,5,90,4,0,,0,1.22,3,12,-9,-1.80,-1.80,5.9,9.7,-3.8,-0.77,+1.06,Matches
798,Serhiy Sydorchuk\Serhiy-Sydorchuk,ua UKR,MF,ua Dynamo Kyiv,29-344,1991,4,354,89,65.6,3.9,4,89,2,0,,0,1.86,3,6,-3,-0.76,+2.14,2.9,5.9,-3.0,-0.76,+0.58,Matches
799,Oleksandr Syrota\Oleksandr-Syrota,ua UKR,DF,ua Dynamo Kyiv,20-304,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
800,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,30-358,1990,7,660,94,88.0,7.3,7,94,7,0,,1,2.14,15,8,+7,+0.95,-2.05,12.2,7.6,+4.6,+0.63,-0.96,Matches
801,Gergő Szécsi\Gergo-Szecsi,hu HUN,GK,hu Ferencváros,32-063,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
802,Dominik Szoboszlai\Dominik-Szoboszlai,hu HUN,MFFW,at RB Salzburg,20-168,2000,6,505,84,93.5,5.6,6,84,3,0,,0,1.25,8,16,-8,-1.43,-4.00,9.3,7.7,+1.5,+0.27,-2.61,Matches
803,Alexander Sørloth\Alexander-Sorloth,no NOR,FWMF,de RB Leipzig,25-127,1995,4,114,29,15.8,1.3,0,,0,4,29,4,0.75,2,8,-6,-4.74,-4.89,0.9,3.3,-2.5,-1.97,-2.08,Matches
