Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Roman Bürki,ch SUI,GK,1990,8.0,de Dortmund,28,8.0,8.0,720.0,8.0,11.0,1.37,36.0,25.0,69.4,4.0,1.0,3.0,2.0,25.0,1.0,0.0,1.0,0.0,100.0,Matches
Willy Caballero,ar ARG,GK,1981,9.0,eng Chelsea,37,2.0,2.0,180.0,2.0,7.0,3.5,12.0,6.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Leonardo César Jardim,br BRA,GK,1995,10.0,fr Lille,24,1.0,0.0,19.0,0.2,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
Jasper Cillessen,nl NED,GK,1989,11.0,es Valencia,30,6.0,6.0,540.0,6.0,11.0,1.83,30.0,20.0,70.0,2.0,2.0,2.0,1.0,16.7,3.0,2.0,0.0,1.0,0.0,Matches
Carlos Coronel,br BRA,GK,1996,12.0,at RB Salzburg,22,3.0,2.0,238.0,2.6,4.0,1.51,11.0,7.0,63.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Gaëtan Coucke,be BEL,GK,1998,13.0,be Genk,20,5.0,5.0,450.0,5.0,16.0,3.2,35.0,18.0,54.3,0.0,1.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Thibaut Courtois,be BEL,GK,1992,14.0,es Real Madrid,27,7.0,7.0,585.0,6.5,11.0,1.69,31.0,21.0,67.7,2.0,2.0,3.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,Matches
Jaume Doménech,es ESP,GK,1990,15.0,es Valencia,28,2.0,2.0,180.0,2.0,4.0,2.0,7.0,3.0,42.9,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,Matches
Ederson,br BRA,GK,1993,16.0,eng Manchester City,25,8.0,8.0,675.0,7.5,7.0,0.93,22.0,16.0,72.7,5.0,2.0,1.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,Matches
Paulo Gazzaniga,ar ARG,GK,1992,17.0,eng Tottenham,27,4.0,4.0,360.0,4.0,5.0,1.25,22.0,15.0,77.3,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,Matches
Pierluigi Gollini,it ITA,GK,1995,18.0,it Atalanta,24,7.0,7.0,630.0,7.0,13.0,1.86,31.0,19.0,61.3,3.0,1.0,3.0,2.0,28.6,2.0,1.0,0.0,1.0,0.0,Matches
Péter Gulácsi,hu HUN,GK,1990,19.0,de RB Leipzig,29,10.0,10.0,873.0,9.7,12.0,1.24,44.0,32.0,75.0,6.0,2.0,2.0,3.0,30.0,1.0,1.0,0.0,0.0,0.0,Matches
Samir Handanović,si SVN,GK,1984,20.0,it Inter,35,6.0,6.0,540.0,6.0,9.0,1.5,29.0,21.0,72.4,2.0,1.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches
Lukáš Hrádecký,fi FIN,GK,1989,21.0,de Leverkusen,29,6.0,6.0,540.0,6.0,9.0,1.5,28.0,19.0,67.9,2.0,0.0,4.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
Mikhail Kerzhakov,ru RUS,GK,1987,22.0,ru Zenit,32,4.0,4.0,360.0,4.0,7.0,1.75,24.0,18.0,75.0,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,Matches
Anton Kochenkov,ru RUS,GK,1987,23.0,ru Loko Moscow,32,1.0,1.0,90.0,1.0,2.0,2.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches
Ondřej Kolář,cz CZE,GK,1994,24.0,cz Slavia Prague,24,6.0,6.0,540.0,6.0,10.0,1.67,35.0,26.0,71.4,0.0,2.0,4.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
Dominik Livaković,hr CRO,GK,1995,25.0,hr Dinamo Zagreb,24,6.0,6.0,540.0,6.0,13.0,2.17,32.0,21.0,65.6,1.0,2.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0,Matches
Hugo Lloris,fr FRA,GK,1986,26.0,eng Tottenham,32,4.0,4.0,360.0,4.0,13.0,3.25,24.0,12.0,54.2,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Anthony Lopes,pt POR,GK,1990,27.0,fr Lyon,28,10.0,10.0,900.0,10.0,14.0,1.4,37.0,26.0,70.3,4.0,2.0,4.0,2.0,20.0,3.0,3.0,0.0,0.0,0.0,Matches
Andrey Lunyov,ru RUS,GK,1991,28.0,ru Zenit,27,2.0,2.0,180.0,2.0,2.0,1.0,14.0,13.0,92.9,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Mike Maignan,fr FRA,GK,1995,29.0,fr Lille,23,6.0,6.0,521.0,5.8,14.0,2.42,31.0,19.0,58.1,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Guilherme Marinato,ru RUS,GK,1985,30.0,ru Loko Moscow,33,5.0,5.0,450.0,5.0,9.0,1.8,35.0,28.0,74.3,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Alex Meret,it ITA,GK,1997,31.0,it Napoli,22,6.0,6.0,540.0,6.0,4.0,0.67,17.0,15.0,88.2,3.0,3.0,0.0,3.0,50.0,2.0,2.0,0.0,0.0,0.0,Matches
Simon Mignolet,be BEL,GK,1988,32.0,be Club Brugge,31,6.0,6.0,540.0,6.0,12.0,2.0,24.0,12.0,50.0,0.0,3.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
Fernando Muslera,uy URU,GK,1986,33.0,tr Galatasaray,33,6.0,6.0,540.0,6.0,14.0,2.33,46.0,34.0,73.9,0.0,2.0,4.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0,Matches
Yvon Mvogo,ch SUI,GK,1994,34.0,de RB Leipzig,25,1.0,0.0,27.0,0.3,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
Keylor Navas,cr CRC,GK,1986,35.0,fr Paris S-G,32,9.0,9.0,798.0,8.9,6.0,0.68,28.0,22.0,78.6,6.0,1.0,2.0,5.0,55.6,1.0,0.0,1.0,0.0,100.0,Matches
Neto,br BRA,GK,1989,36.0,es Barcelona,30,1.0,1.0,90.0,1.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Manuel Neuer,de GER,GK,1986,37.0,de Bayern Munich,33,11.0,11.0,990.0,11.0,8.0,0.73,33.0,27.0,78.8,11.0,0.0,0.0,6.0,54.5,1.0,1.0,0.0,0.0,0.0,Matches
Jan Oblak,si SVN,GK,1993,38.0,es Atlético Madrid,26,9.0,9.0,840.0,9.3,9.0,0.96,30.0,22.0,70.0,5.0,1.0,3.0,4.0,44.4,0.0,0.0,0.0,0.0,,Matches
André Onana,cm CMR,GK,1996,39.0,nl Ajax,23,6.0,6.0,540.0,6.0,6.0,1.0,28.0,24.0,85.7,3.0,1.0,2.0,3.0,50.0,3.0,2.0,0.0,1.0,0.0,Matches
David Ospina,co COL,GK,1988,40.0,it Napoli,30,2.0,2.0,180.0,2.0,4.0,2.0,4.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Andriy Pyatov,ua UKR,GK,1984,41.0,ua Shakhtar,35,6.0,6.0,540.0,6.0,13.0,2.17,32.0,20.0,62.5,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches
Sergio Rico,es ESP,GK,1993,42.0,fr Paris S-G,25,3.0,2.0,192.0,2.1,0.0,0.0,3.0,3.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,Matches
José Sá,pt POR,GK,1993,43.0,gr Olympiacos,26,6.0,6.0,540.0,6.0,14.0,2.33,34.0,21.0,61.8,1.0,1.0,4.0,1.0,16.7,2.0,1.0,0.0,1.0,0.0,Matches
Marco Sportiello,it ITA,GK,1992,44.0,it Atalanta,27,2.0,2.0,180.0,2.0,5.0,2.5,13.0,8.0,61.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Cican Stankovic,at AUT,GK,1992,45.0,at RB Salzburg,26,4.0,4.0,302.0,3.4,9.0,2.68,18.0,9.0,50.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Wojciech Szczęsny,pl POL,GK,1990,46.0,it Juventus,29,7.0,7.0,630.0,7.0,6.0,0.86,21.0,16.0,76.2,5.0,1.0,1.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,Matches
Marc-André ter Stegen,de GER,GK,1992,47.0,es Barcelona,27,8.0,8.0,720.0,8.0,13.0,1.62,36.0,23.0,66.7,4.0,3.0,1.0,2.0,25.0,2.0,1.0,1.0,0.0,50.0,Matches
Maarten Vandevoordt,be BEL,GK,2002,48.0,be Genk,17,1.0,1.0,90.0,1.0,4.0,4.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Odisseas Vlachodimos,gr GRE,GK,1994,49.0,pt Benfica,25,6.0,6.0,540.0,6.0,11.0,1.83,27.0,18.0,63.0,2.0,1.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches
Kyle Walker,eng ENG,DF,1990,50.0,eng Manchester City,29,1.0,0.0,3.0,4.9,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
Adrián,es ESP,GK,1987,1.0,eng Liverpool,34-091,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Alisson,br BRA,GK,1992,2.0,eng Liverpool,28-184,5.0,5.0,450.0,5.0,2.0,0.4,15.0,13.0,86.7,4.0,0.0,1.0,4.0,80.0,0.0,0.0,0.0,0.0,,Matches
Mikkel Andersen,dk DEN,GK,1988,3.0,dk Midtjylland,32-108,2.0,2.0,180.0,2.0,4.0,2.0,5.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Kepa Arrizabalaga,es ESP,GK,1994,4.0,eng Chelsea,26-183,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Yassine Bounou,ma MAR,GK,1991,5.0,es Sevilla,29-364,5.0,5.0,450.0,5.0,6.0,1.2,20.0,16.0,80.0,2.0,2.0,1.0,2.0,40.0,3.0,2.0,1.0,0.0,33.3,Matches
Denys Boyko,ua UKR,GK,1988,6.0,ua Dynamo Kyiv,33-065,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Gianluigi Buffon,it ITA,GK,1978,7.0,it Juventus,43-066,1.0,1.0,90.0,1.0,0.0,0.0,7.0,7.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Roman Bürki,ch SUI,GK,1990,8.0,de Dortmund,30-141,4.0,4.0,360.0,4.0,1.0,0.25,9.0,9.0,100.0,3.0,1.0,0.0,3.0,75.0,1.0,1.0,0.0,0.0,0.0,Matches
Heorhiy Bushchan,ua UKR,GK,1994,9.0,ua Dynamo Kyiv,26-308,4.0,4.0,360.0,4.0,9.0,2.25,21.0,13.0,61.9,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,Matches
Diogo Costa,pt POR,GK,1999,10.0,pt Porto,21-197,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Thibaut Courtois,be BEL,GK,1992,11.0,es Real Madrid,28-328,8.0,8.0,720.0,8.0,10.0,1.25,24.0,15.0,58.3,5.0,1.0,2.0,3.0,37.5,0.0,0.0,0.0,0.0,,Matches
Dénes Dibusz,hu HUN,GK,1990,12.0,hu Ferencváros,30-139,6.0,6.0,540.0,6.0,17.0,2.83,33.0,20.0,57.6,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,Matches
Ederson,br BRA,GK,1993,13.0,eng Manchester City,27-230,7.0,7.0,630.0,7.0,1.0,0.14,10.0,8.0,90.0,6.0,1.0,0.0,6.0,85.7,0.0,0.0,0.0,0.0,,Matches
David de Gea,es ESP,GK,1990,14.0,eng Manchester Utd,30-148,5.0,5.0,450.0,5.0,8.0,1.6,20.0,13.0,60.0,3.0,0.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Pierluigi Gollini,it ITA,GK,1995,15.0,it Atalanta,26-017,3.0,3.0,270.0,3.0,1.0,0.33,6.0,5.0,83.3,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,,Matches
Alfred Gomis,sn SEN,GK,1993,16.0,fr Rennes,27-211,4.0,4.0,360.0,4.0,7.0,1.75,17.0,12.0,70.6,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Yevgeni Gorodov,ru RUS,GK,1985,17.0,ru Krasnodar,35-112,2.0,2.0,180.0,2.0,3.0,1.5,12.0,10.0,83.3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Péter Gulácsi,hu HUN,GK,1990,18.0,de RB Leipzig,30-333,8.0,8.0,720.0,8.0,16.0,2.0,33.0,21.0,60.6,4.0,0.0,4.0,1.0,12.5,4.0,3.0,1.0,0.0,25.0,Matches
Mert Günok,tr TUR,GK,1989,19.0,tr Başakşehir,32-034,6.0,6.0,540.0,6.0,18.0,3.0,35.0,19.0,54.3,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Samir Handanović,si SVN,GK,1984,20.0,it Inter,36-264,6.0,6.0,540.0,6.0,9.0,1.5,21.0,15.0,66.7,1.0,3.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0,0.0,Matches
Jesper Hansen,dk DEN,GK,1985,21.0,dk Midtjylland,36-004,4.0,4.0,360.0,4.0,9.0,2.25,30.0,20.0,70.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Dean Henderson,eng ENG,GK,1997,22.0,eng Manchester Utd,24-023,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Marwin Hitz,ch SUI,GK,1987,23.0,de Dortmund,33-198,4.0,4.0,360.0,4.0,8.0,2.0,20.0,14.0,65.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Ethan Horvath,us USA,GK,1995,24.0,be Club Brugge,25-299,1.0,1.0,90.0,1.0,1.0,1.0,3.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Caoimhín Kelleher,ie IRL,GK,1998,25.0,eng Liverpool,22-132,2.0,2.0,180.0,2.0,1.0,0.5,9.0,9.0,100.0,1.0,1.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,Matches
Mikhail Kerzhakov,ru RUS,GK,1987,26.0,ru Zenit,34-066,6.0,6.0,540.0,6.0,13.0,2.17,26.0,16.0,61.5,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,Matches
Steve Mandanda,fr FRA,GK,1985,27.0,fr Marseille,36-007,6.0,6.0,540.0,6.0,13.0,2.17,26.0,16.0,57.7,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Agustín Marchesín,ar ARG,GK,1988,28.0,pt Porto,33-019,7.0,7.0,660.0,7.3,7.0,0.95,31.0,24.0,80.6,4.0,1.0,2.0,4.0,57.1,2.0,1.0,0.0,1.0,0.0,Matches
Guilherme Marinato,ru RUS,GK,1985,29.0,ru Loko Moscow,35-113,6.0,6.0,540.0,6.0,11.0,1.83,33.0,23.0,66.7,0.0,3.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
Edouard Mendy,sn SEN,GK,1992,30.0,eng Chelsea,29-034,7.0,7.0,630.0,7.0,1.0,0.14,19.0,18.0,94.7,6.0,1.0,0.0,6.0,85.7,0.0,0.0,0.0,0.0,,Matches
Simon Mignolet,be BEL,GK,1988,31.0,be Club Brugge,33-029,5.0,5.0,450.0,5.0,9.0,1.8,24.0,16.0,66.7,1.0,2.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Matches
Keylor Navas,cr CRC,GK,1986,32.0,fr Paris S-G,34-110,8.0,8.0,720.0,8.0,8.0,1.0,37.0,31.0,86.5,5.0,1.0,2.0,2.0,25.0,4.0,3.0,1.0,0.0,25.0,Matches
Ruslan Neshcheret,ua UKR,GK,2002,33.0,ua Dynamo Kyiv,19-072,1.0,1.0,90.0,1.0,2.0,2.0,13.0,12.0,92.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Neto,br BRA,GK,1989,34.0,es Barcelona,31-259,3.0,3.0,270.0,3.0,2.0,0.67,3.0,3.0,66.7,3.0,0.0,0.0,2.0,66.7,1.0,1.0,0.0,0.0,0.0,Matches
Manuel Neuer,de GER,GK,1986,35.0,de Bayern Munich,35-008,6.0,6.0,540.0,6.0,5.0,0.83,36.0,31.0,86.1,6.0,0.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,,Matches
Alexander Nübel,de GER,GK,1996,36.0,de Bayern Munich,24-186,2.0,2.0,180.0,2.0,2.0,1.0,5.0,3.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Jan Oblak,si SVN,GK,1993,37.0,es Atlético Madrid,28-087,8.0,8.0,720.0,8.0,11.0,1.37,23.0,14.0,60.9,2.0,3.0,3.0,2.0,25.0,2.0,2.0,0.0,0.0,0.0,Matches
André Onana,cm CMR,GK,1996,38.0,nl Ajax,25-002,6.0,6.0,540.0,6.0,7.0,1.17,27.0,22.0,77.8,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Alfonso Pastor,es ESP,GK,2000,39.0,es Sevilla,20-182,1.0,1.0,90.0,1.0,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Andriy Pyatov,ua UKR,GK,1984,40.0,ua Shakhtar,36-280,1.0,1.0,90.0,1.0,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Pepe Reina,es ESP,GK,1982,41.0,it Lazio,38-216,7.0,7.0,630.0,7.0,12.0,1.71,26.0,17.0,61.5,1.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
José Sá,pt POR,GK,1993,42.0,gr Olympiacos,28-077,6.0,6.0,540.0,6.0,10.0,1.67,31.0,24.0,77.4,1.0,0.0,5.0,1.0,16.7,3.0,3.0,0.0,0.0,0.0,Matches
Matvei Safonov,ru RUS,GK,1999,43.0,ru Krasnodar,22-038,4.0,4.0,360.0,4.0,8.0,2.0,28.0,21.0,78.6,1.0,1.0,2.0,1.0,25.0,3.0,2.0,0.0,1.0,0.0,Matches
Romain Salin,fr FRA,GK,1984,44.0,fr Rennes,36-249,2.0,2.0,180.0,2.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Yann Sommer,ch SUI,GK,1988,45.0,de M'Gladbach,32-108,8.0,8.0,720.0,8.0,13.0,1.62,35.0,21.0,62.9,2.0,2.0,4.0,2.0,25.0,0.0,0.0,0.0,0.0,,Matches
Marco Sportiello,it ITA,GK,1992,46.0,it Atalanta,28-329,5.0,5.0,450.0,5.0,11.0,2.2,29.0,20.0,69.0,1.0,2.0,2.0,1.0,20.0,2.0,2.0,0.0,0.0,0.0,Matches
Cican Stankovic,at AUT,GK,1992,47.0,at RB Salzburg,28-151,6.0,6.0,540.0,6.0,17.0,2.83,30.0,16.0,50.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Zack Steffen,us USA,GK,1995,48.0,eng Manchester City,26-002,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Thomas Strakosha,al ALB,GK,1995,49.0,it Lazio,26-016,1.0,1.0,90.0,1.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Wojciech Szczęsny,pl POL,GK,1990,50.0,it Juventus,30-351,7.0,7.0,660.0,7.3,8.0,1.09,26.0,20.0,76.9,5.0,0.0,2.0,2.0,28.6,2.0,2.0,0.0,0.0,0.0,Matches
Marc-André ter Stegen,de GER,GK,1992,51.0,es Barcelona,28-339,5.0,5.0,450.0,5.0,9.0,1.8,22.0,16.0,72.7,2.0,1.0,2.0,1.0,20.0,3.0,3.0,0.0,0.0,0.0,Matches
Anatolii Trubin,ua UKR,GK,2001,52.0,ua Shakhtar,19-246,5.0,5.0,450.0,5.0,8.0,1.6,31.0,23.0,74.2,2.0,2.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0,,Matches
Tomáš Vaclík,cz CZE,GK,1989,53.0,es Sevilla,32-006,2.0,2.0,180.0,2.0,3.0,1.5,5.0,3.0,60.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
