Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Milan Borjan,ca CAN,GK,1987,9.0,rs Red Star,30,6.0,6.0,540.0,6.0,17.0,2.83,56.0,40.0,71.4,1.0,1.0,4.0,2.0,33.3,2.0,1.0,0.0,1.0,0.0,Matches
Gianluigi Buffon,it ITA,GK,1978,10.0,fr Paris S-G,40,5.0,5.0,450.0,5.0,6.0,1.2,11.0,8.0,72.7,3.0,1.0,1.0,1.0,20.0,3.0,3.0,0.0,0.0,0.0,Matches
Roman Bürki,ch SUI,GK,1990,11.0,de Dortmund,27,7.0,7.0,630.0,7.0,6.0,0.86,23.0,17.0,73.9,3.0,1.0,3.0,4.0,57.1,0.0,0.0,0.0,0.0,,Matches
Iker Casillas,es ESP,GK,1981,12.0,pt Porto,37,10.0,10.0,930.0,10.3,15.0,1.45,32.0,20.0,62.5,6.0,1.0,3.0,1.0,10.0,5.0,3.0,0.0,2.0,0.0,Matches
Jasper Cillessen,nl NED,GK,1989,13.0,es Barcelona,29,1.0,1.0,90.0,1.0,1.0,1.0,7.0,6.0,85.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Thibaut Courtois,be BEL,GK,1992,14.0,es Real Madrid,26,5.0,5.0,450.0,5.0,8.0,1.6,29.0,21.0,72.4,3.0,0.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,,Matches
Jaume Doménech,es ESP,GK,1990,15.0,es Valencia,27,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Ederson,br BRA,GK,1993,16.0,eng Manchester City,24,10.0,10.0,900.0,10.0,12.0,1.2,28.0,19.0,67.9,7.0,1.0,2.0,3.0,30.0,3.0,3.0,0.0,0.0,0.0,Matches
Ralf Fährmann,de GER,GK,1988,17.0,de Schalke 04,29,6.0,6.0,540.0,6.0,14.0,2.33,27.0,15.0,55.6,2.0,1.0,3.0,2.0,33.3,3.0,2.0,0.0,1.0,0.0,Matches
Paulo Gazzaniga,ar ARG,GK,1992,18.0,eng Tottenham,26,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
David de Gea,es ESP,GK,1990,19.0,eng Manchester Utd,27,9.0,9.0,810.0,9.0,9.0,1.0,31.0,23.0,71.0,4.0,1.0,4.0,3.0,33.3,0.0,0.0,0.0,0.0,,Matches
Mathieu Gorgelin,fr FRA,GK,1990,20.0,fr Lyon,27,1.0,0.0,56.0,0.6,3.0,4.82,4.0,1.0,25.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
Samir Handanović,si SVN,GK,1984,21.0,it Inter,34,6.0,6.0,540.0,6.0,7.0,1.17,43.0,36.0,83.7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Marwin Hitz,ch SUI,GK,1987,22.0,de Dortmund,30,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Ethan Horvath,us USA,GK,1995,23.0,be Club Brugge,23,3.0,3.0,270.0,3.0,0.0,0.0,11.0,11.0,100.0,1.0,2.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,,Matches
Aleš Hruška,cz CZE,GK,1985,24.0,cz Viktoria Plzeň,32,4.0,4.0,360.0,4.0,9.0,2.25,22.0,14.0,63.6,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
