Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Alex Cordaz,it ITA,GK,Crotone,it Serie A,1983,54,1.5,203,149,76.4,9.0,7.0,20.0,4,11.1,9.0,6.0,2.0,1.0,25.0,2017
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,1983,26,1.52,88,62,73.9,4.0,4.0,9.0,1,5.9,3.0,3.0,0.0,0.0,0.0,2017
Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,1987,42,1.11,143,101,71.3,12.0,14.0,12.0,12,31.6,4.0,1.0,1.0,2.0,50.0,2017
Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,1992,28,0.78,99,71,73.7,29.0,3.0,4.0,16,44.4,2.0,2.0,0.0,0.0,0.0,2017
Luca Crosta,it ITA,GK,Cagliari,it Serie A,1998,1,1.0,7,6,100.0,1.0,0.0,0.0,0,0.0,2.0,1.0,1.0,0.0,50.0,2017
Iván Cuéllar,es ESP,GK,Sporting Gijón,es La Liga,1984,69,1.92,202,133,68.8,6.0,10.0,20.0,7,19.4,8.0,6.0,2.0,0.0,25.0,2017
Morgan De Sanctis,it ITA,GK,Monaco,fr Ligue 1,1977,1,1.0,3,2,66.7,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Paul Delecroix,fr FRA,GK,Lorient,fr Ligue 1,1988,18,2.57,39,21,59.0,2.0,2.0,3.0,0,0.0,2.0,2.0,0.0,0.0,0.0,2017
Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,1995,64,2.0,192,128,69.3,9.0,8.0,15.0,9,28.1,6.0,5.0,1.0,0.0,16.7,2017
Jaume Doménech,es ESP,GK,Valencia,es La Liga,1990,4,1.33,12,8,66.7,2.0,0.0,1.0,1,33.3,0.0,0.0,0.0,0.0,,2017
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,1999,45,1.18,189,144,78.8,18.0,9.0,11.0,12,31.6,10.0,5.0,2.0,3.0,28.6,2017
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,1997,2,2.0,6,4,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Matthieu Dreyer,fr FRA,GK,Caen,fr Ligue 1,1989,2,1.0,11,9,90.9,1.0,0.0,1.0,1,50.0,1.0,1.0,0.0,0.0,0.0,2017
Jaroslav Drobný,cz CZE,GK,Werder Bremen,de Bundesliga,1979,15,1.59,45,30,71.1,3.0,4.0,2.0,1,10.0,2.0,2.0,0.0,0.0,0.0,2017
Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,1993,20,1.25,63,43,73.0,8.0,3.0,5.0,5,31.3,3.0,3.0,0.0,0.0,0.0,2017
Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,1982,40,1.26,125,85,71.2,10.0,7.0,15.0,8,25.0,6.0,4.0,1.0,1.0,20.0,2017
Michael Esser,de GER,GK,Darmstadt 98,de Bundesliga,1987,50,1.81,144,94,68.8,6.0,3.0,19.0,3,10.7,7.0,5.0,1.0,1.0,16.7,2017
Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,1985,69,1.86,174,105,63.8,11.0,5.0,21.0,8,21.6,8.0,6.0,1.0,1.0,14.3,2017
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,1988,40,1.18,118,78,71.2,11.0,10.0,13.0,8,23.5,10.0,6.0,4.0,0.0,40.0,2017
Adam Federici,au AUS,GK,Bournemouth,eng Premier League,1985,3,1.5,8,5,62.5,1.0,0.0,1.0,1,50.0,1.0,0.0,0.0,1.0,,2017
Álvaro Fernández,es ESP,GK,Osasuna,es La Liga,1998,0,0.0,1,1,100.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2017
Andrés Fernández,es ESP,GK,Villarreal,es La Liga,1986,18,1.23,76,58,81.6,9.0,1.0,5.0,5,35.7,4.0,4.0,0.0,0.0,0.0,2017
Mario Fernández,es ESP,GK,Osasuna,es La Liga,1988,14,2.15,37,23,64.9,0.0,4.0,3.0,1,14.3,3.0,1.0,2.0,0.0,66.7,2017
Marco Festa,it ITA,GK,Crotone,it Serie A,1992,4,1.96,13,9,69.2,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,1.0,,2017
Vincenzo Fiorillo,it ITA,GK,Pescara,it Serie A,1990,15,1.67,42,27,66.7,1.0,3.0,5.0,1,11.1,1.0,1.0,0.0,0.0,0.0,2017
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,1988,48,1.26,130,82,67.7,12.0,10.0,16.0,14,36.8,9.0,6.0,1.0,2.0,14.3,2017
Ben Foster,eng ENG,GK,West Brom,eng Premier League,1983,51,1.34,160,109,70.0,12.0,9.0,17.0,6,15.8,3.0,3.0,0.0,0.0,0.0,2017
Andrea Fulignati,it ITA,GK,Palermo,it Serie A,1994,14,1.56,44,30,70.5,3.0,2.0,4.0,3,33.3,1.0,1.0,0.0,0.0,0.0,2017
Gabriel,br BRA,GK,Cagliari,it Serie A,1992,5,1.67,13,8,69.2,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2017
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,1990,29,0.83,103,74,75.7,16.0,14.0,5.0,14,40.0,4.0,4.0,0.0,0.0,0.0,2017
Dani Giménez,es ESP,GK,Betis,es La Liga,1983,2,2.0,5,3,60.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Shay Given,ie IRL,GK,Stoke City,eng Premier League,1976,14,2.8,33,19,60.6,0.0,1.0,4.0,0,0.0,2.0,1.0,1.0,0.0,50.0,2017
Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,1988,0,0.0,8,8,100.0,0.0,2.0,0.0,2,100.0,0.0,0.0,0.0,0.0,,2017
Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,1995,1,0.25,12,11,91.7,3.0,1.0,0.0,3,75.0,0.0,0.0,0.0,0.0,,2017
Heurelho Gomes,br BRA,GK,Watford,eng Premier League,1981,64,1.73,177,113,65.5,11.0,7.0,19.0,6,15.8,4.0,3.0,1.0,0.0,25.0,2017
Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,1990,2,2.0,4,2,50.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Lee Grant,eng ENG,GK,Stoke City,eng Premier League,1983,34,1.21,123,89,72.4,10.0,8.0,10.0,9,32.1,0.0,0.0,0.0,0.0,,2017
Théo Guivarch,fr FRA,GK,Guingamp,fr Ligue 1,1995,2,3.6,4,2,75.0,0.0,0.0,1.0,0,,1.0,1.0,0.0,0.0,0.0,2017
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,1990,39,1.18,102,63,64.7,19.0,7.0,7.0,9,27.3,5.0,3.0,2.0,0.0,40.0,2017
Brad Guzan,us USA,GK,Middlesbrough,eng Premier League,1984,17,1.7,53,36,69.8,2.0,3.0,5.0,3,30.0,2.0,1.0,0.0,1.0,0.0,2017
Samir Handanović,si SVN,GK,Inter,it Serie A,1984,47,1.27,157,110,73.2,18.0,5.0,14.0,9,24.3,6.0,5.0,1.0,0.0,16.7,2017
Martin Hansen,dk DEN,GK,Ingolstadt 04,de Bundesliga,1990,34,1.5,98,64,70.4,8.0,5.0,10.0,3,13.0,6.0,5.0,1.0,0.0,16.7,2017
Joe Hart,eng ENG,GK,Torino,it Serie A,1987,62,1.72,166,104,66.3,12.0,14.0,10.0,5,13.9,6.0,6.0,0.0,0.0,0.0,2017
Tom Heaton,eng ENG,GK,Burnley,eng Premier League,1986,48,1.37,189,141,76.7,11.0,7.0,17.0,10,28.6,5.0,4.0,1.0,0.0,20.0,2017
Wayne Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,1987,46,1.59,133,87,66.9,9.0,3.0,17.0,7,24.1,2.0,2.0,0.0,0.0,0.0,2017
Iago Herrerín,es ESP,GK,Leganés,es La Liga,1988,25,1.23,75,50,70.7,4.0,6.0,10.0,6,28.6,4.0,3.0,1.0,0.0,25.0,2017
Daniel Heuer Fernandes,pt POR,GK,Darmstadt 98,de Bundesliga,1992,13,2.03,43,30,72.1,1.0,1.0,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2017
Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,1987,50,1.56,162,112,71.6,9.0,9.0,14.0,7,21.9,5.0,4.0,0.0,1.0,0.0,2017
Timo Horn,de GER,GK,Köln,de Bundesliga,1993,24,1.2,91,67,76.9,9.0,6.0,5.0,6,30.0,3.0,3.0,0.0,0.0,0.0,2017
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,1989,40,1.25,111,71,66.7,10.0,9.0,13.0,10,30.3,4.0,3.0,0.0,1.0,0.0,2017
Jannik Huth,de GER,GK,Mainz 05,de Bundesliga,1994,9,1.29,26,17,65.4,2.0,2.0,3.0,2,28.6,0.0,0.0,0.0,0.0,,2017
Gorka Iraizoz,es ESP,GK,Athletic Club,es La Liga,1981,21,1.35,64,43,68.8,5.0,4.0,7.0,2,13.3,3.0,1.0,2.0,0.0,66.7,2017
